Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Ccl5,Gpr75,MuSCs,0.0,12.93189333333333,0.0254956329088267,0.33333333333333337,0.1894926666666667,0.2323545052949771,15.20887852809111,0.1957422676803722
Resolving-Mac,Tnfsf15,Tnfrsf25,MuSCs,0.33333333333333337,1.1157510000000004,0.3537835843695541,0.0,0.092208666666667,0.0125124936222978,8.870292027217449,0.1821799309925046
Resolving-Mac,Btla,Cd79a,MuSCs,0.0,0.0533006666666671,0.1729975745517974,0.0,0.495638,0.0482173543138869,0.615849661473111,0.124719713906199
Resolving-Mac,Ntf5,Ntrk1,MuSCs,0.0,0.0018216666666667,0.1190279512797666,0.3333333333333333,0.1032843333333334,0.2430462285481376,0.0435534952825555,0.1098852350947134
Resolving-Mac,Nrg2,Erbb3,MuSCs,0.33333333333333337,0.1235939999999998,0.1234593592010326,0.0,0.1946743333333329,-0.015890137521057,0.5226985197625552,0.0951059554739034
Resolving-Mac,Ntf5,Ngfr,MuSCs,0.0,0.0018216666666667,0.1190279512797666,0.0,0.8076120000000007,-0.0259839034568714,0.3502151504662216,0.0944535428292334
Resolving-Mac,Ghrl,Ghsr,MuSCs,0.0,1.2394350000000012,0.045383277768343,0.0,-0.0143173333333332,0.2011141555523397,0.8370042042717794,0.0752892348115122
Resolving-Mac,Fgf13,Scn5a,MuSCs,0.6666666666666667,0.1865436666666665,0.078357093524863,0.0,-0.3801409999999998,-0.0286392647455175,0.2477878149817778,0.0750375806563247
Resolving-Mac,Tff2,Cxcr4,MuSCs,0.3333333333333333,0.4464456666666665,0.4701753317918328,0.0,-0.6482123333333334,-0.0050472855663299,20.755086917261444,0.0741768792618617
Resolving-Mac,Sema4d,Met,MuSCs,0.0,9.016071666666669,0.0485720258051909,0.0,3.3547616666666755,0.0271276994160192,451.295391362494,0.0662911515067259
Resolving-Mac,Apoe,Vldlr,MuSCs,0.0,-417.712321,-0.0095716283595984,0.0,0.6212903333333328,0.0580254332531091,1845.362378621824,0.0550406766601086
Resolving-Mac,Sema4d,Erbb2,MuSCs,0.0,9.016071666666669,0.0485720258051909,0.0,0.097326333333334,0.0422564886568013,33.829882890072895,0.053870615274375
Resolving-Mac,Calr,Tshr,MuSCs,0.0,-0.6508066666666821,0.0280117237059107,0.0,0.9132176666666674,0.1999024084595669,84.08688795319017,0.0522458030436098
