Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Vip,Sctr,M2,-0.3333333333333333,-0.2264606666666667,0.0,0.3333333333333333,0.1413906666666667,0.4577064462835261,0.0232671285282223,0.4577064462835261
ECs,Icam2,Itgal,M2,0.0,6.672480333333333,0.1290376883043027,0.0,-3.7431170000000016,0.4373925442668945,4.069525087753561,0.45527124503576
ECs,Sema6d,Tyrobp,M2,0.0,22.520757333333325,0.1773975401215467,0.0,-0.5443976666666686,0.3384591194155421,11941.063796990731,0.3109519341452946
ECs,Ceacam1,Havcr2,M2,0.0,1.5046326666666587,0.1467159221878828,0.0,3.0999563333333318,0.1996781411029103,159.85764518303063,0.2900561501785268
ECs,Sema7a,Plxnc1,M2,0.0,28.72204533333333,0.1684450605228661,0.0,0.7926766666666687,0.2566029406118955,770.0023147810159,0.2884037767565932
ECs,Cd200,Cd200r1,M2,0.33333333333333337,12.91004933333334,0.1186462446825806,0.0,4.553084666666671,0.3018980941542474,393.78637803046206,0.2878313830981728
ECs,Ccl28,Ccr3,M2,0.3333333333333333,0.0719036666666667,0.0552077926815549,-0.33333333333333337,-0.1524973333333333,0.6074000808827777,0.0022086202969999,0.2813563856003982
ECs,Cxcl12,Cxcr3,M2,0.0,117.91883533333336,0.0862096621915264,0.0,-0.2339186666666668,0.5076116251467319,136.5691991994193,0.2629330991957368
ECs,Flt3l,Flt3,M2,0.0,1.7958379999999998,0.0577320778101811,0.0,0.668363,0.5236944229679847,8.460866252668668,0.2272513764317232
ECs,Sema6d,Trem2,M2,0.0,22.520757333333325,0.1773975401215467,0.0,34.73210733333334,0.1173232344465375,2974.4006105491744,0.2227723092083957
ECs,Cx3cl1,Cx3cr1,M2,0.33333333333333337,5.610340999999998,0.2074753276497951,0.0,17.528433666666672,0.0420120930496876,380.9917247292996,0.2153197942059475
ECs,Pgf,Nrp2,M2,0.0,24.177917999999995,0.5469567592101248,0.0,7.756845333333331,0.1038168110238292,460.7339311034251,0.2011520212243251
ECs,Cxcl12,Cxcr4,M2,0.0,117.91883533333336,0.0862096621915264,0.0,6.187682999999993,0.3336609362327662,27764.973666797057,0.1929567258721619
ECs,Cxcl12,Itga4,M2,0.0,117.91883533333336,0.0862096621915264,0.0,1.4795153333333246,0.2785184864924318,6569.384566862392,0.1808990244298136
ECs,Cd200,Cd200r4,M2,0.33333333333333337,12.91004933333334,0.1186462446825806,0.0,0.6476680000000012,0.0974128885802826,165.62661152921834,0.171964617008939
ECs,Vip,Vipr1,M2,-0.3333333333333333,-0.2264606666666667,0.0,0.33333333333333337,2.3337486666666662,0.1669229861637946,0.364256226374222,0.1669229861637946
ECs,Hbegf,Cd44,M2,0.0,14.59822733333333,0.2683456365042774,0.0,-48.910999333333294,0.1467862448707385,1423.673615007359,0.1581830892695221
ECs,F2,F2rl2,M2,0.6666666666666667,0.2380426666666666,0.1592905296508902,0.0,0.128290666666667,0.3325388622696476,0.431496275088,0.1509419614348346
ECs,Cel,Cxcr4,M2,0.6666666666666667,-0.0071453333333332,0.0657041260701067,0.0,6.187682999999993,0.3336609362327662,0.7217675839494575,0.1469639289885849
ECs,Dll1,Notch2,M2,0.33333333333333337,3.2551759999999987,0.2780754849242861,0.0,-10.84046033333334,0.0623841627712863,4.78753105705124,0.1395636669300206
ECs,Gnai2,Adra2b,M2,0.0,-12.363866333333275,0.0242135682326066,0.0,0.5989723333333332,0.3261314493406892,62.299791960973096,0.1376082596752265
ECs,F2,Gp9,M2,0.6666666666666667,0.2380426666666666,0.1592905296508902,0.0,-0.0283196666666669,0.2896038011341024,0.8251895950297783,0.137285738871331
ECs,Cxcl12,Cd4,M2,0.0,117.91883533333336,0.0862096621915264,0.0,12.605425,0.2245148031290751,3052.689843089132,0.1367606715600623
ECs,Hbegf,Cd9,M2,0.0,14.59822733333333,0.2683456365042774,0.0,28.032379666666664,0.1678052623821734,1220.0276559601434,0.1367474458925961
