Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Cntn2,Cntn1,sCs,0.0,0.036856,0.3793279926652353,0.3333333333333333,-0.1090043333333334,0.0,0.0014643215234445,0.3793279926652353
ECs,Ntf3,Ntrk3,sCs,0.33333333333333337,4.382115333333335,0.0268300447475679,0.0,0.7879356666666667,0.6593951874721085,7.202422595512222,0.3312173721590639
ECs,Gnai2,Lhcgr,sCs,0.0,-12.363866333333275,0.0242135682326066,0.0,0.9971653333333328,0.7009959279618303,148.2177734254085,0.2983290308666953
ECs,Cntn2,Nrcam,sCs,0.0,0.036856,0.3793279926652353,0.0,1.6395203333333328,-0.1212914060413281,0.1172556584378889,0.2816673995829795
ECs,Efna1,Epha7,sCs,0.33333333333333337,5.253441333333331,0.0469864964835629,-0.33333333333333337,0.3528603333333334,0.2162142632994289,12.567344543012782,0.2184986100034969
ECs,Dhh,Hhip,sCs,0.0,0.6948193333333341,0.1173658335982134,0.0,0.7450903333333334,0.3720762539016857,2.036898338420112,0.1797039615527008
ECs,Gnas,Lhcgr,sCs,0.0,79.65947999999999,0.1240171919292461,0.0,0.9971653333333328,0.7009959279618303,199.0949757710747,0.1774167979390003
ECs,Gnai2,Adra2b,sCs,0.0,-12.363866333333275,0.0242135682326066,0.0,1.827837333333334,0.3836672559339117,260.95486371643665,0.1603696504813047
ECs,Adm,Calcr,sCs,0.33333333333333337,10.435638999999997,0.1699458495493759,0.0,-3.3990786666666657,-0.0290825585782785,5.38097693488578,0.1562791093296813
ECs,Hbegf,Cd82,sCs,0.0,14.59822733333333,0.2683456365042774,0.0,-38.86623266666666,-0.0724811204038563,132.68579874551307,0.1410285646116093
ECs,Dll1,Notch3,sCs,0.33333333333333337,3.2551759999999987,0.2780754849242861,0.0,-12.363780999999989,-0.1561666363155517,111.28982426545508,0.1367161690936182
ECs,Inhbb,Acvr2b,sCs,0.33333333333333337,1.9463350000000004,0.4992170286510711,0.0,-0.529161,-0.127515787468122,1.821836370863,0.1336068306309447
ECs,Nts,Sort1,sCs,0.33333333333333337,3.311948,0.1260715976333714,0.0,1.4421,0.0755525081756972,31.910475532324,0.1276729218284316
ECs,Proc,Procr,sCs,0.0,0.0895653333333334,0.4330175376401833,0.0,1.1280393333333336,-0.0618033718856096,0.8235945118088887,0.1152083492560885
ECs,Tshb,Tshr,sCs,0.0,1.5037803333333342,0.0516756155722,0.0,0.336252,0.138005995624782,2.0010912020205547,0.1124188737961867
ECs,Bmp2,Acvr2b,sCs,0.33333333333333337,4.867601666666667,0.3573621506826718,0.0,-0.529161,-0.127515787468122,5.027841807584998,0.1021126740563612
ECs,Vip,Vipr1,sCs,-0.3333333333333333,-0.2264606666666667,0.0,0.0,1.7535933333333338,0.1004172213990043,0.2444898309806668,0.1004172213990043
ECs,Vwf,Tnfrsf11b,sCs,0.0,-4.111311000000001,0.0175117769513359,0.3333333333333333,0.2609843333333334,0.1054023914491641,7.312601332830889,0.0987446491270121
