Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Rspo1,Lgr6,sCs,0.0,0.040584,0.5744948638433958,0.0,0.1886623333333334,0.3560714743926193,0.0312404257098889,0.72600510503631
FAPs,Lama1,Itga7,sCs,0.33333333333333337,0.2832936666666667,0.5416599918575067,0.0,-19.03761833333333,-0.0947501912433165,12.472273315976445,0.4193258700156775
FAPs,Nlgn2,Nrxn1,sCs,0.0,0.3804506666666682,0.0974295557887178,0.0,0.3969956666666666,0.5370632314087365,8.286914672235778,0.4146697575948376
FAPs,Rspo2,Lgr6,sCs,0.0,0.023950000000001,0.0177545031712299,0.0,0.1886623333333334,0.3560714743926193,0.3068594762368889,0.3675041054425609
FAPs,Gnas,Lhcgr,sCs,0.0,-399.0399269999999,-0.0806564075026501,0.0,0.9971653333333328,0.7009959279618303,484.66698005710737,0.3667973922227477
FAPs,Rspo3,Lgr6,sCs,0.0,0.8415696666666674,-0.0075635736061194,0.0,0.1886623333333334,0.3560714743926193,0.9426588457347778,0.3424242014216208
FAPs,Lamc2,Itgb4,sCs,0.0,-0.5923749999999997,0.0262672992133521,0.0,5.581329666666669,0.3382046235317824,22.425327595021344,0.265600091653856
FAPs,Icam1,Il2ra,sCs,0.0,12.121693666666673,0.317149295475814,-0.33333333333333337,1.8085569999999995,0.1817561581506931,92.03526655968088,0.2559757276811906
FAPs,Ecm1,Itgb4,sCs,0.0,9.461794666666677,0.0380082397599111,0.0,5.581329666666669,0.3382046235317824,585.777621717544,0.2413391527429756
FAPs,Nlgn3,Nrxn1,sCs,0.33333333333333337,0.3903159999999999,0.0964687373912677,0.0,0.3969956666666666,0.5370632314087365,0.349124772181,0.2371543657790502
FAPs,Ntf3,Ntrk3,sCs,0.0,3.3394140000000005,0.0631900570811621,0.0,0.7879356666666667,0.6593951874721085,4.792274940428111,0.2307437951187465
FAPs,Cxcl13,Ccr10,sCs,0.33333333333333337,3.805242,0.7217306921399875,-0.3333333333333333,0.3390433333333332,0.020375031814716,2.2083180180171103,0.2274159247456933
FAPs,Rln1,Rxfp1,sCs,0.0,0.1671113333333332,0.2175280060906951,0.6666666666666667,0.0208846666666667,0.0,0.0274260390868888,0.2175280060906951
FAPs,Hp,Cd163,sCs,0.33333333333333337,4.090882666666666,0.8968719474516517,0.0,0.038954,0.0427533989398375,3.913090026438444,0.2071781574860484
FAPs,Cxcl13,Cxcr5,sCs,0.33333333333333337,3.805242,0.7217306921399875,-0.33333333333333337,-0.1858599999999999,0.0432357127433398,1.4207209403886665,0.2060265195362575
FAPs,Serpinf1,Plxdc1,sCs,0.0,132.1475826666666,0.0236272574885874,0.0,10.004271,0.195191103406274,7515.59514349967,0.2002843593609844
FAPs,Lama1,Itgb8,sCs,0.33333333333333337,0.2832936666666667,0.5416599918575067,0.0,-3.841082,-0.1897642107347878,0.7511655436877774,0.1941369827884191
