Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Areg,Erbb3,MuSCs,0.0,0.7977649999999996,0.3129613441383912,0.0,-0.24759300000000015,0.032789006891735806,2.835112762391333,0.28159414973793107
Resolving-Mac,Tnfsf15,Tnfrsf25,MuSCs,0.0,0.08303733333333296,-0.20917589622684,0.0,5.609823666666666,0.4178338409345992,6.206143925107558,0.2528142594816461
Resolving-Mac,Agrp,Mc4r,MuSCs,0.3333333333333333,0.38091033333333335,0.21926321772234855,0.33333333333333337,0.192705,0.049920324212811895,0.18857677931522215,0.20082372716535726
Resolving-Mac,Gnai2,Cnr1,MuSCs,0.0,21.569698333333307,0.014251650875477528,0.0,3.010364,0.6447842750669477,390.7206214905983,0.19848095923371367
Resolving-Mac,Tnfsf13b,Tnfrsf13c,MuSCs,0.0,0.5483943333333327,0.1607290922223816,0.33333333333333337,0.5689200000000002,0.26879248337627115,0.8594773235946664,0.19498891638265287
Resolving-Mac,Cxcl13,Ccr10,MuSCs,-0.3333333333333333,1.3016986666666663,0.6379407814333466,0.3333333333333333,-0.33904333333333336,-0.02037503181471612,0.19273881683155564,0.18495520293702072
Resolving-Mac,Il12b,Il12rb2,MuSCs,-0.33333333333333337,-0.5721213333333329,-0.21905072942934206,0.0,0.4518503333333335,0.2773613000001797,0.10096928069555576,0.1687357874551612
Resolving-Mac,Gnai2,Adcy1,MuSCs,0.0,21.569698333333307,0.014251650875477528,0.0,0.08842033333333334,0.4629213977642813,12.922940789253323,0.14844314362307026
Resolving-Mac,Cxcl13,Cxcr5,MuSCs,-0.3333333333333333,1.3016986666666663,0.6379407814333466,0.33333333333333337,0.18586,-0.043235712743339816,0.7944579517119998,0.14803125567230233
Resolving-Mac,Thbs1,Sdc4,MuSCs,0.0,232.41583566666665,0.1999342658194128,0.0,7.641936000000001,0.13725127100802242,7064.023849996864,0.13875725674274347
Resolving-Mac,Thbs1,Sdc1,MuSCs,0.0,232.41583566666665,0.1999342658194128,0.0,3.244701333333332,0.12034991105502517,3177.672759441585,0.13754751095724144
Resolving-Mac,Ccl5,Gpr75,MuSCs,0.0,2.5368323333333365,0.058365692008171426,0.0,0.4139393333333333,0.15979324095534436,6.168108965053105,0.131595355983827
Resolving-Mac,Areg,Egfr,MuSCs,0.0,0.7977649999999996,0.3129613441383912,0.0,13.15733066666666,0.0963271700020705,30.67151871777656,0.12109962491049114
Resolving-Mac,Apoe,Lrp5,MuSCs,0.0,-2328.025634666667,-0.06439990882638802,0.0,5.055301333333333,0.1323941720527119,430.8073781247222,0.1127434181695053
Resolving-Mac,Matn1,Itgb1,MuSCs,0.0,0.055642666666666674,0.0,0.0,50.71012366666669,0.11258916837232216,25.424828356939887,0.11258916837232216
Resolving-Mac,Ccl5,Sdc4,MuSCs,0.0,2.5368323333333365,0.058365692008171426,0.0,7.641936000000001,0.13725127100802242,143.85563486279545,0.1116768913867521
Resolving-Mac,Plau,Igf2r,MuSCs,0.0,28.12436866666668,0.2106945011225104,0.0,38.673613666666654,0.16283270598348532,3166.7527436582336,0.10420119291491008
Resolving-Mac,Tnfsf13,Sdc2,MuSCs,0.0,1.6647140000000005,0.14630843561120332,0.0,12.827481333333342,0.0955225631633944,100.30032411320762,0.1039836533317741
Resolving-Mac,Ccl5,Sdc1,MuSCs,0.0,2.5368323333333365,0.058365692008171426,0.0,3.244701333333332,0.12034991105502517,63.02656388976664,0.10255970742554887
Resolving-Mac,Cxcl10,Sdc4,MuSCs,0.0,42.310354666666655,0.12597250128599952,0.0,7.641936000000001,0.13725127100802242,1477.394435344881,0.1022379883068105
Resolving-Mac,Wnt6,Fzd7,MuSCs,0.0,0.05108833333333334,0.4518655059379711,0.0,-1.565166666666668,-0.038093119253399615,0.1443534499733332,0.10163224430214224
Resolving-Mac,Alcam,Cd6,MuSCs,0.0,14.98932666666666,-0.4361821103018553,0.6666666666666667,0.07606533333333336,0.31699252001129896,2.7455347536026657,0.10162195561181328
Resolving-Mac,Plau,St14,MuSCs,0.0,28.12436866666668,0.2106945011225104,0.0,0.4945033333333333,0.20731505746032614,37.03666018624932,0.10144523003006573
Resolving-Mac,Thbs1,Itgb1,MuSCs,0.0,232.41583566666665,0.1999342658194128,0.0,50.71012366666669,0.11258916837232216,37977.22093890041,0.09727352121530557
Resolving-Mac,Ifnk,Ifnar1,MuSCs,0.0,0.0644829999999999,0.6627823298515014,0.0,5.023303333333336,0.030685030351896805,2.847955353663556,0.0947517626884818
Resolving-Mac,Hgf,St14,MuSCs,0.0,-4.177731999999995,-0.10717584197734853,0.0,0.4945033333333333,0.20731505746032614,8.937735025842882,0.09433408084113548
Resolving-Mac,Thbs1,Itga2b,MuSCs,0.0,232.41583566666665,0.1999342658194128,0.0,0.8912353333333333,0.1229695560955554,476.039750225064,0.09366735446119724
Resolving-Mac,Matn1,Itga1,MuSCs,0.0,0.055642666666666674,0.0,0.0,-0.3338316666666721,0.09285736876382147,1.359045815980565,0.09285736876382147
Resolving-Mac,F13a1,Itgb1,MuSCs,0.0,77.90411699999997,-0.06534311566607698,0.0,50.71012366666669,0.11258916837232216,13644.6099894515,0.0874514798856062
Resolving-Mac,Lgals3bp,Itgb1,MuSCs,0.0,-17.290188999999913,0.049733334391482975,0.0,50.71012366666669,0.11258916837232216,8015.497032037561,0.07217795429073016
Resolving-Mac,Thbs1,Itga3,MuSCs,0.0,232.41583566666665,0.1999342658194128,0.0,-1.2975333333333343,0.04994626693764892,498.71621380498993,0.07035111091693243
Resolving-Mac,App,Gpc1,MuSCs,0.0,23.62443166666668,0.04351268752683871,0.0,26.761233666666666,0.1873972073440592,3067.427398513141,0.06876766277669491
Resolving-Mac,Vcan,Itgb1,MuSCs,0.0,62.250811666666664,0.22165547938671104,0.0,50.71012366666669,0.11258916837232216,9021.934474692756,0.06836432684207723
Resolving-Mac,Ifnk,Ifnar2,MuSCs,0.0,0.0644829999999999,0.6627823298515014,0.0,4.832277666666672,0.024475123685301442,2.8344836151191117,0.0682955142067427
Resolving-Mac,Gnai2,Lpar3,MuSCs,0.0,21.569698333333307,0.014251650875477528,0.33333333333333337,1.4246586666666667,0.18344798620298308,190.94768202008828,0.067124860713564
Resolving-Mac,Fasl,Fas,MuSCs,0.3333333333333333,0.023684,0.5058666924665463,0.0,0.969538333333333,0.01709659029862548,0.193971928246,0.0656985758564923
Resolving-Mac,Apoe,Lrp8,MuSCs,0.0,-2328.025634666667,-0.06439990882638802,0.33333333333333337,0.432153,0.07648121604146417,452.94520714617585,0.06439544199508147
Resolving-Mac,Osm,Osmr,MuSCs,0.0,11.310463999999987,-0.2879129677040442,0.0,13.689353666666669,0.14305036504894325,544.7309096954223,0.06379963681231911
Resolving-Mac,Il16,Kcnj10,MuSCs,0.0,-1.2767566666666657,-0.08808856230243661,0.0,0.21522799999999992,0.2819159179525047,0.566276802569333,0.06369101245695949
Resolving-Mac,Spon1,Lrp8,MuSCs,0.0,11.564810666666665,0.4063052859149137,0.33333333333333337,0.432153,0.07648121604146417,7.830949818303,0.06346184749617119
Resolving-Mac,Lgals3,Lag3,MuSCs,0.0,71.43049366666669,-0.08009136122983351,0.0,1.5433090000000007,0.0868514272505733,758.6187170430594,0.06294154970659528
Resolving-Mac,Ybx1,Notch1,MuSCs,0.0,14.198381999999981,0.0677800485766264,0.0,16.579531666666654,0.16201835009219748,2878.361560240105,0.06204649427131038
Resolving-Mac,Ntn3,Cdon,MuSCs,0.6666666666666667,0.28046466666666664,0.0763892752810472,0.0,37.145845,0.2433077376146003,19.08062059735844,0.0612734041797653
Resolving-Mac,Adam17,Notch1,MuSCs,0.0,5.713605999999999,-0.04624120193791886,0.0,16.579531666666654,0.16201835009219748,1044.3971190607326,0.059422623907906875
Resolving-Mac,Agrp,Mc5r,MuSCs,0.3333333333333333,0.38091033333333335,0.21926321772234855,0.33333333333333337,0.8145259999999999,0.0860637731414556,0.6443819132353332,0.05922422960086556
Resolving-Mac,H2-K1,Erbb2,MuSCs,0.0,83.64533499999997,0.09257734675502904,0.0,0.4772653333333343,0.0559737353923076,402.47252809294366,0.05865383056342671
