Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
FAPs,Agt,Mas1,ECs,1.0,3.6140293333333333,0.9241192353022276,0.6666666666666666,0.8365456666666667,0.29553448164497803,3.023300578006222,0.2731090991831973
FAPs,Agt,Mas1,FAPs,1.0,3.6140293333333333,0.9241192353022276,1.0,0.6439256666666667,0.227485773579482,2.3271662478195565,0.2102239791224066
FAPs,Agt,Mas1,MuSCs,1.0,3.6140293333333333,0.9241192353022276,1.0,1.3488765,0.476530490940234,4.8748792380440005,0.4403709928858841
FAPs,Agt,Agtr1a,ECs,1.0,3.6140293333333333,0.9241192353022276,1.0,2.024115666666667,0.040338010286694266,7.31521339339289,0.03727713121975329
FAPs,Agt,Agtr1a,FAPs,1.0,3.6140293333333333,0.9241192353022276,1.0,11.85972166666667,0.2363489312718777,42.861381988502224,0.2184145936314663
FAPs,Agt,Agtr1a,MuSCs,1.0,3.6140293333333333,0.9241192353022276,1.0,36.29503,0.7233130584414281,131.17130307421328,0.6684275104510079
FAPs,Agt,Agtr2,FAPs,1.0,3.6140293333333333,0.9241192353022276,1.0,3.743532666666667,0.9802973346235676,13.52923686762489,0.9059116232411429
ECs,Serping1,Sele,ECs,1.0,15.502026999999998,0.016941946509754592,1.0,9.112632333333334,0.9981738658344552,141.2642724724063,0.01691100824240229
FAPs,Serping1,Sele,ECs,1.0,687.9602253333335,0.751862020265869,1.0,9.112632333333334,0.9981738658344552,6269.1285934198195,0.750489019342886
Inflammatory-Mac,Serping1,Sele,ECs,1.0,0.698403,0.0007632747813077692,1.0,9.112632333333334,0.9981738658344552,6.364289759497002,0.0007618809391519245
MuSCs,Serping1,Sele,ECs,1.0,210.59240699999998,0.230153469269178,1.0,9.112632333333334,0.9981738658344552,1919.051177182693,0.2297331781556269
ECs,Serping1,Lrp1,ECs,1.0,15.502026999999998,0.016941946509754592,1.0,3.946674666666667,0.008082287850277156,61.18145724288267,0.00013692968843583502
ECs,Serping1,Lrp1,FAPs,1.0,15.502026999999998,0.016941946509754592,1.0,185.80274433333332,0.3805003933455167,2880.31915932943,0.006446417311000324
ECs,Serping1,Lrp1,Inflammatory-Mac,1.0,15.502026999999998,0.016941946509754592,1.0,117.3394243333333,0.2402962199184265,1818.9989241797898,0.004071085704354206
ECs,Serping1,Lrp1,MuSCs,1.0,15.502026999999998,0.016941946509754592,1.0,41.458574,0.0849018875966847,642.691933529498,0.001438403238240229
ECs,Serping1,Lrp1,Resolving-Mac,1.0,15.502026999999998,0.016941946509754592,1.0,139.7641523333333,0.2862192112890951,2166.627663103446,0.004849110567723996
FAPs,Serping1,Lrp1,ECs,1.0,687.9602253333335,0.751862020265869,1.0,3.946674666666667,0.008082287850277156,2715.155192997358,0.00607676527147967
FAPs,Serping1,Lrp1,FAPs,1.0,687.9602253333335,0.751862020265869,1.0,185.80274433333332,0.3805003933455167,127824.8978591117,0.28608379445271803
FAPs,Serping1,Lrp1,Inflammatory-Mac,1.0,687.9602253333335,0.751862020265869,1.0,117.3394243333333,0.2402962199184265,80724.85680484363,0.1806696013701197
FAPs,Serping1,Lrp1,MuSCs,1.0,687.9602253333335,0.751862020265869,1.0,41.458574,0.0849018875966847,28521.84991103868,0.06383450473282909
FAPs,Serping1,Lrp1,Resolving-Mac,1.0,687.9602253333335,0.751862020265869,1.0,139.7641523333333,0.2862192112890951,96152.17773276233,0.2151973544387226
Inflammatory-Mac,Serping1,Lrp1,ECs,1.0,0.698403,0.0007632747813077692,1.0,3.946674666666667,0.008082287850277156,2.756369427224,6.169006491386738e-06
Inflammatory-Mac,Serping1,Lrp1,FAPs,1.0,0.698403,0.0007632747813077692,1.0,185.80274433333332,0.3805003933455167,129.765194050633,0.00029042635451831936
Inflammatory-Mac,Serping1,Lrp1,Inflammatory-Mac,1.0,0.698403,0.0007632747813077692,1.0,117.3394243333333,0.2402962199184265,81.95020597267299,0.0001834120447073206
Inflammatory-Mac,Serping1,Lrp1,MuSCs,1.0,0.698403,0.0007632747813077692,1.0,41.458574,0.0849018875966847,28.954792457322,6.480346968797632e-05
Inflammatory-Mac,Serping1,Lrp1,Resolving-Mac,1.0,0.698403,0.0007632747813077692,1.0,139.7641523333333,0.2862192112890951,97.611703282057,0.0002184639059027663
MuSCs,Serping1,Lrp1,ECs,1.0,210.59240699999998,0.230153469269178,1.0,3.946674666666667,0.008082287850277156,831.1397176992558,0.0018601665883734141
MuSCs,Serping1,Lrp1,FAPs,1.0,210.59240699999998,0.230153469269178,1.0,185.80274433333332,0.3805003933455167,39128.64715636227,0.08757348558675751
MuSCs,Serping1,Lrp1,Inflammatory-Mac,1.0,210.59240699999998,0.230153469269178,1.0,117.3394243333333,0.2402962199184265,24710.79180635104,0.0553050086664952
MuSCs,Serping1,Lrp1,MuSCs,1.0,210.59240699999998,0.230153469269178,1.0,41.458574,0.0849018875966847,8730.860889447617,0.019540463977878782
MuSCs,Serping1,Lrp1,Resolving-Mac,1.0,210.59240699999998,0.230153469269178,1.0,139.7641523333333,0.2862192112890951,29433.269252191334,0.0658743444496731
ECs,Serping1,Selp,ECs,1.0,15.502026999999998,0.016941946509754592,1.0,30.47780866666666,0.9838017987059956,472.46781285150064,0.01666751744987733
ECs,Serping1,Selp,Resolving-Mac,1.0,15.502026999999998,0.016941946509754592,1.0,0.3570223333333333,0.0115244247889676,5.534569850936333,0.0001952461883303789
FAPs,Serping1,Selp,ECs,1.0,687.9602253333335,0.751862020265869,1.0,30.47780866666666,0.9838017987059956,20967.52011798622,0.7396832079162856
FAPs,Serping1,Selp,Resolving-Mac,1.0,687.9602253333335,0.751862020265869,1.0,0.3570223333333333,0.0115244247889676,245.61716488903252,0.008664777304235241
Inflammatory-Mac,Serping1,Selp,ECs,1.0,0.698403,0.0007632747813077692,1.0,30.47780866666666,0.9838017987059956,21.285793006226,0.0007509111027575089
Inflammatory-Mac,Serping1,Selp,Resolving-Mac,1.0,0.698403,0.0007632747813077692,1.0,0.3570223333333333,0.0115244247889676,0.249345468667,8.79630281049708e-06
MuSCs,Serping1,Selp,ECs,1.0,210.59240699999998,0.230153469269178,1.0,30.47780866666666,0.9838017987059956,6418.395087198793,0.2264253970454424
MuSCs,Serping1,Selp,Resolving-Mac,1.0,210.59240699999998,0.230153469269178,1.0,0.3570223333333333,0.0115244247889676,75.186192529423,0.0026523863465126077
ECs,Col1a2,Cd44,ECs,1.0,10.656679666666669,0.005231683521566389,1.0,21.084959,0.03381320693734752,224.69565384780034,0.0001768999975454353
ECs,Col1a2,Cd44,FAPs,1.0,10.656679666666669,0.005231683521566389,1.0,81.06331633333333,0.12999838843446002,863.8657948820012,0.000680110426602751
ECs,Col1a2,Cd44,Inflammatory-Mac,1.0,10.656679666666669,0.005231683521566389,1.0,136.9994176666667,0.2197011461990087,1459.9589085935409,0.0011494068662386019
ECs,Col1a2,Cd44,MuSCs,1.0,10.656679666666669,0.005231683521566389,1.0,68.13119800000001,0.1092596052410345,726.0523523922408,0.0005716116763123688
ECs,Col1a2,Cd44,Resolving-Mac,1.0,10.656679666666669,0.005231683521566389,1.0,316.292811,0.5072276531881493,3370.631167696543,0.002653654554867232
FAPs,Col1a2,Cd44,ECs,1.0,1964.9414063333331,0.9646486427205408,1.0,21.084959,0.03381320693734752,41430.70898994067,0.03261786417814106
FAPs,Col1a2,Cd44,FAPs,1.0,1964.9414063333331,0.9646486427205408,1.0,81.06331633333333,0.12999838843446002,159284.6667980639,0.1254027689591595
FAPs,Col1a2,Cd44,Inflammatory-Mac,1.0,1964.9414063333331,0.9646486427205408,1.0,136.9994176666667,0.2197011461990087,269195.82841678767,0.2119344124850208
FAPs,Col1a2,Cd44,MuSCs,1.0,1964.9414063333331,0.9646486427205408,1.0,68.13119800000001,0.1092596052410345,133873.8120132948,0.105397129899946
FAPs,Col1a2,Cd44,Resolving-Mac,1.0,1964.9414063333331,0.9646486427205408,1.0,316.292811,0.5072276531881493,621496.8408594632,0.4892964671982735
Inflammatory-Mac,Col1a2,Cd44,ECs,1.0,1.166748,0.000572791570766042,1.0,21.084959,0.03381320693734752,24.600833743332,1.9367919914280512e-05
Inflammatory-Mac,Col1a2,Cd44,FAPs,1.0,1.166748,0.000572791570766042,1.0,81.06331633333333,0.12999838843446002,94.58046220528401,7.44619811084284e-05
Inflammatory-Mac,Col1a2,Cd44,Inflammatory-Mac,1.0,1.166748,0.000572791570766042,1.0,136.9994176666667,0.2197011461990087,159.843796563748,0.00012584296463043
Inflammatory-Mac,Col1a2,Cd44,MuSCs,1.0,1.166748,0.000572791570766042,1.0,68.13119800000001,0.1092596052410345,79.49193900410401,6.258298090728983e-05
Inflammatory-Mac,Col1a2,Cd44,Resolving-Mac,1.0,1.166748,0.000572791570766042,1.0,316.292811,0.5072276531881493,369.034004648628,0.0002905357242056133
MuSCs,Col1a2,Cd44,ECs,1.0,59.10598950000001,0.0290169021651515,1.0,21.084959,0.03381320693734752,1246.247365261931,0.000981154517591035
MuSCs,Col1a2,Cd44,FAPs,1.0,59.10598950000001,0.0290169021651515,1.0,81.06331633333333,0.12999838843446002,4791.327524033179,0.0037721505188300884
MuSCs,Col1a2,Cd44,Inflammatory-Mac,1.0,59.10598950000001,0.0290169021651515,1.0,136.9994176666667,0.2197011461990087,8097.486142112116,0.006375046664828282
MuSCs,Col1a2,Cd44,MuSCs,1.0,59.10598950000001,0.0290169021651515,1.0,68.13119800000001,0.1092596052410345,4026.9618736104217,0.003170375275882173
MuSCs,Col1a2,Cd44,Resolving-Mac,1.0,59.10598950000001,0.0290169021651515,1.0,316.292811,0.5072276531881493,18694.79956589148,0.014718175188019931
Resolving-Mac,Col1a2,Cd44,ECs,1.0,1.079543,0.0005299800219751696,1.0,21.084959,0.03381320693734752,22.762119893737,1.792032415570639e-05
Resolving-Mac,Col1a2,Cd44,FAPs,1.0,1.079543,0.0005299800219751696,1.0,81.06331633333333,0.12999838843446002,87.51133570443567,6.889654875923174e-05
Resolving-Mac,Col1a2,Cd44,Inflammatory-Mac,1.0,1.079543,0.0005299800219751696,1.0,136.9994176666667,0.2197011461990087,147.8967623461263,0.00011643721829052061
Resolving-Mac,Col1a2,Cd44,MuSCs,1.0,1.079543,0.0005299800219751696,1.0,68.13119800000001,0.1092596052410345,73.55055788251401,5.7905407986641835e-05
Resolving-Mac,Col1a2,Cd44,Resolving-Mac,1.0,1.079543,0.0005299800219751696,1.0,316.292811,0.5072276531881493,341.4516900653729,0.0002688205227830691
ECs,Col1a2,Itga2,ECs,1.0,10.656679666666669,0.005231683521566389,1.0,3.0429353333333338,0.5356624298519768,32.4275870937149,0.002802416307378798
ECs,Col1a2,Itga2,FAPs,1.0,10.656679666666669,0.005231683521566389,1.0,1.067915666666667,0.1879902916822836,11.38043517068145,0.0009835057112086622
ECs,Col1a2,Itga2,MuSCs,1.0,10.656679666666669,0.005231683521566389,1.0,1.3872175,0.2441985173471266,14.783132525494171,0.001277569359195906
ECs,Col1a2,Itga2,Resolving-Mac,1.0,10.656679666666669,0.005231683521566389,1.0,0.160044,0.02817330916767092,1.7055376405720002,0.00014739383732049918
FAPs,Col1a2,Itga2,ECs,1.0,1964.9414063333331,0.9646486427205408,1.0,3.0429353333333338,0.5356624298519768,5979.1896332613915,0.5167260359130963
FAPs,Col1a2,Itga2,FAPs,1.0,1964.9414063333331,0.9646486427205408,1.0,1.067915666666667,0.1879902916822836,2098.391711905399,0.1813445797159535
FAPs,Col1a2,Itga2,MuSCs,1.0,1964.9414063333331,0.9646486427205408,1.0,1.3872175,0.2441985173471266,2725.801105340211,0.2355657683132741
FAPs,Col1a2,Itga2,Resolving-Mac,1.0,1964.9414063333331,0.9646486427205408,1.0,0.160044,0.02817330916767092,314.47708243521197,0.02717734444953992
Inflammatory-Mac,Col1a2,Itga2,ECs,1.0,1.166748,0.000572791570766042,1.0,3.0429353333333338,0.5356624298519768,3.550338714296,0.0003068229245952686
Inflammatory-Mac,Col1a2,Itga2,FAPs,1.0,1.166748,0.000572791570766042,1.0,1.067915666666667,0.1879902916822836,1.2459884682520002,0.0001076792544614616
Inflammatory-Mac,Col1a2,Itga2,MuSCs,1.0,1.166748,0.000572791570766042,1.0,1.3872175,0.2441985173471266,1.61853324369,0.0001398748523299992
Inflammatory-Mac,Col1a2,Itga2,Resolving-Mac,1.0,1.166748,0.000572791570766042,1.0,0.160044,0.02817330916767092,0.186731016912,1.613743401182755e-05
MuSCs,Col1a2,Itga2,ECs,1.0,59.10598950000001,0.0290169021651515,1.0,3.0429353333333338,0.5356624298519768,179.85570386117908,0.01554326432056214
MuSCs,Col1a2,Itga2,FAPs,1.0,59.10598950000001,0.0290169021651515,1.0,1.067915666666667,0.1879902916822836,63.1202121808855,0.005454895901743118
MuSCs,Col1a2,Itga2,MuSCs,1.0,59.10598950000001,0.0290169021651515,1.0,1.3872175,0.2441985173471266,81.99286298921625,0.007085884486736625
MuSCs,Col1a2,Itga2,Resolving-Mac,1.0,59.10598950000001,0.0290169021651515,1.0,0.160044,0.02817330916767092,9.459558983538,0.0008175021557868729
Resolving-Mac,Col1a2,Itga2,ECs,1.0,1.079543,0.0005299800219751696,1.0,3.0429353333333338,0.5356624298519768,3.2849795385526668,0.0002838903863442234
Resolving-Mac,Col1a2,Itga2,FAPs,1.0,1.079543,0.0005299800219751696,1.0,1.067915666666667,0.1879902916822836,1.152860882540333,9.963109891689522e-05
Resolving-Mac,Col1a2,Itga2,MuSCs,1.0,1.079543,0.0005299800219751696,1.0,1.3872175,0.2441985173471266,1.4975609416025,0.000129420335589934
Resolving-Mac,Col1a2,Itga2,Resolving-Mac,1.0,1.079543,0.0005299800219751696,1.0,0.160044,0.02817330916767092,0.172774379892,1.493129101179548e-05
ECs,Col1a2,Cd93,ECs,1.0,10.656679666666669,0.005231683521566389,1.0,196.84879066666667,0.5898085209504823,2097.7545049053897,0.0030856915199360827
ECs,Col1a2,Cd93,Inflammatory-Mac,1.0,10.656679666666669,0.005231683521566389,1.0,54.63182800000001,0.1636907067621498,582.1938906004308,0.0008563779732010952
ECs,Col1a2,Cd93,MuSCs,1.0,10.656679666666669,0.005231683521566389,1.0,4.352083,0.0130399360269903,46.37875441374567,6.822081843468502e-05
ECs,Col1a2,Cd93,Resolving-Mac,1.0,10.656679666666669,0.005231683521566389,1.0,77.6276676666667,0.2325920301377057,827.2531875941245,0.001216847891319108
FAPs,Col1a2,Cd93,ECs,1.0,1964.9414063333331,0.9646486427205408,1.0,196.84879066666667,0.5898085209504823,386796.339567576,0.5689579891998925
FAPs,Col1a2,Cd93,Inflammatory-Mac,1.0,1964.9414063333331,0.9646486427205408,1.0,54.63182800000001,0.1636907067621498,107348.34094088081,0.1579040181040739
FAPs,Col1a2,Cd93,MuSCs,1.0,1964.9414063333331,0.9646486427205408,1.0,4.352083,0.0130399360269903,8551.588090499394,0.01257895658959887
