Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
FAPs (3 cells),ECs (3 cells),7747156.060967061,138.81007988326567,956,8103.719729045042,0.14519882832977582
FAPs (3 cells),FAPs (3 cells),6558008.881072677,206.7953947040536,979,6698.681185978219,0.21123125097451848
FAPs (3 cells),Resolving-Mac (3 cells),5718057.05235094,126.4137969283756,840,6807.210776608262,0.15049261539092335
FAPs (3 cells),MuSCs (3 cells),2986924.181559208,111.50890615295474,1022,2922.626400742865,0.10910851874066022
Resolving-Mac (3 cells),FAPs (3 cells),2628505.972818029,70.42161967912256,708,3712.5790576525833,0.09946556451853468
Resolving-Mac (3 cells),Resolving-Mac (3 cells),2002590.198976601,86.17841034940608,674,2971.2020756329393,0.12786114295164105
Resolving-Mac (3 cells),ECs (3 cells),1317626.8724108802,43.55135917639021,697,1890.4259288534865,0.06248401603499312
ECs (3 cells),Resolving-Mac (3 cells),909077.3348970305,47.08071852116818,729,1247.019663781935,0.06458260428143783
ECs (3 cells),ECs (3 cells),886844.1944519514,67.2153774498991,809,1096.2227372706445,0.0830845209516676
ECs (3 cells),FAPs (3 cells),722165.038762718,75.22752073212908,823,877.478783429791,0.09140646504511431
Resolving-Mac (3 cells),MuSCs (3 cells),678988.6158250781,34.363331875680245,740,917.5521835474028,0.04643693496713547
MuSCs (3 cells),Resolving-Mac (3 cells),591782.1675532291,36.4678427406627,804,736.0474720811308,0.0453580133590332
MuSCs (3 cells),FAPs (3 cells),534337.287148364,75.24784466795052,936,570.8731700303034,0.08039299644011808
MuSCs (3 cells),ECs (3 cells),467709.0535461277,48.91081428209176,918,509.4869864336903,0.053279754119925665
ECs (3 cells),MuSCs (3 cells),333272.98409665306,42.12001975268769,863,386.17958759751224,0.04880651188028701
MuSCs (3 cells),MuSCs (3 cells),226633.16386612042,43.71277629606654,979,231.49454940359593,0.044650435440313115
