Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
FAPs,Agt,Mas1,ECs,2,0.6666666666666666,1.551523333333333,4.65457,0.950716861801202,0.950716861801202,3,1.0,0.4904653333333333,1.471396,0.1781312055994899,0.1781312055994899,0.7609684088577776,0.1693523407764117,6.848715679719999,0.1693523407764117
FAPs,Agt,Mas1,FAPs,2,0.6666666666666666,1.551523333333333,4.65457,0.950716861801202,0.950716861801202,3,1.0,1.266692333333333,3.800077,0.4600476672363475,0.4600476672363475,1.965302711321111,0.4373750744739039,17.68772440189,0.4373750744739039
FAPs,Agt,Mas1,MuSCs,2,0.6666666666666666,1.551523333333333,4.65457,0.950716861801202,0.950716861801202,3,1.0,0.996236,2.988708,0.3618211271641626,0.3618211271641626,1.545683399506667,0.3439894465508863,13.91115059556,0.3439894465508864
MuSCs,Agt,Mas1,ECs,1,0.3333333333333333,0.08042766666666666,0.241283,0.04928313819879805,0.04928313819879804,3,1.0,0.4904653333333333,1.471396,0.1781312055994899,0.1781312055994899,0.03944698234088889,0.008778864823078169,0.355022841068,0.008778864823078169
MuSCs,Agt,Mas1,FAPs,1,0.3333333333333333,0.08042766666666666,0.241283,0.04928313819879805,0.04928313819879804,3,1.0,1.266692333333333,3.800077,0.4600476672363475,0.4600476672363475,0.1018771087545556,0.02267259276244357,0.916893978791,0.02267259276244357
MuSCs,Agt,Mas1,MuSCs,1,0.3333333333333333,0.08042766666666666,0.241283,0.04928313819879805,0.04928313819879804,3,1.0,0.996236,2.988708,0.3618211271641626,0.3618211271641626,0.08012493692933333,0.01783168061327631,0.7211244323639999,0.01783168061327631
FAPs,Agt,Agtr1a,ECs,2,0.6666666666666666,1.551523333333333,4.65457,0.950716861801202,0.950716861801202,3,1.0,1.137783333333333,3.41335,0.02543039699931523,0.02543039699931523,1.765297389944444,0.02417710722954768,15.8876765095,0.02417710722954768
FAPs,Agt,Agtr1a,FAPs,2,0.6666666666666666,1.551523333333333,4.65457,0.950716861801202,0.950716861801202,3,1.0,15.44817966666667,46.344539,0.3452795715412271,0.345279571541227,23.96821121035888,0.328263110699739,215.71390089323,0.328263110699739
FAPs,Agt,Agtr1a,MuSCs,2,0.6666666666666666,1.551523333333333,4.65457,0.950716861801202,0.950716861801202,3,1.0,28.15511333333333,84.46534,0.6292900314594577,0.6292900314594577,43.6833152893111,0.5982766438719153,393.1498376037999,0.5982766438719153
MuSCs,Agt,Agtr1a,ECs,1,0.3333333333333333,0.08042766666666666,0.241283,0.04928313819879805,0.04928313819879804,3,1.0,1.137783333333333,3.41335,0.02543039699931523,0.02543039699931523,0.09150925867222222,0.001253289769767551,0.8235833280500001,0.001253289769767551
