Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
ECs,Agt,Mas1,ECs,0.6666666666666666,0.20692800000000003,0.1147830852558177,0.6666666666666666,0.5607433333333334,0.2268055303321708,0.11603349648,0.02603343852460852
ECs,Agt,Mas1,FAPs,0.6666666666666666,0.20692800000000003,0.1147830852558177,1.0,1.266692333333333,0.5123428302242169,0.262114111152,0.05880829076183325
ECs,Agt,Mas1,MuSCs,0.6666666666666666,0.20692800000000003,0.1147830852558177,1.0,0.6449173333333332,0.2608516394436123,0.133451453952,0.02994135596937599
FAPs,Agt,Mas1,ECs,0.6666666666666666,1.5515233333333331,0.8606309201576903,0.6666666666666666,0.5607433333333334,0.2268055303321708,0.8700063656777778,0.1951958522666291
FAPs,Agt,Mas1,FAPs,0.6666666666666666,1.5515233333333331,0.8606309201576903,1.0,1.266692333333333,0.5123428302242169,1.9653027113211108,0.4409380814120631
FAPs,Agt,Mas1,MuSCs,0.6666666666666666,1.5515233333333331,0.8606309201576903,1.0,0.6449173333333332,0.2608516394436123,1.000604290737777,0.2244969864789981
ECs,Agt,Agtr1a,ECs,0.6666666666666666,0.20692800000000003,0.1147830852558177,0.6666666666666666,2.212188333333334,0.06691893508610255,0.4577637074400001,0.007681161831216644
ECs,Agt,Agtr1a,FAPs,0.6666666666666666,0.20692800000000003,0.1147830852558177,1.0,15.44817966666667,0.4673090969404124,3.196660922064,0.053639179914930564
ECs,Agt,Agtr1a,MuSCs,0.6666666666666666,0.20692800000000003,0.1147830852558177,1.0,15.39736566666667,0.4657719679734851,3.186146082672,0.05346274350967056
FAPs,Agt,Agtr1a,ECs,0.6666666666666666,1.5515233333333331,0.8606309201576903,0.6666666666666666,2.212188333333334,0.06691893508610255,3.432261816894445,0.057592504679125175
FAPs,Agt,Agtr1a,FAPs,0.6666666666666666,1.5515233333333331,0.8606309201576903,1.0,15.44817966666667,0.4673090969404124,23.968211210358877,0.4021806580978864
FAPs,Agt,Agtr1a,MuSCs,0.6666666666666666,1.5515233333333331,0.8606309201576903,1.0,15.39736566666667,0.4657719679734851,23.889372103698893,0.4008577573806787
ECs,Serping1,Sele,ECs,1.0,11.90597433333333,0.00889514967964238,1.0,7.321929333333332,1.0,87.17470271314708,0.00889514967964238
FAPs,Serping1,Sele,ECs,1.0,1205.102620666667,0.9003520325209805,1.0,7.321929333333332,1.0,8823.676227936141,0.9003520325209805
MuSCs,Serping1,Sele,ECs,1.0,121.4707743333333,0.09075281779937723,1.0,7.321929333333332,1.0,889.400425733947,0.09075281779937723
ECs,Serping1,Lrp1,ECs,1.0,11.90597433333333,0.00889514967964238,1.0,17.16653000000001,0.056034539712827916,204.38426557239669,0.0004984356179754694
ECs,Serping1,Lrp1,FAPs,1.0,11.90597433333333,0.00889514967964238,1.0,256.4443053333333,0.8370788162388805,3053.2193172281627,0.0074459413641027
ECs,Serping1,Lrp1,MuSCs,1.0,11.90597433333333,0.00889514967964238,1.0,32.74538866666666,0.1068866440482915,389.8657570003575,0.0009507726975642092
FAPs,Serping1,Lrp1,ECs,1.0,1205.102620666667,0.9003520325209805,1.0,17.16653000000001,0.056034539712827916,20687.43029075296,0.05045081172182221
FAPs,Serping1,Lrp1,FAPs,1.0,1205.102620666667,0.9003520325209805,1.0,256.4443053333333,0.8370788162388805,309041.70441224286,0.7536656135809324
FAPs,Serping1,Lrp1,MuSCs,1.0,1205.102620666667,0.9003520325209805,1.0,32.74538866666666,0.1068866440482915,39461.55369694856,0.09623560721822584
MuSCs,Serping1,Lrp1,ECs,1.0,121.4707743333333,0.09075281779937723,1.0,17.16653000000001,0.056034539712827916,2085.231691716398,0.0050852923730302394
MuSCs,Serping1,Lrp1,FAPs,1.0,121.4707743333333,0.09075281779937723,1.0,256.4443053333333,0.8370788162388805,31150.488342213765,0.0759672612938455
MuSCs,Serping1,Lrp1,MuSCs,1.0,121.4707743333333,0.09075281779937723,1.0,32.74538866666666,0.1068866440482915,3977.607717185957,0.009700264132501487
ECs,Serping1,Selp,ECs,1.0,11.90597433333333,0.00889514967964238,1.0,17.47090666666667,0.9803569739482672,208.00816635339558,0.0087204220227511
ECs,Serping1,Selp,MuSCs,1.0,11.90597433333333,0.00889514967964238,0.6666666666666666,0.1854676666666667,0.010407274443603341,2.208173278996556,9.257426393296858e-05
FAPs,Serping1,Selp,ECs,1.0,1205.102620666667,0.9003520325209805,1.0,17.47090666666667,0.9803569739482672,21054.23540942274,0.8826663940904402
