"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"day"
"1"	"ENSMUSG00000000247"	"Lhx2"	1	"specific"	"FAPs"	1	"D0"
"2"	"ENSMUSG00000001138"	"Cnnm3"	0.231054666032469	"housekeeping"	"FAPs"	1	"D0"
"3"	"ENSMUSG00000001143"	"Lman2l"	0.0593473179103469	"housekeeping"	"sCs"	1	"D0"
"4"	"ENSMUSG00000001305"	"Rrp15"	0.303345068609665	"intermediate"	"FAPs"	1	"D0"
"5"	"ENSMUSG00000001674"	"Ddx18"	0.117386051174001	"housekeeping"	"FAPs"	1	"D0"
"6"	"ENSMUSG00000001855"	"Nup214"	0.0645045427014199	"housekeeping"	"FAPs"	1	"D0"
"7"	"ENSMUSG00000002459"	"Rgs20"	0.901980540428461	"specific"	"FAPs"	1	"D0"
"8"	"ENSMUSG00000002546"	"Golga2"	0.315907980917925	"intermediate"	"FAPs"	1	"D0"
"9"	"ENSMUSG00000002550"	"Uck1"	0.332161585227832	"intermediate"	"FAPs"	1	"D0"
"10"	"ENSMUSG00000002881"	"Nab1"	0.107586723795848	"housekeeping"	"sCs"	1	"D0"
"11"	"ENSMUSG00000003135"	"Cnot11"	0.235686153404979	"housekeeping"	"ECs"	1	"D0"
"12"	"ENSMUSG00000003458"	"Ncstn"	0.164909979960136	"housekeeping"	"FAPs"	1	"D0"
"13"	"ENSMUSG00000003464"	"Pex19"	0.20298720909866	"housekeeping"	"FAPs"	1	"D0"
"14"	"ENSMUSG00000003721"	"Insig2"	0.24673984549625	"housekeeping"	"FAPs"	1	"D0"
"15"	"ENSMUSG00000004031"	"Brinp2"	1	"specific"	"sCs"	1	"D0"
"16"	"ENSMUSG00000004105"	"Angptl2"	0.308565664567109	"intermediate"	"FAPs"	1	"D0"
"17"	"ENSMUSG00000004364"	"Cul3"	0.116388554068838	"housekeeping"	"ECs"	1	"D0"
"18"	"ENSMUSG00000004872"	"Pax3"	1	"specific"	"sCs"	1	"D0"
"19"	"ENSMUSG00000004880"	"Lbr"	0.373679847404035	"intermediate"	"ECs"	1	"D0"
"20"	"ENSMUSG00000005338"	"Cadm3"	0.819719532985053	"specific"	"FAPs"	1	"D0"
"21"	"ENSMUSG00000005501"	"Usp40"	0.0374883230427703	"housekeeping"	"ECs"	1	"D0"
"22"	"ENSMUSG00000005674"	"Tomm40l"	0.0194274218943125	"housekeeping"	"FAPs"	1	"D0"
"23"	"ENSMUSG00000005677"	"Nr1i3"	0.128788317151209	"housekeeping"	"sCs"	1	"D0"
"24"	"ENSMUSG00000005681"	"Apoa2"	1	"specific"	"sCs"	1	"D0"
"25"	"ENSMUSG00000005763"	"Cd247"	0.59930845123697	"intermediate"	"ECs"	1	"D0"
"26"	"ENSMUSG00000005886"	"Ncoa2"	0.11736934617683	"housekeeping"	"FAPs"	1	"D0"
