"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"	"day"
"1"	"ENSMUSG00000000247"	"Lhx2"	1	"specific"	"FAPs"	1	0.436416438724558	"D0"
"2"	"ENSMUSG00000001138"	"Cnnm3"	0.23105466603247	"housekeeping"	"FAPs"	1	1.02201790079011	"D0"
"3"	"ENSMUSG00000001143"	"Lman2l"	0.0593473179103469	"housekeeping"	"sCs"	1	0.686768277183693	"D0"
"4"	"ENSMUSG00000001305"	"Rrp15"	0.303345068609665	"housekeeping"	"FAPs"	1	0.694166104320334	"D0"
"5"	"ENSMUSG00000001674"	"Ddx18"	0.117386051174001	"housekeeping"	"FAPs"	1	1.01060956513468	"D0"
"6"	"ENSMUSG00000001855"	"Nup214"	0.0645045427014199	"housekeeping"	"FAPs"	1	1.06425289408848	"D0"
"7"	"ENSMUSG00000002459"	"Rgs20"	0.901980540428461	"specific"	"FAPs"	1	0.500629349447186	"D0"
"8"	"ENSMUSG00000002546"	"Golga2"	0.315907980917925	"housekeeping"	"FAPs"	1	1.43307369406591	"D0"
"9"	"ENSMUSG00000002550"	"Uck1"	0.332161585227832	"housekeeping"	"FAPs"	1	0.995238253046767	"D0"
"10"	"ENSMUSG00000002881"	"Nab1"	0.107586723795848	"housekeeping"	"sCs"	1	1.40541115542311	"D0"
"11"	"ENSMUSG00000003135"	"Cnot11"	0.235686153404979	"housekeeping"	"ECs"	1	0.994562038233495	"D0"
"12"	"ENSMUSG00000003458"	"Ncstn"	0.164909979960136	"housekeeping"	"FAPs"	1	1.48078948405482	"D0"
"13"	"ENSMUSG00000003464"	"Pex19"	0.20298720909866	"housekeeping"	"FAPs"	1	1.14651777130017	"D0"
"14"	"ENSMUSG00000003721"	"Insig2"	0.24673984549625	"housekeeping"	"FAPs"	1	1.21228259644957	"D0"
"15"	"ENSMUSG00000004031"	"Brinp2"	1	"specific"	"sCs"	1	0.212857738969022	"D0"
"16"	"ENSMUSG00000004105"	"Angptl2"	0.308565664567109	"housekeeping"	"FAPs"	1	1.57247734452055	"D0"
"17"	"ENSMUSG00000004364"	"Cul3"	0.116388554068838	"housekeeping"	"ECs"	1	1.5054913183226	"D0"
"18"	"ENSMUSG00000004872"	"Pax3"	1	"specific"	"sCs"	1	0.289250018277643	"D0"
"19"	"ENSMUSG00000004880"	"Lbr"	0.373679847404035	"housekeeping"	"ECs"	1	1.65040216893335	"D0"
"20"	"ENSMUSG00000005338"	"Cadm3"	0.819719532985053	"specific"	"FAPs"	1	1.60229334367492	"D0"
"21"	"ENSMUSG00000005501"	"Usp40"	0.0374883230427704	"housekeeping"	"ECs"	1	1.12478244711491	"D0"
"22"	"ENSMUSG00000005674"	"Tomm40l"	0.0194274218943126	"housekeeping"	"FAPs"	1	0.352723210673916	"D0"
"23"	"ENSMUSG00000005677"	"Nr1i3"	0.128788317151209	"housekeeping"	"sCs"	1	0.403780094941804	"D0"
"24"	"ENSMUSG00000005681"	"Apoa2"	1	"specific"	"sCs"	1	0.120551694194939	"D0"
"25"	"ENSMUSG00000005763"	"Cd247"	0.59930845123697	"intermediate"	"ECs"	1	0.493046416802984	"D0"
"26"	"ENSMUSG00000005886"	"Ncoa2"	0.11736934617683	"housekeeping"	"FAPs"	1	1.41784019621936	"D0"
"27"	"ENSMUSG00000006010"	"Odr4"	0.22568270119822	"housekeeping"	"FAPs"	1	1.08734358847022	"D0"
"28"	"ENSMUSG00000006299"	"Aamp"	0.183595027535786	"housekeeping"	"FAPs"	1	1.22414170325163	"D0"
"29"	"ENSMUSG00000006301"	"Tmbim1"	0.249975644616287	"housekeeping"	"FAPs"	1	1.39715514726287	"D0"
"30"	"ENSMUSG00000006412"	"Pfdn2"	0.212477200472852	"housekeeping"	"FAPs"	1	0.573195316500404	"D0"
"31"	"ENSMUSG00000006471"	"Ndor1"	0.086302854404435	"housekeeping"	"FAPs"	1	0.848914594096074	"D0"
"32"	"ENSMUSG00000006542"	"Prkag3"	0.813768123215832	"specific"	"FAPs"	1	0.293378367817063	"D0"
"33"	"ENSMUSG00000006576"	"Slc4a3"	0.700151253830719	"intermediate"	"sCs"	1	1.11252722891219	"D0"
"34"	"ENSMUSG00000007097"	"Atp1a2"	0.579513773024656	"intermediate"	"sCs"	1	1.75708999119268	"D0"
"35"	"ENSMUSG00000007107"	"Atp1a4"	0.547600142542511	"intermediate"	"FAPs"	1	0.195319424612684	"D0"
"36"	"ENSMUSG00000008136"	"Fhl2"	0.636911516123371	"intermediate"	"FAPs"	1	0.824372877085006	"D0"
"37"	"ENSMUSG00000008475"	"Arpc5"	0.22529247976824	"housekeeping"	"ECs"	1	1.79004048365616	"D0"
"38"	"ENSMUSG00000009030"	"Pdcl"	0.137610640533957	"housekeeping"	"FAPs"	1	0.99163473075118	"D0"
"39"	"ENSMUSG00000009418"	"Nav1"	0.460803118584572	"housekeeping"	"FAPs"	1	1.99058516536862	"D0"
"40"	"ENSMUSG00000009551"	"6330409D20Rik"	0.79578177179854	"intermediate"	"ECs"	1	1.00239225387807	"D0"
"41"	"ENSMUSG00000009563"	"Tor2a"	0.23986617838897	"housekeeping"	"ECs"	1	0.926179983263113	"D0"
"42"	"ENSMUSG00000009614"	"Sardh"	0.612768821988924	"intermediate"	"FAPs"	1	0.452751468050623	"D0"
"43"	"ENSMUSG00000009633"	"G0s2"	0.412897328924832	"housekeeping"	"FAPs"	1	1.31911324080548	"D0"
"44"	"ENSMUSG00000009772"	"Nuak2"	0.611807419869249	"intermediate"	"ECs"	1	1.00103109763456	"D0"
"45"	"ENSMUSG00000009905"	"Kdsr"	0.32981844974546	"housekeeping"	"FAPs"	1	0.963766951497738	"D0"
"46"	"ENSMUSG00000009907"	"Vps4b"	0.160988265166056	"housekeeping"	"ECs"	1	1.34273658014588	"D0"
"47"	"ENSMUSG00000010175"	"Prox1"	1	"specific"	"sCs"	1	0.857540017214148	"D0"
"48"	"ENSMUSG00000010290"	"AI597479"	0.179295230577176	"housekeeping"	"FAPs"	1	0.664331534811028	"D0"
"49"	"ENSMUSG00000010311"	"Optc"	0.832768750871513	"specific"	"FAPs"	1	1.15990867315964	"D0"
"50"	"ENSMUSG00000010453"	"Kansl3"	0.0910620595267439	"housekeeping"	"FAPs"	1	1.17474018590127	"D0"
"51"	"ENSMUSG00000010609"	"Psen2"	0.230383158581635	"housekeeping"	"FAPs"	1	0.822023138114567	"D0"
"52"	"ENSMUSG00000013275"	"Slc41a1"	0.0813520265354741	"housekeeping"	"sCs"	1	0.877522797624147	"D0"
"53"	"ENSMUSG00000013465"	"Nelfb"	0.164151160611564	"housekeeping"	"FAPs"	1	1.22621512903608	"D0"
"54"	"ENSMUSG00000013698"	"Pea15a"	0.219848111915267	"housekeeping"	"FAPs"	1	1.68625450011512	"D0"
"55"	"ENSMUSG00000013973"	"Dedd"	0.085287301588545	"housekeeping"	"FAPs"	1	0.878256572875026	"D0"
"56"	"ENSMUSG00000013997"	"Nit1"	0.136313997383758	"housekeeping"	"FAPs"	1	0.981277127294386	"D0"
"57"	"ENSMUSG00000014602"	"Kif1a"	1	"specific"	"sCs"	1	0.682572980155622	"D0"
"58"	"ENSMUSG00000014852"	"Adamts13"	1	"specific"	"sCs"	1	0.0135076491980466	"D0"
"59"	"ENSMUSG00000014867"	"Surf4"	0.23798829553767	"housekeeping"	"FAPs"	1	1.64618044179476	"D0"
"60"	"ENSMUSG00000014873"	"Surf2"	0.206367462194886	"housekeeping"	"FAPs"	1	1.20255114299754	"D0"
"61"	"ENSMUSG00000014980"	"Tsen15"	0.280584543857883	"housekeeping"	"FAPs"	1	1.14633639714937	"D0"
"62"	"ENSMUSG00000015085"	"Entpd2"	0.820013861266817	"specific"	"FAPs"	1	1.95552741918291	"D0"
"63"	"ENSMUSG00000015087"	"Rabl6"	0.137858858634467	"housekeeping"	"FAPs"	1	1.14117521239979	"D0"
"64"	"ENSMUSG00000015092"	"Edf1"	0.0635705382453598	"housekeeping"	"ECs"	1	1.30839200037923	"D0"
"65"	"ENSMUSG00000015093"	"Clic3"	1	"specific"	"FAPs"	1	0.416370374095826	"D0"
