"GeneID" "countNormalized"
"ENSMUSG00000000247" "ENSMUSG00000000247" 11.9937924962735
"ENSMUSG00000000817" "ENSMUSG00000000817" 3.14379905491682
"ENSMUSG00000000889" "ENSMUSG00000000889" 8.0573111012439
"ENSMUSG00000001138" "ENSMUSG00000001138" 471.535874003553
"ENSMUSG00000001143" "ENSMUSG00000001143" 370.575193640102
"ENSMUSG00000001305" "ENSMUSG00000001305" 169.893027004535
"ENSMUSG00000001674" "ENSMUSG00000001674" 401.457933428905
"ENSMUSG00000001855" "ENSMUSG00000001855" 1274.45732859788
"ENSMUSG00000002459" "ENSMUSG00000002459" 70.6735398701869
"ENSMUSG00000002546" "ENSMUSG00000002546" 559.011445493916
"ENSMUSG00000002550" "ENSMUSG00000002550" 161.705144155795
"ENSMUSG00000002881" "ENSMUSG00000002881" 1084.6312404234
"ENSMUSG00000003135" "ENSMUSG00000003135" 340.596036327096
"ENSMUSG00000003418" "ENSMUSG00000003418" 18.2212466757241
"ENSMUSG00000003458" "ENSMUSG00000003458" 1094.08924594875
"ENSMUSG00000003464" "ENSMUSG00000003464" 700.842897484954
"ENSMUSG00000003721" "ENSMUSG00000003721" 889.050489114064
"ENSMUSG00000004031" "ENSMUSG00000004031" 13.0958444772589
"ENSMUSG00000004105" "ENSMUSG00000004105" 1377.08575656188
"ENSMUSG00000004110" "ENSMUSG00000004110" 19.0121341455965
"ENSMUSG00000004364" "ENSMUSG00000004364" 2536.05760310939
"ENSMUSG00000004552" "ENSMUSG00000004552" 0.756000340870607
"ENSMUSG00000004707" "ENSMUSG00000004707" 1.2906435917598
"ENSMUSG00000004709" "ENSMUSG00000004709" 0
"ENSMUSG00000004872" "ENSMUSG00000004872" 120.624804604711
"ENSMUSG00000004880" "ENSMUSG00000004880" 753.62373934546
"ENSMUSG00000005338" "ENSMUSG00000005338" 103.223457747809
"ENSMUSG00000005339" "ENSMUSG00000005339" 0
"ENSMUSG00000005501" "ENSMUSG00000005501" 1064.32536311489
"ENSMUSG00000005674" "ENSMUSG00000005674" 26.7877808366986
"ENSMUSG00000005677" "ENSMUSG00000005677" 6.45093291922683
"ENSMUSG00000005681" "ENSMUSG00000005681" 8.11516999205484
"ENSMUSG00000005763" "ENSMUSG00000005763" 43.073694672047
"ENSMUSG00000005886" "ENSMUSG00000005886" 2141.7642815119
"ENSMUSG00000006007" "ENSMUSG00000006007" 6.19534225935269
"ENSMUSG00000006010" "ENSMUSG00000006010" 367.122351723867
"ENSMUSG00000006299" "ENSMUSG00000006299" 474.022944659264
"ENSMUSG00000006301" "ENSMUSG00000006301" 1146.7557166226
"ENSMUSG00000006412" "ENSMUSG00000006412" 57.7586569597895
"ENSMUSG00000006469" "ENSMUSG00000006469" 2.3923687931906
"ENSMUSG00000006471" "ENSMUSG00000006471" 106.08885777082
"ENSMUSG00000006538" "ENSMUSG00000006538" 1.88983746239923
"ENSMUSG00000006542" "ENSMUSG00000006542" 100.527064318086
"ENSMUSG00000006546" "ENSMUSG00000006546" 0.34572486056019
"ENSMUSG00000006576" "ENSMUSG00000006576" 285.502923554149
"ENSMUSG00000007097" "ENSMUSG00000007097" 1924.58965589318
"ENSMUSG00000007107" "ENSMUSG00000007107" 99.1519979159161
"ENSMUSG00000008136" "ENSMUSG00000008136" 40.0101147343312
"ENSMUSG00000008475" "ENSMUSG00000008475" 460.068277765369
"ENSMUSG00000009030" "ENSMUSG00000009030" 332.016935657129
"ENSMUSG00000009214" "ENSMUSG00000009214" 755.930952426734
"ENSMUSG00000009216" "ENSMUSG00000009216" 0
"ENSMUSG00000009418" "ENSMUSG00000009418" 5769.38249072563
"ENSMUSG00000009551" "ENSMUSG00000009551" 22.4824394295225
"ENSMUSG00000009563" "ENSMUSG00000009563" 138.559002259573
"ENSMUSG00000009614" "ENSMUSG00000009614" 203.247785321636
"ENSMUSG00000009633" "ENSMUSG00000009633" 46.7146800534146
