"sample"	"batch"
"1"	"X2.421546"	"B1"
"2"	"X2.422368"	"B1"
"3"	"X2.421549"	"B1"
"4"	"X2.422357"	"B1"
"5"	"X2.422361"	"B1"
"6"	"X2.421548"	"B1"
"7"	"X2.422358"	"B1"
"8"	"X2.422356"	"B1"
"9"	"X2.422355"	"B1"
"10"	"X2.422363"	"B1"
"11"	"X2.422354"	"B1"
"12"	"X2.421547"	"B1"
"13"	"X2.422353"	"B1"
"14"	"X2.422362"	"B1"
"15"	"X2.422365"	"B1"
"16"	"X2.422369"	"B1"
"17"	"X2.421550"	"B1"
"18"	"X2.421540"	"B1"
"19"	"X2.422367"	"B1"
"20"	"X2.421544"	"B1"
"21"	"X2.421545"	"B1"
"22"	"X2.422360"	"B1"
"23"	"X2.422351"	"B1"
"24"	"X2.422370"	"B1"
"25"	"X2.421539"	"B1"
"26"	"X2.422352"	"B1"
"27"	"X2.421543"	"B1"
"28"	"X2.421541"	"B1"
"29"	"X2.422364"	"B1"
"30"	"X2.422366"	"B1"
"31"	"X2.422359"	"B1"
"32"	"X2.421542"	"B1"
"33"	"X2.424005"	"B2"
"34"	"X2.424006"	"B2"
"35"	"X2.424007"	"B2"
"36"	"X2.424008"	"B2"
"37"	"X2.424009"	"B2"
"38"	"X2.424010"	"B2"
"39"	"X2.424011"	"B2"
"40"	"X2.424012"	"B2"
"41"	"X2.424013"	"B2"
"42"	"X2.424014"	"B2"
"43"	"X2.424015"	"B2"
"44"	"X2.424016"	"B2"
"45"	"X2.424017"	"B2"
"46"	"X2.424018"	"B2"
"47"	"X2.424019"	"B2"
"48"	"X2.424020"	"B2"
"49"	"X2.424021"	"B2"
"50"	"X2.424022"	"B2"
"51"	"X2.424023"	"B2"
"52"	"X2.424024"	"B2"
"53"	"X2.424025"	"B2"
"54"	"X2.424026"	"B2"
"55"	"X2.424027"	"B2"
"56"	"X2.424028"	"B2"
"57"	"X2.424029"	"B2"
"58"	"X2.424030"	"B2"
"59"	"X2.424031"	"B2"
"60"	"X2.424032"	"B2"
"61"	"X2.424033"	"B2"
"62"	"X2.424034"	"B2"
"63"	"X2.424035"	"B2"
"64"	"X2.424036"	"B2"
"65"	"X2.428154"	"B3"
"66"	"X2.428157"	"B3"
"67"	"X2.428081"	"B3"
"68"	"X2.428098"	"B3"
"69"	"X2.428079"	"B3"
"70"	"X2.428090"	"B3"
"71"	"X2.428089"	"B3"
"72"	"X2.428084"	"B3"
"73"	"X2.428153"	"B3"
"74"	"X2.428155"	"B3"
"75"	"X2.428077"	"B3"
"76"	"X2.428156"	"B3"
"77"	"X2.428151"	"B3"
"78"	"X2.428100"	"B3"
"79"	"X2.428082"	"B3"
"80"	"X2.428078"	"B3"
"81"	"X2.428094"	"B3"
"82"	"X2.428099"	"B3"
"83"	"X2.428152"	"B3"
"84"	"X2.428092"	"B3"
"85"	"X2.428080"	"B3"
"86"	"X2.428088"	"B3"
"87"	"X2.428096"	"B3"
"88"	"X2.428095"	"B3"
"89"	"X2.428083"	"B3"
"90"	"X2.428097"	"B3"
"91"	"X2.428158"	"B3"
"92"	"X2.428085"	"B3"
"93"	"X2.428093"	"B3"
"94"	"X2.428086"	"B3"
"95"	"X2.428091"	"B3"
"96"	"X2.428087"	"B3"
"97"	"X2.429776"	"B4"
"98"	"X2.429791"	"B4"
"99"	"X2.429788"	"B4"
"100"	"X2.429770"	"B4"
"101"	"X2.429785"	"B4"
"102"	"X2.429783"	"B4"
"103"	"X2.429778"	"B4"
"104"	"X2.429779"	"B4"
"105"	"X2.429784"	"B4"
"106"	"X2.429790"	"B4"
"107"	"X2.429781"	"B4"
"108"	"X2.429777"	"B4"
"109"	"X2.429775"	"B4"
"110"	"X2.429798"	"B4"
"111"	"X2.429774"	"B4"
"112"	"X2.429796"	"B4"
"113"	"X2.429787"	"B4"
"114"	"X2.429771"	"B4"
"115"	"X2.429789"	"B4"
"116"	"X2.429794"	"B4"
"117"	"X2.429800"	"B4"
"118"	"X2.429792"	"B4"
"119"	"X2.429786"	"B4"
"120"	"X2.429797"	"B4"
"121"	"X2.429793"	"B4"
"122"	"X2.429773"	"B4"
"123"	"X2.429780"	"B4"
"124"	"X2.429782"	"B4"
"125"	"X2.429772"	"B4"
"126"	"X2.429799"	"B4"
"127"	"X2.429795"	"B4"
