,sample,time,age,type,group
X2.421539,X2.421539,D2,Young,Resolving-Mac-RNA,YoungResolving-Mac-RNA
X2.421540,X2.421540,D7,Young,Resolving-Mac-RNA,YoungResolving-Mac-RNA
X2.421541,X2.421541,D2,Young,Inflammatory-Mac-RNA,YoungInflammatory-Mac-RNA
X2.421542,X2.421542,D2,Old,Resolving-Mac-RNA,OldResolving-Mac-RNA
X2.421543,X2.421543,D4,Old,Resolving-Mac-RNA,OldResolving-Mac-RNA
X2.421544,X2.421544,D4,Old,Inflammatory-Mac-RNA,OldInflammatory-Mac-RNA
X2.421545,X2.421545,D4,Young,Inflammatory-Mac-RNA,YoungInflammatory-Mac-RNA
X2.421546,X2.421546,D2,Old,Inflammatory-Mac-RNA,OldInflammatory-Mac-RNA
X2.421547,X2.421547,D4,Young,Resolving-Mac-RNA,YoungResolving-Mac-RNA
X2.421548,X2.421548,D7,Young,Resolving-Mac-RNA,YoungResolving-Mac-RNA
X2.421549,X2.421549,D4,Old,Resolving-Mac-RNA,OldResolving-Mac-RNA
X2.421550,X2.421550,D4,Old,Inflammatory-Mac-RNA,OldInflammatory-Mac-RNA
X2.422351,X2.422351,D4,Young,Resolving-Mac-RNA,YoungResolving-Mac-RNA
X2.422352,X2.422352,D4,Young,Inflammatory-Mac-RNA,YoungInflammatory-Mac-RNA
X2.422353,X2.422353,D2,Old,Resolving-Mac-RNA,OldResolving-Mac-RNA
X2.422354,X2.422354,D7,Old,Resolving-Mac-RNA,OldResolving-Mac-RNA
X2.422355,X2.422355,D2,Old,Inflammatory-Mac-RNA,OldInflammatory-Mac-RNA
X2.422356,X2.422356,D4,Old,Resolving-Mac-RNA,OldResolving-Mac-RNA
X2.422357,X2.422357,D4,Old,Inflammatory-Mac-RNA,OldInflammatory-Mac-RNA
X2.422358,X2.422358,D2,Young,Resolving-Mac-RNA,YoungResolving-Mac-RNA
X2.422359,X2.422359,D2,Young,Inflammatory-Mac-RNA,YoungInflammatory-Mac-RNA
X2.422360,X2.422360,D2,Old,Inflammatory-Mac-RNA,OldInflammatory-Mac-RNA
X2.422361,X2.422361,D2,Old,Resolving-Mac-RNA,OldResolving-Mac-RNA
X2.422362,X2.422362,D7,Old,Resolving-Mac-RNA,OldResolving-Mac-RNA
X2.422365,X2.422365,D2,Young,Resolving-Mac-RNA,YoungResolving-Mac-RNA
X2.422366,X2.422366,D7,Young,Resolving-Mac-RNA,YoungResolving-Mac-RNA
X2.422367,X2.422367,D2,Young,Inflammatory-Mac-RNA,YoungInflammatory-Mac-RNA
X2.422368,X2.422368,D7,Old,Resolving-Mac-RNA,OldResolving-Mac-RNA
X2.422369,X2.422369,D4,Young,Resolving-Mac-RNA,YoungResolving-Mac-RNA
X2.422370,X2.422370,D4,Young,Inflammatory-Mac-RNA,YoungInflammatory-Mac-RNA
X2.424005,X2.424005,D2,Young,FAPs-RNA,YoungFAPs-RNA
X2.424006,X2.424006,D7,Young,FAPs-RNA,YoungFAPs-RNA
X2.424007,X2.424007,D4,Young,FAPs-RNA,YoungFAPs-RNA
X2.424008,X2.424008,D0,Old,FAPs-RNA,OldFAPs-RNA
X2.424009,X2.424009,D4,Old,FAPs-RNA,OldFAPs-RNA
