"id"	"cluster"
"ENSMUSG00000009614"	"cluster_2"
"ENSMUSG00000015962"	"cluster_1"
"ENSMUSG00000026043"	"cluster_2"
"ENSMUSG00000026207"	"cluster_2"
"ENSMUSG00000026208"	"cluster_2"
"ENSMUSG00000026489"	"cluster_2"
"ENSMUSG00000026548"	"cluster_2"
"ENSMUSG00000026582"	"cluster_1"
"ENSMUSG00000026586"	"cluster_2"
"ENSMUSG00000026675"	"cluster_1"
"ENSMUSG00000026748"	"cluster_2"
"ENSMUSG00000026835"	"cluster_1"
"ENSMUSG00000026950"	"cluster_2"
"ENSMUSG00000037995"	"cluster_2"
"ENSMUSG00000040265"	"cluster_1"
"ENSMUSG00000044103"	"cluster_1"
"ENSMUSG00000061816"	"cluster_2"
"ENSMUSG00000062510"	"cluster_2"
"ENSMUSG00000001128"	"cluster_1"
"ENSMUSG00000005089"	"cluster_1"
"ENSMUSG00000017002"	"cluster_1"
"ENSMUSG00000017754"	"cluster_2"
"ENSMUSG00000027200"	"cluster_2"
"ENSMUSG00000027204"	"cluster_2"
"ENSMUSG00000027360"	"cluster_1"
"ENSMUSG00000041762"	"cluster_2"
"ENSMUSG00000051379"	"cluster_1"
"ENSMUSG00000063873"	"cluster_1"
"ENSMUSG00000068735"	"cluster_2"
"ENSMUSG00000072980"	"cluster_1"
"ENSMUSG00000074796"	"cluster_1"
"ENSMUSG00000001020"	"cluster_1"
"ENSMUSG00000009108"	"cluster_1"
"ENSMUSG00000014599"	"cluster_1"
"ENSMUSG00000028128"	"cluster_1"
"ENSMUSG00000028459"	"cluster_2"
"ENSMUSG00000028480"	"cluster_1"
"ENSMUSG00000031373"	"cluster_1"
"ENSMUSG00000032902"	"cluster_1"
"ENSMUSG00000039693"	"cluster_1"
"ENSMUSG00000040264"	"cluster_2"
"ENSMUSG00000040289"	"cluster_2"
"ENSMUSG00000050931"	"cluster_1"
"ENSMUSG00000051136"	"cluster_1"
"ENSMUSG00000056054"	"cluster_1"
"ENSMUSG00000086564"	"cluster_1"
"ENSMUSG00000006442"	"cluster_1"
"ENSMUSG00000028654"	"cluster_2"
"ENSMUSG00000029101"	"cluster_2"
"ENSMUSG00000029108"	"cluster_1"
"ENSMUSG00000029314"	"cluster_1"
"ENSMUSG00000029379"	"cluster_1"
"ENSMUSG00000033295"	"cluster_2"
"ENSMUSG00000034438"	"cluster_2"
"ENSMUSG00000034926"	"cluster_1"
"ENSMUSG00000039713"	"cluster_2"
"ENSMUSG00000040537"	"cluster_2"
"ENSMUSG00000043036"	"cluster_2"
"ENSMUSG00000079363"	"cluster_2"
