"id"	"cluster"
"ENSMUSG00000009214"	"cluster_2"
"ENSMUSG00000010311"	"cluster_1"
"ENSMUSG00000016194"	"cluster_5"
"ENSMUSG00000016526"	"cluster_6"
"ENSMUSG00000016529"	"cluster_6"
"ENSMUSG00000026023"	"cluster_5"
"ENSMUSG00000026039"	"cluster_6"
"ENSMUSG00000026196"	"cluster_6"
"ENSMUSG00000026241"	"cluster_1"
"ENSMUSG00000026251"	"cluster_6"
"ENSMUSG00000026253"	"cluster_6"
"ENSMUSG00000026274"	"cluster_6"
"ENSMUSG00000026414"	"cluster_2"
"ENSMUSG00000026459"	"cluster_2"
"ENSMUSG00000026574"	"cluster_1"
"ENSMUSG00000026605"	"cluster_6"
"ENSMUSG00000026676"	"cluster_3"
"ENSMUSG00000026683"	"cluster_6"
"ENSMUSG00000026697"	"cluster_5"
"ENSMUSG00000026875"	"cluster_6"
"ENSMUSG00000026980"	"cluster_6"
"ENSMUSG00000034220"	"cluster_6"
"ENSMUSG00000039349"	"cluster_5"
"ENSMUSG00000039748"	"cluster_6"
"ENSMUSG00000040170"	"cluster_5"
"ENSMUSG00000040181"	"cluster_4"
"ENSMUSG00000041498"	"cluster_6"
"ENSMUSG00000041859"	"cluster_6"
"ENSMUSG00000047361"	"cluster_5"
"ENSMUSG00000048096"	"cluster_3"
"ENSMUSG00000048402"	"cluster_1"
"ENSMUSG00000049866"	"cluster_6"
"ENSMUSG00000054203"	"cluster_6"
"ENSMUSG00000062510"	"cluster_6"
"ENSMUSG00000073557"	"cluster_5"
"ENSMUSG00000091844"	"cluster_6"
"ENSMUSG00000002458"	"cluster_6"
"ENSMUSG00000005233"	"cluster_6"
"ENSMUSG00000017897"	"cluster_5"
"ENSMUSG00000025665"	"cluster_6"
"ENSMUSG00000026971"	"cluster_6"
"ENSMUSG00000027171"	"cluster_4"
"ENSMUSG00000027203"	"cluster_6"
"ENSMUSG00000027323"	"cluster_6"
"ENSMUSG00000027339"	"cluster_5"
"ENSMUSG00000027358"	"cluster_5"
"ENSMUSG00000027452"	"cluster_3"
"ENSMUSG00000027454"	"cluster_6"
"ENSMUSG00000027469"	"cluster_6"
"ENSMUSG00000027490"	"cluster_6"
"ENSMUSG00000027579"	"cluster_6"
"ENSMUSG00000027654"	"cluster_6"
"ENSMUSG00000031262"	"cluster_6"
"ENSMUSG00000031304"	"cluster_4"
"ENSMUSG00000031343"	"cluster_5"
"ENSMUSG00000031383"	"cluster_6"
"ENSMUSG00000032698"	"cluster_1"
"ENSMUSG00000033777"	"cluster_6"
"ENSMUSG00000034311"	"cluster_6"
"ENSMUSG00000037005"	"cluster_5"
"ENSMUSG00000037010"	"cluster_6"
"ENSMUSG00000040084"	"cluster_6"
"ENSMUSG00000041219"	"cluster_6"
"ENSMUSG00000045103"	"cluster_5"
"ENSMUSG00000048327"	"cluster_6"
"ENSMUSG00000049999"	"cluster_5"
"ENSMUSG00000051220"	"cluster_6"
"ENSMUSG00000051747"	"cluster_2"
"ENSMUSG00000055612"	"cluster_6"
"ENSMUSG00000055653"	"cluster_1"
"ENSMUSG00000067818"	"cluster_3"
"ENSMUSG00000005640"	"cluster_5"
"ENSMUSG00000011008"	"cluster_6"
"ENSMUSG00000027715"	"cluster_6"
"ENSMUSG00000027792"	"cluster_5"
"ENSMUSG00000027843"	"cluster_6"
"ENSMUSG00000027858"	"cluster_3"
"ENSMUSG00000027875"	"cluster_5"
"ENSMUSG00000028068"	"cluster_6"
"ENSMUSG00000028175"	"cluster_6"
"ENSMUSG00000028347"	"cluster_6"
"ENSMUSG00000028348"	"cluster_6"
"ENSMUSG00000028364"	"cluster_6"
"ENSMUSG00000028475"	"cluster_3"
"ENSMUSG00000035683"	"cluster_6"
