"pathway"	"pval"	"padj"	"ES"	"regulation"	"NES"	"listOfgenes"	"ngenes"
"REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION"	0.0247855229704559	0.696191005063533	0.455196808887661	"Up"	1.65716763115544	"Gpha2, Gpr15, Htr6, Htr4, Drd1, Gipr, Pth2r, Htr7, Adcy5"	9
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION"	0.00640177485532523	0.696191005063533	0.482680199597858	"Up"	1.82912391905528	"Gpha2, Gpr15, Htr6, Htr4, Drd1, Yes1, Cd3g, Gipr, Pth2r, Htr7, Dpep1, Adcy5"	12
"REACTOME_DEFECTIVE_FACTOR_IX_CAUSES_HEMOPHILIA_B"	0.0137137259703686	0.696191005063533	0.836556456643793	"Up"	1.59466881174504	"F11, Gp5, F8"	3
"REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS_"	0.0137137259703686	0.696191005063533	0.836556456643793	"Up"	1.59466881174504	"F11, Gp5, F8"	3
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE_"	0.0249195885481354	0.696191005063533	0.662567899322745	"Up"	1.61921166755777	"F11, Cd177, Gp5, F8, Prtn3"	5
"REACTOME_G_ALPHA_S_SIGNALLING_EVENTS"	0.0135952435867866	0.696191005063533	0.418031570147603	"Up"	1.72004793111753	"Gpha2, Gpr15, Olfr272, Olfr1428, Htr6, Htr4, Drd1"	7
"REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION"	0.0137137259703686	0.696191005063533	0.836556456643793	"Up"	1.59466881174504	"F11, Gp5, F8"	3
"REACTOME_LEISHMANIA_INFECTION"	0.0204905675218605	0.696191005063533	0.425884207455961	"Up"	1.6722558972467	"Gpha2, Gpr15, Htr6, Htr4, Drd1, Yes1, Cd3g, Gipr, Pth2r, Htr7, Nox1, Dpep1, Adcy5"	13
"REACTOME_O_LINKED_GLYCOSYLATION"	0.0176430546101163	0.696191005063533	0.491871119743003	"Up"	1.70408890381648	"Thsd4, Galntl5, Sbspon, Galnt17, Galnt9, Adamts9, Gcnt3, Adamts12, Adamts5, Galnt16, Sema5a"	11
"REACTOME_SEROTONIN_RECEPTORS"	0.0180507846703038	0.696191005063533	0.763420724094881	"Up"	1.61320673256815	"Htr6, Htr4, Htr2a, Htr7"	4
"HALLMARK_G2M_CHECKPOINT"	0.0754912263940639	0.741477592183394	0.595301697218767	"Up"	1.45482365632089	"Hoxc10, Mt2, Dmd"	3
"HALLMARK_HEME_METABOLISM"	0.0370950360342157	0.741477592183394	0.72374278346706	"Up"	1.52936211198737	"Slc30a10, Bcam, Selenbp2"	3
"HALLMARK_KRAS_SIGNALING_DN"	0.0369489189645982	0.741477592183394	0.395591351730393	"Up"	1.58468293138026	"Tex15, Pnmt, Sidt1, P2ry4, Pax4, Smpx, Itih3, Edn1, Chrng, Oxt, Thnsl2, Tcf7l1, Upk3b"	13
"HALLMARK_PANCREAS_BETA_CELLS"	0.0732938441450909	0.741477592183394	0.597353552445455	"Up"	1.45983806756325	"Pax4, Dcx, Pak3, G6pc2, Hnf1a"	5
"REACTOME_BETA_DEFENSINS"	0.0603488920320603	0.741477592183394	0.6916354556804	"Up"	1.46151517554007	"Defb47, Ccr6, Defb30, Defb42"	4
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM"	0.0905910545925239	0.741477592183394	0.718696961699326	"Up"	1.37000153524108	"Ptgis, Slc27a5, Cyp7b1"	3
