"Node1" "Node2" "level" "size"
"1" "root1" "root1" "1" NA
"2" "root1" "NOT_IN_REACTOME_HIERARCHIE" "2" NA
"3" "NOT_IN_REACTOME_HIERARCHIE" "DNA_METHYLATION" "3" "44"
"4" "NOT_IN_REACTOME_HIERARCHIE" "ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION" "3" "55"
"5" "NOT_IN_REACTOME_HIERARCHIE" "LTC4_CYSLTR_MEDIATED_IL4_PRODUCTION" "3" "3"
"6" "NOT_IN_REACTOME_HIERARCHIE" "ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS" "3" "8"
"7" "NOT_IN_REACTOME_HIERARCHIE" "AMYLOID_FIBER_FORMATION" "3" "68"
"8" "NOT_IN_REACTOME_HIERARCHIE" "CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI" "3" "610"
"9" "NOT_IN_REACTOME_HIERARCHIE" "RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY" "3" "94"
"10" "NOT_IN_REACTOME_HIERARCHIE" "PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS" "3" "61"
"11" "NOT_IN_REACTOME_HIERARCHIE" "ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION" "3" "58"
"12" "NOT_IN_REACTOME_HIERARCHIE" "ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION" "3" "20"
"13" "NOT_IN_REACTOME_HIERARCHIE" "CHAPERONE_MEDIATED_AUTOPHAGY" "3" "18"
"14" "NOT_IN_REACTOME_HIERARCHIE" "CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX" "3" "12"
"15" "NOT_IN_REACTOME_HIERARCHIE" "COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING" "3" "25"
"16" "NOT_IN_REACTOME_HIERARCHIE" "DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS" "3" "57"
"17" "NOT_IN_REACTOME_HIERARCHIE" "DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS" "3" "128"
"18" "NOT_IN_REACTOME_HIERARCHIE" "E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION" "3" "9"
"19" "NOT_IN_REACTOME_HIERARCHIE" "ELEVATION_OF_CYTOSOLIC_CA2_LEVELS" "3" "12"
"20" "NOT_IN_REACTOME_HIERARCHIE" "EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS" "3" "31"
"21" "NOT_IN_REACTOME_HIERARCHIE" "FCGR3A_MEDIATED_IL10_SYNTHESIS" "3" "29"
"22" "NOT_IN_REACTOME_HIERARCHIE" "FOLDING_OF_ACTIN_BY_CCT_TRIC" "3" "9"
"23" "NOT_IN_REACTOME_HIERARCHIE" "FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX" "3" "56"
"24" "NOT_IN_REACTOME_HIERARCHIE" "G1_S_SPECIFIC_TRANSCRIPTION" "3" "28"
"25" "NOT_IN_REACTOME_HIERARCHIE" "GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION" "3" "32"
"26" "NOT_IN_REACTOME_HIERARCHIE" "INACTIVATION_OF_CDC42_AND_RAC1" "3" "8"
"27" "NOT_IN_REACTOME_HIERARCHIE" "INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS" "3" "35"
"28" "NOT_IN_REACTOME_HIERARCHIE" "INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS" "3" "34"
"29" "NOT_IN_REACTOME_HIERARCHIE" "INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES" "3" "24"
"30" "NOT_IN_REACTOME_HIERARCHIE" "MRNA_SPLICING_MINOR_PATHWAY" "3" "52"
"31" "NOT_IN_REACTOME_HIERARCHIE" "NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS" "3" "37"
"32" "NOT_IN_REACTOME_HIERARCHIE" "NUCLEAR_IMPORT_OF_REV_PROTEIN" "3" "32"
"33" "NOT_IN_REACTOME_HIERARCHIE" "NUCLEOBASE_BIOSYNTHESIS" "3" "15"
"34" "NOT_IN_REACTOME_HIERARCHIE" "PHASE_3_RAPID_REPOLARISATION" "3" "3"
"35" "NOT_IN_REACTOME_HIERARCHIE" "REDUCTION_OF_CYTOSOLIC_CA_LEVELS" "3" "10"
"36" "NOT_IN_REACTOME_HIERARCHIE" "RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA" "3" "26"
