"pathway"	"pval"	"padj"	"log2err"	"ES"	"NES"	"size"	"gene_symbols"
"REACTOME_INNATE_IMMUNE_SYSTEM"	4.93501140767905e-09	7.82692809257897e-06	0.761460801445585	0.712700290993796	1.651989859005	822	"C4b, Serpinb1a, Cfh, Plau, Lgals3, C7, Serpinb6a, Fth1, Serping1, Nlrc5, Syk, Cfb, Crispld2, Cd55, Ctsl, Arpc1b, Tmem63a, Zbp1, Mme, Pros1, Pygl, Lbp, Enpp4, Ifi205, Ptprj, B2m, H2-T23, Cstb, Sirpa, Mgst1, Irf7, Hpse, Alpk1, Lyn, Npc2, Ctsb, Ube2l6, C3, Gsdmd, Ifih1, Birc3, Ampd3, Herc6, Mef2c, Anxa2, Casp4, Serpina3c, Itpr3, H2-D1, Sdcbp, Ly86, Tnfrsf1b, Psap, Psmb9, Pgm1, Adgre4, Tnfaip6, Cd47, Pkm, Trim25, Masp1, Nfkb1, Nfkb2, Cr1l, Gsn, H2-Q10, Ddx58, Lcn2, C2, Irak3, Grn, Unc93b1, Tmem30a, Capn1, Psmd10, Fyn, Tlr7, Rhoa, Iqgap1, Mapk9, P2rx7, Rab5c, Pdxk, Gca, Gusb, Psme1, Lcp2, Ms4a2, Prdx6, Eef1a1, Gns, Mapk3, Plac8, Colec10, Aprt, Tlr3, Mvp, Slpi, Ctss, Mapkapk3, Idh1, Tspan14, Uba7, Rps6ka3, Crcp, Serpina3m, Muc5ac, Mndal, Cdc34, Ppbp, Arsb, Ahcyl1, Isg15, Bst2, Lrrc7, Acpp, Map3k14, Nod1, Nos2, Lamp2, Pik3cb, Psmb8, Vav2, Tank, Psmd12, Sting1, Lyz2, Atp6v1a, Hp, Snap29, Diaph1, Tlr9, Prdx4, Dnajc13, Hexb, B4galt1, Tlr4, Cct8, Itgb2, Nlrx1, Orm1, Actr10, Rnf135, Lamp1, Cpped1, Gab2, Fgl2, Rab3d, Trim21, Trpm2, Eef2, Bcl2, S100b"
"REACTOME_SIGNALING_BY_INTERLEUKINS"	2.90357055425421e-05	0.0197685167905978	0.575610261071129	0.727881024715938	1.62572355664889	386	"Csf1, Ccl2, Timp1, Cdkn1a, Ccl11, Anxa1, Syk, Osmr, Jak2, Lifr, Lbp, Il13ra2, Il1r1, Vegfa, Foxo1, Lyn, Ptgs2, Ccnd1, Fgf2, Ptpn12, Gsdmd, Il1rl1, Rhou, Jak1, Csf2rb2, Mef2c, Anxa2, Il1rap, Il7, Il6, Stat5b, Il15ra, Tnfrsf1b, Smad3, Socs5, Psmb9, Stat2, Il33, Nfkb1, Nfkb2, F13a1, Lcn2, Irak3, Fn1, Il4ra, Il3ra, Psmd10, Fyn, Cebpd, Mapk9, Psme1, Il17ra, Il1r2, Mapk3, Pim1, Il10rb, Sod2, Vim, Il1rl2, Lgals9, Mapkapk3, Il1rn, Rps6ka3, Ptpn7, Myc, Nod1, Nos2, Pik3cb, Psmb8, Il11ra1, Psmd12"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"	3.73931591247122e-05	0.0197685167905978	0.557332238758646	0.682126532461446	1.56410178984243	599	"Csf1, Ccl2, Timp1, Cdkn1a, Ccl11, Anxa1, Trim30d, Syk, Osmr, Jak2, Lifr, Ifitm3, Mt2, Lbp, Sp100, Il13ra2, Ptprj, B2m, H2-T23, Oas1a, Ifngr1, Irf7, Samhd1, H2-K1, Il1r1, Gbp8, Vegfa, Gbp2, Foxo1, Ifngr2, Lyn, Ifnar2, Ube2l6, Ptgs2, Ccnd1, Fgf2, Ptpn12, Gsdmd, Il1rl1, Rhou, Oas1g, Jak1, Trim14, Trim30a, Oas3, Csf2rb2, Birc3, Herc6, Mef2c, Gbp5, Anxa2, Il1rap, Gbp4, H2-D1, Il7, Il6, Stat5b, Il15ra, Tnfrsf1b, Smad3, Socs5, Cd40, Rsad2, Psmb9, Stat2, Nup93, Il33, H2-Q4, Trim25, Nfkb1, Gbp3, Nfkb2, Tnfsf13b, F13a1, H2-Q10, Ddx58, Lcn2, Irak3, Fn1, Il4ra, Il3ra, Psmd10, Ifitm2, Fyn, Cebpd, Arih1, Tnfrsf13c, Ifit2, Oas2, Mapk9, Eif2ak2, H2-T22, Psme1, Il17ra, Il1r2, Nup37, Mapk3, Pim1, Il10rb, Sod2, Vim, Gbp7, Camk2d, Il1rl2, Gbp10, Lgals9, Mapkapk3, Il1rn, Uba7, Rps6ka3, Ptpn7, Nup155, Gbp9, Myc, Isg15, Bst2, Mid1, Map3k14, Nod1, Nos2, Pik3cb, Psmb8, Il11ra1, Psmd12"
"REACTOME_NEUTROPHIL_DEGRANULATION"	0.000100063474632308	0.0396751676917102	0.538434096309916	0.713528033192748	1.59527121894899	403	"Serpinb1a, Plau, Lgals3, Serpinb6a, Fth1, Crispld2, Cd55, Tmem63a, Mme, Pygl, Enpp4, Ifi205, Ptprj, B2m, H2-T23, Cstb, Sirpa, Mgst1, Hpse, Npc2, Ctsb, C3, Gsdmd, Ampd3, Anxa2, Serpina3c, H2-D1, Sdcbp, Tnfrsf1b, Psap, Pgm1, Adgre4, Tnfaip6, Cd47, Pkm, Nfkb1, Cr1l, Gsn, H2-Q10, Lcn2, Grn, Tmem30a, Capn1, Rhoa, Iqgap1, Rab5c, Pdxk, Gca, Gusb, Prdx6, Eef1a1, Gns, Plac8, Aprt, Mvp, Slpi, Ctss, Idh1, Tspan14, Serpina3m, Mndal, Ppbp, Arsb, Bst2, Lrrc7, Acpp, Lamp2, Psmd12, Sting1, Lyz2, Hp, Snap29, Diaph1, Prdx4, Dnajc13, Hexb, B4galt1, Cct8, Itgb2, Orm1, Actr10, Lamp1, Cpped1, Fgl2, Rab3d, Trpm2, Eef2"
"REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM"	0.000472277389343852	0.14980638789987	0.49849310876659	0.965659328629592	1.58203227929756	16	"Enpp2, Enpp3"
"REACTOME_BIOLOGICAL_OXIDATIONS"	0.00159747282272889	0.422265316141338	0.45505986738723	0.786286118523058	1.62725792166187	134	"Dpep1, Ugt1a7c, Maob, Ephx1, Ces1d, Cyp1b1, Aldh1a1, Adh1, Gstm1, Ptgs1, Mgst1, Ahr, Nqo2, Aldh2, Cyp4b1, Ugdh, Cyp2f2, Cyp2j9, Gstm2, Sult6b1, Ggt5, Acy3, Cndp2, Esd, Cyp4f18, Acss2, Chac1, Nr1h4, Gstm4"
"REACTOME_COMPLEMENT_CASCADE"	0.00198332464038111	0.449364697092064	0.431707695803346	0.917891022822757	1.69480187631383	41	"C4b, Cfh, C7, Serping1, Cfb, Cd55, Pros1, C3, Masp1, Cr1l, C2, Colec10"
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"	0.00342062067154674	0.523476634666305	0.431707695803346	0.840853344415426	1.67824496025678	91	"Ccl2, Timp1, Cdkn1a, Ccl11, Anxa1, Jak2, Lbp, Il13ra2, Vegfa, Foxo1, Ptgs2, Ccnd1, Fgf2, Rhou, Jak1, Il6, Tnfrsf1b, Socs5, F13a1, Lcn2, Fn1, Il4ra, Cebpd, Pim1, Vim, Myc, Nos2, Stat1, Il13ra1, Jak3, Mmp3, Itgb2, Il6ra"
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"	0.00414011038528339	0.523476634666305	0.407017918923954	0.797918854831853	1.62755727779842	110	"Ccl9, Penk, Ccl2, Rln1, Ccl11, Anxa1, Cxcl13, Agtr2, Apln, Ackr3, Ece1, Cxcl12, Cx3cl1, Ackr1, Ccl7, Agtr1a, C3, Psap, Nmb, Cckbr"
"REACTOME_INTERLEUKIN_10_SIGNALING"	0.00339056418788713	0.523476634666305	0.431707695803346	0.893925473831955	1.58520508787306	32	"Csf1, Ccl2, Timp1, Il1r1, Ptgs2, Jak1, Il6, Tnfrsf1b, Il1r2, Il10rb, Il1rn"
"REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES"	0.00379626337277017	0.523476634666305	0.431707695803346	0.890690325431014	1.57946817371711	32	"Slco2b1, Slco2a1, Slc16a2, Slco3a1, Apod, Arl2bp"
"REACTOME_TRANSPORT_OF_ORGANIC_ANIONS"	0.00462085301723094	0.523476634666305	0.407017918923954	0.984478764616961	1.47066194487625	6	"Slco2b1, Slco2a1, Slc16a2, Slco3a1"
"REACTOME_RELAXIN_RECEPTORS"	0.00416560494392575	0.523476634666305	0.407017918923954	0.989749297208493	1.44320752383469	4	"Rln1, Rln3"
"REACTOME_NGF_INDEPENDANT_TRKA_ACTIVATION"	0.00437563062053863	0.523476634666305	0.407017918923954	0.989309738093479	1.44256657867439	4	"Ntrk2, Adcyap1r1, Ntrk1"
