"pathway"	"pval"	"padj"	"ES"	"NES"	"nMoreExtreme"	"size"	"gene_symbols"
"HALLMARK_ALLOGRAFT_REJECTION"	0.857974790839311	0.969739219718214	0.361923572679289	0.686734130587535	54658	4	"Cd74"
"HALLMARK_COMPLEMENT"	0.398298826682712	0.766587786254036	-0.470588235294118	-1.04861566624351	14562	4	"Cfh, Cpm, Col4a2, Rasgrp1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	0.209173207887755	0.670915057282418	-0.558823529411765	-1.24523110366417	7647	4	"Fbn1, Col4a2, Nt5e, Tgm2"
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	0.586664659088057	0.886396337475474	-0.463768115942029	-0.916324996697273	23377	3	"Papss2, Tgm2, Rasgrp1"
"HALLMARK_IL2_STAT5_SIGNALING"	0.994631673128542	0.994631673128542	0.205882352941177	0.390652749152821	63364	4	"Adam19, Tgm2, Nt5e"
"HALLMARK_INFLAMMATORY_RESPONSE"	0.586664659088057	0.886396337475474	-0.463768115942029	-0.916324996697273	23377	3	"Scarf1, Pdpn, Rasgrp1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	0.152449197275935	0.670915057282418	-0.59457124348538	-1.32488803131039	5573	4	"Ciita, H2-Aa, Cfh"
"HALLMARK_KRAS_SIGNALING_UP"	0.142186755000125	0.670915057282418	-0.679941259835677	-1.34344546607673	5665	3	"Cfh, Hdac9"
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM"	0.590930891650316	0.886396337475474	0.432051498863709	0.91627156305132	40658	6	"Cd74, Fbxl20, Fcgr4, H2-Ab1, Rasgrp1"
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS"	0.179452432934327	0.670915057282418	-0.652173913043478	-1.28858202660554	7150	3	"Scarf1, Hsph1, Col4a2"
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL"	0.495037385032753	0.853227611229087	0.577274281889426	1.01281242926372	29925	3	"Cd74, Cav1, Itgax"
