"pathway"	"pval"	"padj"	"log2err"	"ES"	"NES"	"size"	"gene_symbols"
"REACTOME_M_PHASE"	4.60544651160953e-06	0.00713844209299478	0.610526878385931	0.827919464720549	1.65632088798553	377	"Cenpt, H2bc8, Psmd8, Cenpi, Sgo2a, Cenpf, H2bc6, Smc2, Psmb1, Tuba1b, H3c7, Psme4, Psma4, H4c6, Kntc1, Ran, Bub3, H2bc13, Zwilch, Psme2, H2bc12, Nek6, Nek9, Nup205, Psmf1, Psmb8, Tmpo, H4c4, H2ac13, Chmp4c, Espl1, Chmp4b, Psmc4, Arpp19, Zwint, Psmb10, H3f3b, Ccnb1, Cenpq, H4c14, Psmb2, Haus5, Psma2, H2ac4, H2bc7, H2bc14, Bub1, Psmd9, Tubb5, Psmd1, Haus8, H2bc11, Psme3, Knl1, H4c8, Psme1, Kif20a"
"REACTOME_DEFENSINS"	9.58435125331662e-06	0.00742787222132038	0.593325476396405	-0.999262979699577	-1.65494236445389	5	"Cd4"
"REACTOME_SEPARATION_OF_SISTER_CHROMATIDS"	6.67286217357464e-05	0.034476454563469	0.538434096309916	0.868918992386021	1.63313735533073	179	"Cenpt, Psmd8, Cenpi, Sgo2a, Cenpf, Psmb1, Tuba1b, Psme4, Psma4, Kntc1, Bub3, Zwilch, Psme2, Psmf1, Psmb8, Espl1, Psmc4, Zwint, Psmb10, Cenpq, Psmb2, Psma2, Bub1, Psmd9, Psmd1, Psme3, Knl1, Psme1"
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"	0.000112226622414627	0.0434878161856679	0.538434096309916	0.853409084363868	1.62959170597746	222	"Cenpt, Psmd8, Cenpi, Sgo2a, Cenpf, Psmb1, Tuba1b, Psme4, Psma4, Kntc1, Ran, Bub3, Zwilch, Psme2, Nup205, Psmf1, Psmb8, Tmpo, Chmp4c, Espl1, Chmp4b, Psmc4, Zwint, Psmb10, Ccnb1, Cenpq, Psmb2, Psma2, Bub1, Psmd9, Psmd1, Psme3, Knl1, Psme1"
"REACTOME_DEUBIQUITINATION"	0.000198705222278801	0.0615986189064283	0.518848077743792	0.82296861967815	1.597243681554	253	"H2bc8, Psmd8, H2bc6, Rhoa, H2ac21, Psmb1, H2ac15, Psme4, Usp18, Traf2, H2ac12, Psma4, Ruvbl1, H2bc13, Vdac3, Ifih1, Psme2, Brca1, H2bc12, Usp25, Psmf1, Psmb8, H2ac13, Psmc4, H2ac6, Usp14, Psmb10, Myc, Actb, Usp12, Psmb2, Otud3, Vdac2, Psma2, H2ac4, H2bc7, H2ac7, H2bc14, Ide, Usp24, Clspn, Psmd9, Psmd1, Usp4, H2bc11, Psme3, Rnf128, Psme1"
"REACTOME_MITOTIC_PROMETAPHASE"	0.000408516846354601	0.0636840576364805	0.49849310876659	0.848441268058627	1.61412120128153	189	"Cenpt, Cenpi, Sgo2a, Cenpf, Smc2, Tuba1b, Kntc1, Bub3, Zwilch, Nek6, Nek9, Zwint, Ccnb1, Cenpq, Haus5, Bub1, Tubb5, Haus8, Knl1"
"REACTOME_PROGRAMMED_CELL_DEATH"	0.000345602226226713	0.0636840576364805	0.49849310876659	0.841677243240741	1.59997947214074	191	"Tnfsf10, Psmd8, Psmb1, Ywhab, Psme4, Casp3, H1f4, Cflar, Traf2, Psma4, Casp1, Psme2, Plec, H1f5, Cycs, Psmf1, Psmb8, Vim, Chmp4c, Bcl2l1, Chmp4b, Psmc4, Bak1, Dbnl, Psmb10, Mlkl, Gsdme, Bcl2, Psmb2, Psma2, H1f1, Clspn, Ripk3, Psmd9, Psmd1, Psme3, Gsdmd, Psme1, Fasl"
"REACTOME_CELL_CYCLE_CHECKPOINTS"	0.000410864887977293	0.0636840576364805	0.49849310876659	0.818945898654949	1.58899374523146	275	"Cenpt, H2bc8, Psmd8, Cenpi, Sgo2a, Cenpf, H2bc6, Psmb1, Ywhab, Brip1, Psme4, Topbp1, Psma4, H4c6, Kntc1, Bub3, H2bc13, Zwilch, Psme2, Brca1, H2bc12, Psmf1, Psmb8, H4c4, Psmc4, Mcm5, Atm, Mcm10, Zwint, Psmb10, Ccnb1, Cenpq, H4c14, Psmb2, Mcm7, Psma2, H2bc7, H2bc14, Clspn, Bub1, Psmd9, Psmd1, Nsd2, H2bc11, Psme3, Knl1, H4c8, Psme1"
"REACTOME_NEUTROPHIL_DEGRANULATION"	0.000275732474206038	0.0636840576364805	0.49849310876659	0.763234055288789	1.5506559651643	409	"Fpr2, Plau, Hk3, Rhoa, Psmb1, Rab5c, Ckap4, Atp8b4, Lgals3, Anxa2, S100a9, Qpct, Itgb2, Pkm, Ctsz, Atp11b, Cd177, Cstb, Arpc5, Clec12a, Ap1m1, Arg1, Cfp, C3, Agpat2, Diaph1, Fabp5, Cd36, Fgl2, Ampd3, Ubr4, Lrmp, Hgsnat, Dbnl, Rab18, Actr2, Cd55, Lair1, Stom, Pa2g4, Mif, Ppia, Rab3d, Psma2, Sell, Cct8, B4galt1, Cd68, Tubb5, Cand1, Psmd1, Kcnab2, Rap2b, Atp6ap2, Igf2r, Fpr1, Gsdmd, Vamp8"
"REACTOME_CELL_CYCLE_MITOTIC"	0.000385572190621966	0.0636840576364805	0.49849310876659	0.745620972270032	1.53887256175523	514	"Cenpt, H2bc8, Psmd8, Cenpi, Sgo2a, Cenpf, H2bc6, Smc2, Psmb1, Cdk7, Tuba1b, H3c7, Psme4, Pole, Psma4, H4c6, Kntc1, Hmmr, Ran, Bub3, Ccnd1, H2bc13, Zwilch, Rrm2, Tpx2, Psme2, H2bc12, E2f3, Nek6, Nek9, Nup205, Psmf1, Psmb8, Tmpo, H4c4, H2ac13, Chmp4c, Espl1, Chmp4b, Psmc4, Mcm5, Arpp19, Jak2, Mcm10, Cdk6, Zwint, Cdkn2c, Psmb10, Myc, Ccnd2, H3f3b, Ccnb1, Prim2, Cenpq, Rbl1, H4c14, Psmb2, Mcm7, Lig1, Ppme1, Haus5, Cdt1, Psma2, H2ac4, H2bc7, H2bc14, Bub1, Psmd9, Tubb5, Psmd1, Haus8, Pole4, H2bc11, Psme3, Knl1, H4c8, Psme1, Kif20a, Pola1, E2f2"
"REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES"	0.000698852731902296	0.0984747031316872	0.477270815362862	0.837218027666968	1.57355524222656	179	"H2bc8, Psmd8, H2bc6, H2ac21, Psmb1, H2ac15, Psme4, Usp18, Traf2, H2ac12, Psma4, Ruvbl1, H2bc13, Vdac3, Ifih1, Psme2, H2bc12, Usp25, Psmf1, Psmb8, H2ac13, Psmc4, H2ac6, Usp14, Psmb10, Myc, Usp12, Psmb2, Vdac2, Psma2, H2ac4, H2bc7, H2ac7, H2bc14, Ide, Usp24, Clspn, Psmd9, Psmd1, Usp4, H2bc11, Psme3, Rnf128, Psme1"
