"pathway"	"pval"	"padj"	"log2err"	"ES"	"NES"	"size"	"gene_symbols"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT"	0.182590233545648	0.449559287138905	0.149207542435322	0.410529091854845	1.29340680921495	13	"Abca6, Abcb4, Kcnj11, Derl3, Abca9, Abca8b"
"REACTOME_ABC_TRANSPORTER_DISORDERS"	0.246464646464646	0.535974616242175	0.122679189568808	0.476225395464261	1.2212134059633	7	"Abcb4, Kcnj11, Derl3"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS"	0.264705882352941	0.555028462998102	0.115734447701689	-0.515714138879154	-1.18999924083302	6	"E2f2, Ccne1, E2f3, Ccnd1, E2f1"
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE"	0.990059642147117	0.997673879029811	0.0458620343117985	-0.218693828639904	-0.477309966192816	5	"Ppfia4, Unc13b, Stx1a, Rab3a, Ppfia3"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS"	0.679920477137177	0.878137501613111	0.0633597010643758	-0.372017133735707	-0.811945570804912	5	"Dner, Dtx4"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3"	4.92614710692689e-09	1.49099033992456e-07	0.761460801445585	-0.775085318912261	-2.68223202689503	22	"H2bc13, H2bc15, H3c2, H2bc8, H3c3, H3c11, H2ac4, H2bc7, H2bc3, H2ac10, H2bc14, H3c10, H3c8, H4c6, H4c12"
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS"	1.02001934952106e-06	1.14312513308395e-05	0.643551836150722	-0.655831061105692	-2.50971434284913	31	"H2bc13, H2bc15, H3c2, H2bc8, H3c3, H3c11, H2ac4, H2bc7, H2bc3, H2ac10, H2bc14, H3c10, H3c8, H4c6, H4c12"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS"	0.191119691119691	0.467021801608268	0.138022242496643	-0.51003368963223	-1.31194124424305	8	"Clspn, Mcm10, Mcm5, Dbf4, Rad1, Mcm3, Mcm2"
"REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING"	0.705882352941177	0.892652780956741	0.0609039347452418	-0.346207217619466	-0.798865679799828	6	"Gng10"
"REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES"	0.372781065088757	0.665680473372781	0.0946646223153342	-0.445893747505411	-1.08030022676205	7	"Timp1, Mmp25, Mmp16"
