"symbol"	"whichMAX"
"1"	"0610012G03Rik"	"M2"
"2"	"0610040J01Rik"	"M2"
"3"	"1110002E22Rik"	"sCs"
"4"	"1110017D15Rik"	"M2"
"5"	"1110051M20Rik"	"sCs"
"6"	"1190005I06Rik"	"FAPs"
"7"	"1190007I07Rik"	"sCs"
"8"	"1500009L16Rik"	"FAPs"
"9"	"1500011B03Rik"	"FAPs"
"10"	"1600014C10Rik"	"FAPs"
"11"	"1700001K19Rik"	"FAPs"
"12"	"1700001L19Rik"	"sCs"
"13"	"1700003E16Rik"	"FAPs"
"14"	"1700003F12Rik"	"FAPs"
"15"	"1700010I14Rik"	"sCs"
"16"	"1700013F07Rik"	"FAPs"
"17"	"1700014D04Rik"	"sCs"
"18"	"1700016C15Rik"	"sCs"
"19"	"1700017B05Rik"	"M2"
"20"	"1700019A02Rik"	"sCs"
"21"	"1700022I11Rik"	"FAPs"
"22"	"1700025G04Rik"	"FAPs"
"23"	"1700028J19Rik"	"ECs"
"24"	"1700028K03Rik"	"FAPs"
"25"	"1700029I15Rik"	"FAPs"
"26"	"1700029J07Rik"	"sCs"
"27"	"1700029P11Rik"	"FAPs"
"28"	"1700030J22Rik"	"M2"
"29"	"1700030K09Rik"	"FAPs"
"30"	"1700034I23Rik"	"ECs"
"31"	"1700034J05Rik"	"sCs"
"32"	"1700037H04Rik"	"ECs"
"33"	"1700056E22Rik"	"FAPs"
"34"	"1700064H15Rik"	"FAPs"
"35"	"1700066B19Rik"	"ECs"
"36"	"1700066M21Rik"	"sCs"
"37"	"1700067K01Rik"	"FAPs"
"38"	"1700088E04Rik"	"FAPs"
"39"	"1700092M07Rik"	"sCs"
"40"	"1700093K21Rik"	"FAPs"
"41"	"1700094D03Rik"	"ECs"
"42"	"1700109H08Rik"	"sCs"
"43"	"1700125H20Rik"	"sCs"
"44"	"1810010H24Rik"	"FAPs"
"45"	"1810020O05Rik"	"FAPs"
"46"	"1810055G02Rik"	"FAPs"
"47"	"1810062G17Rik"	"FAPs"
"48"	"2010109A12Rik"	"FAPs"
"49"	"2010300C02Rik"	"ECs"
"50"	"2200002D01Rik"	"ECs"
"51"	"2210407C18Rik"	"sCs"
"52"	"2210408I21Rik"	"FAPs"
"53"	"2210418O10Rik"	"FAPs"
"54"	"2310011J03Rik"	"M2"
"55"	"2310022A10Rik"	"M2"
"56"	"2310022B05Rik"	"FAPs"
"57"	"2310030G06Rik"	"sCs"
"58"	"2310039H08Rik"	"FAPs"
"59"	"2310057M21Rik"	"sCs"
"60"	"2410004P03Rik"	"sCs"
"61"	"2510002D24Rik"	"FAPs"
"62"	"2510009E07Rik"	"FAPs"
"63"	"2610008E11Rik"	"FAPs"
"64"	"2610021A01Rik"	"sCs"
"65"	"2610301B20Rik"	"FAPs"
"66"	"2700081O15Rik"	"FAPs"
"67"	"2700097O09Rik"	"sCs"
"68"	"2810004N23Rik"	"sCs"
"69"	"2810021J22Rik"	"FAPs"
"70"	"2810408A11Rik"	"sCs"
"71"	"2900026A02Rik"	"ECs"
"72"	"3110009E18Rik"	"FAPs"
"73"	"3110021N24Rik"	"FAPs"
"74"	"3300002I08Rik"	"FAPs"
"75"	"3425401B19Rik"	"sCs"
"76"	"3830403N18Rik"	"FAPs"
"77"	"4430402I18Rik"	"FAPs"
"78"	"4921507P07Rik"	"ECs"
"79"	"4921536K21Rik"	"FAPs"
"80"	"4930404N11Rik"	"FAPs"
"81"	"4930415O20Rik"	"sCs"
"82"	"4930430F08Rik"	"sCs"
"83"	"4930432K21Rik"	"FAPs"
"84"	"4930447A16Rik"	"sCs"
"85"	"4930447C04Rik"	"FAPs"
"86"	"4930467E23Rik"	"FAPs"
"87"	"4930469K13Rik"	"M2"
"88"	"4930522L14Rik"	"FAPs"
"89"	"4930544G11Rik"	"FAPs"
"90"	"4930548H24Rik"	"FAPs"
"91"	"4930550C14Rik"	"sCs"
"92"	"4930563E22Rik"	"FAPs"
"93"	"4930578G10Rik"	"FAPs"
"94"	"4930578I06Rik"	"ECs"
"95"	"4930579G24Rik"	"sCs"
"96"	"4930590J08Rik"	"FAPs"
"97"	"4930595D18Rik"	"M2"
"98"	"4931414P19Rik"	"sCs"
"99"	"4931422A03Rik"	"ECs"
"100"	"4931428F04Rik"	"FAPs"
"101"	"4933400A11Rik"	"FAPs"
"102"	"4933407L21Rik"	"FAPs"
"103"	"4933411K16Rik"	"FAPs"
"104"	"4933427D14Rik"	"FAPs"
"105"	"4933428G20Rik"	"sCs"
"106"	"5031439G07Rik"	"M2"
"107"	"5430403G16Rik"	"FAPs"
"108"	"5430427O19Rik"	"M2"
"109"	"5730409E04Rik"	"FAPs"
