"pathway"	"pval"	"padj"	"log2err"	"ES"	"NES"	"size"	"gene_symbols"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT"	0.52914798206278	0.894264786486621	0.125033367555272	-0.329557962273584	-0.923546604256986	8	"Abcb6, Abca8b"
"REACTOME_ABC_TRANSPORTER_DISORDERS"	0.843007915567282	0.991391374990613	0.0343431191135615	0.325389134916769	0.660330140610437	7	"Abcc9, Psmb9, Abcb4, Psmb8"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS"	0.606109324758842	0.91661060028407	0.0587185879555941	0.562688064192578	0.917544098986215	3	"Cdkn1a, Ccnd2, Cdk6"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS"	0.35	0.836641221374046	0.116739204791222	-0.58876629889669	-1.13394013245138	3	"Neurl1a, Neurl1b, Adam10"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3"	0.0536955369291281	0.382144860222886	0.321775918075361	-0.660365534800444	-1.57310339787467	5	"H2bc7, H2bc15"
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS"	0.00988163684007499	0.179511750914899	0.380730400722792	-0.624110412193383	-1.74899446484661	8	"H2bc7, H2bc15, Hoxb3"
"REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES"	0.264437689969605	0.817750617327814	0.148261500475107	-0.567154531012945	-1.2338579133948	4	"Col18a1, Mmp14"
"REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7"	0.0894736842105263	0.521612541993281	0.245041785430996	-0.735205616850552	-1.41597634938137	3	"Plk1, Ccnb2, Ccnb1"
"REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS"	0.649331352154532	0.936083583905652	0.0518457624865066	0.493720203618916	0.866136984138054	4	"Lin7a, Rasgrf2, Arhgef7"
"REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S"	0.405263157894737	0.866489815163191	0.107140237276725	-0.568706118355065	-1.09530503424179	3	"Eif3f, Eif4b, Pabpc1"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC"	0.54421768707483	0.895043827204944	0.104732821580651	-0.382780041740284	-0.911847382347438	5	"Mboat2, Pla2g6"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PE"	0.54421768707483	0.895043827204944	0.104732821580651	-0.382780041740284	-0.911847382347438	5	"Mboat2, Pla2g6"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PI"	0.35048231511254	0.836641221374046	0.0865399737444125	0.675753688713314	1.10191391803695	3	"Pla2r1, Plaat3, Pla2g4f"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PS"	0.35048231511254	0.836641221374046	0.0865399737444125	0.675753688713314	1.10191391803695	3	"Pla2r1, Plaat3, Pla2g4f"
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM"	0.00561563745717401	0.133798666370929	0.407017918923954	0.560474226965524	1.58416737167415	44	"Slamf7, H2-Eb1, Fcgr2b, Cd74, H2-Ab1, Ptprc, Mrc1, Klhl41, Kbtbd8, Pag1, Trpc1, H2-Q7, Itga4, Ctsc, Prkg1, Psmb9"
"REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS"	0.300136425648022	0.836641221374046	0.0860347242455604	0.597697346960857	1.16132978643591	6	"Cdh2, Cdh11, Cadm1, Cadm3"
"REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION"	0.354140127388535	0.840124631207434	0.0736212741014394	0.526063537681975	1.13520617930928	9	"Adcy2, Vipr1, Ptger4, Il6, Adrb2"
"REACTOME_AMYLOID_FIBER_FORMATION"	0.389937106918239	0.861635220125786	0.178219874951973	-0.294367332538269	-1.04117746563603	13	"H2bc7, H2bc15"
"REACTOME_ANCHORING_FIBRIL_FORMATION"	0.670133729569094	0.951381564258713	0.0503964322442957	0.484566456731778	0.850078498655235	4	"Col4a3"
"REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE"	0.370820668693009	0.848646307125839	0.122679189568808	-0.497818676338448	-1.08301614401084	4	"Ssna1, Plk1"
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS"	0.913841807909605	1	0.0337507376805299	0.328226450778096	0.609577805009545	5	"Trpc1, Itpr3"
"REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC"	0.564308681672026	0.895043827204944	0.0621124188949471	0.583751253761284	0.951890669536502	3	"H2-Q7, B2m, H2-D1"
