Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Gal,Galr3,FAPs,1.0,36.61711466666667,0.9728974888569838,0.3333333333333333,0.0888336666666666,1.0,3.252832558593777,0.9728974888569838
sCs,Shh,Boc,FAPs,0.3333333333333333,0.0625326666666666,1.0,1.0,59.528614,0.8879973217150474,3.722482976390667,0.8879973217150474
sCs,Shh,Hhip,FAPs,0.3333333333333333,0.0625326666666666,1.0,1.0,7.100470666666666,0.8246437068815905,0.4440113653751111,0.8246437068815905
sCs,Adam2,Itga9,FAPs,0.3333333333333333,0.0381956666666666,1.0,1.0,7.939250333333333,0.7897418235434783,0.3032449593152222,0.7897418235434783
sCs,Liph,Lpar1,FAPs,0.3333333333333333,0.0237166666666666,1.0,1.0,52.71798966666666,0.7869540269014291,1.250294988261111,0.7869540269014291
sCs,Fgl1,Egfr,FAPs,0.3333333333333333,0.0292533333333333,1.0,1.0,80.22623699999998,0.77105616682495,2.34688485304,0.77105616682495
sCs,Ereg,Egfr,FAPs,0.3333333333333333,0.276834,1.0,1.0,80.22623699999998,0.77105616682495,22.20935009365799,0.77105616682495
sCs,Calca,Ramp1,FAPs,1.0,0.395701,1.0,1.0,4.857187666666666,0.7656318609505268,1.921994016887667,0.7656318609505268
sCs,Shh,Gas1,FAPs,0.3333333333333333,0.0625326666666666,1.0,1.0,64.99684633333334,0.7417868212293682,4.064426126146889,0.7417868212293682
sCs,Fgf5,Fgfr2,FAPs,0.3333333333333333,0.3552543333333333,1.0,1.0,1.864751,0.7328098752209857,0.6624608733376667,0.7328098752209857
sCs,Wnt7b,Fzd1,FAPs,0.6666666666666666,0.4610836666666667,1.0,1.0,12.12890133333333,0.731739034081334,5.592438299411556,0.731739034081334
sCs,Wnt3,Fzd1,FAPs,0.3333333333333333,0.0383786666666666,1.0,1.0,12.12890133333333,0.731739034081334,0.4654910613048889,0.731739034081334
sCs,Gdf6,Bmpr1b,FAPs,0.3333333333333333,0.0974996666666666,1.0,1.0,1.57938,0.7235635290775982,0.15398902354,0.7235635290775982
sCs,Areg,Egfr,FAPs,0.3333333333333333,1.074794,0.9265665208301904,1.0,80.22623699999998,0.77105616682495,86.22667817017799,0.7144348298596568
sCs,Fgf5,Fgfr1,FAPs,0.3333333333333333,0.3552543333333333,1.0,1.0,82.95722966666666,0.653306596744776,29.47091532041189,0.653306596744776
sCs,Fgf17,Fgfr2,FAPs,1.0,0.398954,0.8706882503913821,1.0,1.864751,0.7328098752209857,0.7439498704540001,0.6380489481256871
sCs,Epgn,Egfr,FAPs,0.3333333333333333,0.176752,0.8209415524096162,1.0,80.22623699999998,0.77105616682495,14.180147842224,0.6329920465882825
sCs,Shh,Ptch2,FAPs,0.3333333333333333,0.0625326666666666,1.0,1.0,8.345897,0.6328213435950161,0.5218911951353333,0.6328213435950161
sCs,a,Mc1r,FAPs,0.3333333333333333,0.1485533333333333,1.0,1.0,1.358150333333333,0.5857211695071143,0.2017577591844445,0.5857211695071143
sCs,Fgf17,Fgfr1,FAPs,1.0,0.398954,0.8706882503913821,1.0,82.95722966666666,0.653306596744776,33.09611860443533,0.5688263776888572
sCs,Fndc5,Itgb5,FAPs,1.0,2.292013666666667,0.8231631904111398,1.0,37.153391,0.6863556906301786,85.15607993501034,0.5649827400559791
sCs,Wnt7b,Fzd8,FAPs,0.6666666666666666,0.4610836666666667,1.0,1.0,6.453984666666667,0.5439806384912759,2.975826914717111,0.5439806384912759
sCs,Wnt3,Fzd8,FAPs,0.3333333333333333,0.0383786666666666,1.0,1.0,6.453984666666667,0.5439806384912759,0.2476953261937778,0.5439806384912759
sCs,Wnt3,Lrp6,FAPs,0.3333333333333333,0.0383786666666666,1.0,1.0,37.74750533333334,0.5438494785644407,1.448698924686222,0.5438494785644407
sCs,Shh,Smo,FAPs,0.3333333333333333,0.0625326666666666,1.0,1.0,15.00332266666667,0.5349616654113699,0.9381977752071112,0.5349616654113699
sCs,Ccl28,Ackr2,FAPs,0.6666666666666666,0.1028363333333333,0.5232353829089343,1.0,11.51723133333333,1.0,1.184389840471778,0.5232353829089343
sCs,Wnt3,Fzd7,FAPs,0.3333333333333333,0.0383786666666666,1.0,1.0,8.058662,0.5192088709172035,0.3092807026773333,0.5192088709172035
sCs,Fgl1,Lag3,FAPs,0.3333333333333333,0.0292533333333333,1.0,1.0,12.70064766666667,0.5097325251430138,0.3715362797422223,0.5097325251430138
sCs,Wnt3,Ryk,FAPs,0.3333333333333333,0.0383786666666666,1.0,1.0,22.22983366666666,0.4786633411720634,0.8531513763484443,0.4786633411720634
sCs,Gdf6,Bmpr1a,FAPs,0.3333333333333333,0.0974996666666666,1.0,1.0,29.20351433333333,0.47332838627826,2.847332912995222,0.47332838627826
sCs,Tnfsf13,Tnfrsf17,FAPs,0.6666666666666666,0.7943223333333332,0.444380439679788,0.3333333333333333,0.0624416666666666,1.0,0.0495988103638888,0.444380439679788
sCs,Ccl5,Ackr2,FAPs,0.6666666666666666,0.997796,0.4306851524101214,1.0,11.51723133333333,1.0,11.49184735547467,0.4306851524101214
sCs,Fndc5,Itgav,FAPs,1.0,2.292013666666667,0.8231631904111398,1.0,40.62063066666667,0.5209011059384622,93.10304063661914,0.4287866162529956
sCs,Shh,Cdon,FAPs,0.3333333333333333,0.0625326666666666,1.0,1.0,27.96588933333333,0.3923458336491322,1.748781635718222,0.3923458336491322
sCs,a,Mc5r,FAPs,0.3333333333333333,0.1485533333333333,1.0,0.6666666666666666,0.557194,0.3919611917661939,0.0827730260133333,0.3919611917661939
sCs,Gip,Dpp4,FAPs,0.3333333333333333,0.163751,0.401556517559663,1.0,17.65118333333333,0.9735837998868032,2.890398922016667,0.3909489202350486
sCs,a,Atrn,FAPs,0.3333333333333333,0.1485533333333333,1.0,1.0,11.31442266666667,0.3733036144518421,1.680795201875555,0.3733036144518421
sCs,Gdf6,Bmpr2,FAPs,0.3333333333333333,0.0974996666666666,1.0,1.0,39.715023,0.3684312589831062,3.872201504159,0.3684312589831062
sCs,Rtn4,Rtn4r,FAPs,1.0,64.69033266666666,0.4264136233238083,0.3333333333333333,0.157127,0.858667536176972,10.16459790091533,0.3661475353317499
sCs,Lin7c,Htr2c,FAPs,1.0,15.71698966666667,0.3626347327623834,0.3333333333333333,0.018813,1.0,0.2956837265990001,0.3626347327623834
sCs,Liph,Lpar4,FAPs,0.3333333333333333,0.0237166666666666,1.0,1.0,7.355438666666667,0.3485631965122065,0.1744464870444445,0.3485631965122065
sCs,Wnt7b,Lrp5,FAPs,0.6666666666666666,0.4610836666666667,1.0,1.0,10.340832,0.3311093088108164,4.767988734944001,0.3311093088108164
sCs,Calca,Calcrl,FAPs,1.0,0.395701,1.0,1.0,24.118612,0.3147730159528759,9.543758887012002,0.3147730159528759
sCs,Adam2,Itgb1,FAPs,0.3333333333333333,0.0381956666666666,1.0,1.0,106.314466,0.3094859589441663,4.060751905180666,0.3094859589441663
sCs,Ccl28,Ccr10,FAPs,0.6666666666666666,0.1028363333333333,0.5232353829089343,0.6666666666666666,1.238415,0.5866446172313401,0.127354057745,0.3069532209285055
sCs,Liph,Lpar2,FAPs,0.3333333333333333,0.0237166666666666,1.0,1.0,0.8570263333333333,0.3039028987379611,0.0203258078722222,0.3039028987379611
sCs,Wnt7b,Fzd4,FAPs,0.6666666666666666,0.4610836666666667,1.0,1.0,16.78189033333333,0.2985839238983091,7.737855528491222,0.2985839238983091
sCs,Cort,Sstr3,FAPs,0.6666666666666666,0.0910383333333333,0.2955057675100003,0.6666666666666666,0.366953,1.0,0.0334067895316666,0.2955057675100003
sCs,Colq,Musk,FAPs,0.6666666666666666,0.2610706666666667,0.8141479955343127,1.0,6.072364333333334,0.3507345991533317,1.585316204746222,0.2855498708652157
sCs,Shh,Ptch1,FAPs,0.3333333333333333,0.0625326666666666,1.0,1.0,4.518509,0.2823910339009808,0.2825544171273333,0.2823910339009808
sCs,Adam2,Itgb7,FAPs,0.3333333333333333,0.0381956666666666,1.0,1.0,2.691504,0.278545354115671,0.102803789616,0.278545354115671
sCs,Wnt7b,Fzd5,FAPs,0.6666666666666666,0.4610836666666667,1.0,1.0,4.264793333333333,0.2693642149089528,1.966426547708889,0.2693642149089528
sCs,Omg,Rtn4r,FAPs,1.0,2.778265,0.2951998787862131,0.3333333333333333,0.157127,0.858667536176972,0.4365404446549999,0.2534785525970983
sCs,Fgf5,Fgfr3,FAPs,0.3333333333333333,0.3552543333333333,1.0,1.0,1.296447666666667,0.2070274097896007,0.4605686515232222,0.2070274097896007
sCs,Fgf17,Fgfr3,FAPs,1.0,0.398954,0.8706882503913821,1.0,1.296447666666667,0.2070274097896007,0.5172229824073333,0.1802563332127671
sCs,Ccl5,Gpr75,FAPs,0.6666666666666666,0.997796,0.4306851524101214,0.6666666666666666,0.2483593333333333,0.4038251517166734,0.2478119493626667,0.1739214970141359
sCs,Adipoq,Adipor2,FAPs,0.3333333333333333,0.1239093333333333,1.0,1.0,5.168294,0.1738427258845537,0.6403998640106667,0.1738427258845537
sCs,Il17f,Il17ra,FAPs,0.6666666666666666,0.25124,1.0,1.0,4.408201666666667,0.1574294279042514,1.107516586733333,0.1574294279042514
