Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,B2m,Gm11127,ECs,0.0,18.147989999999027,-0.0014774376702322,0.3333333333333333,0.1225066666666667,0.9023298474467318,233.88076260478115,0.6595622591488333
ECs,Il7,Il7r,ECs,0.3333333333333333,0.2260026666666666,0.3947418229742558,-0.3333333333333333,-1.210802999999999,0.0,0.4718182476817777,0.3947418229742558
ECs,Timp3,Kdr,ECs,-0.33333333333333337,97.55485499999996,0.3200390807976935,0.0,100.637238,0.0289534479938979,19635.889456428635,0.3197420652053876
ECs,Il7,Il2rg,ECs,0.3333333333333333,0.2260026666666666,0.3947418229742558,0.0,-9.459495000000004,-0.0677023590887164,4.668813681724444,0.319397278846211
ECs,Lama5,Bcam,ECs,0.0,6.3253783333333296,0.2137948838322467,0.0,19.747340333333337,0.3943541765119148,538.3006019100951,0.3006483007959473
ECs,Tnf,Tnfrsf21,ECs,0.0,-134.09224900000004,0.0009059413577362,0.0,10.64007299999999,0.2884458808933107,1722.0063207159849,0.2881372514311232
ECs,Crtam,Cadm1,ECs,0.0,0.0114443333333332,-0.1384788110437619,0.0,3.843021666666667,0.4135172441102722,1.938993676151,0.279859831817254
ECs,Cadm1,Crtam,ECs,0.0,3.843021666666667,0.4135172441102722,0.0,0.0114443333333332,-0.1384788110437619,1.938993676151,0.279859831817254
ECs,Osm,Lifr,ECs,-0.6666666666666667,-7.596608333333339,0.0017622923602271,0.0,20.36953033333333,0.2728177533246672,177.75999689043243,0.2730362870253373
ECs,Sema7a,Itga1,ECs,0.0,-8.142460666666668,-0.157552422514475,0.0,35.66368400000002,0.3802200574015246,644.8048288454336,0.2696472155190986
ECs,Cadm1,Cadm1,ECs,0.0,3.843021666666667,0.4135172441102722,0.0,3.843021666666667,0.4135172441102722,21.48258206817945,0.2675067450185122
ECs,Pltp,Abca1,ECs,0.0,11.882765666666668,0.4392329166766647,0.0,7.210047333333343,0.0847585213758189,477.78349323876535,0.2662463687515655
ECs,Apoe,Scarb1,ECs,0.0,33.0648673333333,0.2472347641584691,0.0,38.44490033333334,0.0718842015297196,5196.827898470808,0.2581711681542623
ECs,Apoe,Sorl1,ECs,0.0,33.0648673333333,0.2472347641584691,-0.33333333333333337,-1.8454856666666613,0.0728360705259743,2721.701839825714,0.2580617828985362
ECs,Sema3g,Nrp2,ECs,0.0,5.679337666666666,0.1636956387311812,0.0,7.689705666666661,0.1767677801420882,226.4276075101559,0.2519433522153021
ECs,F11r,Jam2,ECs,0.0,1.7618703333333308,0.042747306378408,0.0,58.22356933333333,0.2240934389798576,1331.9583080760262,0.2407735575312872
ECs,Jam2,F11r,ECs,0.0,58.22356933333333,0.2240934389798576,0.0,1.7618703333333308,0.042747306378408,1331.9583080760262,0.2407735575312872
ECs,Cytl1,Ccr2,ECs,0.3333333333333333,4.054080666666667,0.2384735392093443,0.0,-4.165262333333334,-0.005706475858812,19.72712377249244,0.2293972709422158
ECs,Cxcl12,Cxcr3,ECs,0.0,21.929770999999988,0.2286694969663406,0.0,0.7135983333333331,0.0,141.5530186810477,0.2286694969663406
ECs,Cxcl12,Itga4,ECs,0.0,21.929770999999988,0.2286694969663406,0.0,-3.138676333333329,0.0235801532530071,160.1367256609601,0.223193662336077
ECs,Thbs1,Cd36,ECs,0.0,6.749007666666699,0.0344696642843376,0.0,368.23372633333344,0.3338491065176131,56335.64582451893,0.2180153324909994
ECs,Tnfsf13,Tnfrsf13b,ECs,0.0,0.373427,0.2542194648660901,-0.3333333333333333,-0.7179193333333332,-0.1006920393116715,0.0814397481526668,0.2088167982887515
ECs,Vegfc,Kdr,ECs,0.0,2.746979333333333,0.2044836908742608,0.0,100.637238,0.0289534479938979,564.8954396935967,0.2086287566967702
ECs,Adm,Ramp3,ECs,-0.33333333333333337,3.0663653333333336,0.1347671269647324,0.0,0.4880176666666667,0.4760387360853638,5.948350303744109,0.2082024868785826
ECs,Tnfsf13,Fas,ECs,0.0,0.373427,0.2542194648660901,0.0,10.442914,0.147578759867589,12.703054248660996,0.2045361386723559
ECs,Ptprm,Ptprm,ECs,0.0,29.988383000000013,0.1387823853118409,0.0,29.988383000000013,0.1387823853118409,3247.785132144414,0.2040403051676188
ECs,Mmrn2,Clec14a,ECs,0.0,2.837936666666671,0.0018729381498859,-0.33333333333333337,5.111949666666663,0.2166785090227555,168.47265176677948,0.2026482755819992
ECs,Gnai2,Tbxa2r,ECs,0.0,-19.718974000000003,-0.0156821840484718,-0.33333333333333337,0.588739333333333,0.3170534102771986,94.8201994627469,0.2020244905234889
ECs,Efna1,Epha4,ECs,-0.33333333333333337,9.882217333333331,0.0827410650526574,0.0,3.8517726666666654,0.1998003681894073,112.14937887317974,0.1998226552376614
ECs,Efna3,Epha4,ECs,0.0,0.0607343333333332,0.0,0.0,3.8517726666666654,0.1998003681894073,0.5056894613805555,0.1998003681894073
ECs,Vegfc,Flt4,ECs,0.0,2.746979333333333,0.2044836908742608,-0.33333333333333337,3.162746333333331,0.0028119648244939,39.29386592725344,0.1995568682218388
ECs,Vegfc,Nrp2,ECs,0.0,2.746979333333333,0.2044836908742608,0.0,7.689705666666661,0.1767677801420882,103.78012186992824,0.1937319958197024
ECs,Nodal,Acvr1b,ECs,0.33333333333333337,0.7378123333333335,0.4176669495285372,0.0,0.4318453333333334,0.0496109374440048,3.4372774345347787,0.191711203913977
ECs,Cxcl12,Cxcr4,ECs,0.0,21.929770999999988,0.2286694969663406,0.0,0.9953709999999774,-0.051413195596666,5025.880082565549,0.1903479002988547
ECs,St6gal1,Cd22,ECs,0.0,2.0715676666666663,0.1882296810826809,0.0,-0.0466713333333332,0.0,0.2537451141775553,0.1882296810826809
ECs,Efnb1,Ephb4,ECs,0.0,6.415612666666663,0.2316204341982249,-0.33333333333333337,6.74259133333333,0.0514831349312374,178.61970333109292,0.1859437382371488
ECs,Nodal,Acvr2b,ECs,0.33333333333333337,0.7378123333333335,0.4176669495285372,-0.33333333333333337,1.0103700000000004,0.2215568610409655,1.491063362236556,0.1857384857883738
ECs,Cxcl12,Cd4,ECs,0.0,21.929770999999988,0.2286694969663406,-0.3333333333333333,1.095897666666667,0.2089941914458564,155.352579575971,0.1852692627124452
ECs,Efnb1,Epha4,ECs,0.0,6.415612666666663,0.2316204341982249,0.0,3.8517726666666654,0.1998003681894073,58.04549966965467,0.1811653909388254
ECs,Epha4,Efnb1,ECs,0.0,3.8517726666666654,0.1998003681894073,0.0,6.415612666666663,0.2316204341982249,58.04549966965467,0.1811653909388254
ECs,Efna1,Epha1,ECs,-0.33333333333333337,9.882217333333331,0.0827410650526574,0.0,3.247468333333332,0.1708160993224334,119.31134313081068,0.1806455755128744
