Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand expressing cells in condition 1,Ligand detection rate in condition 1,Ligand expression in condition 1,Ligand specificity in condition 1,Receptor expressing cells in condition 1,Receptor detection rate in condition 1,Receptor expression in condition 1,Receptor specificity in condition 1,Edge expression weight in condition 1,Edge specificity weight in condition 1,Ligand expressing cells in condition 2,Ligand detection rate in condition 2,Ligand expression in condition 2,Ligand specificity in condition 2,Receptor expressing cells in condition 2,Receptor detection rate in condition 2,Receptor expression in condition 2,Receptor specificity in condition 2,Edge expression weight in condition 2,Edge specificity weight in condition 2,Delta ligand expression,Fold change of ligand expression,Log2-transformed fold change of ligand expression,Delta ligand specificity,Fold change of ligand specificity,Log2-transformed fold change of ligand specificity,Delta receptor expression,Fold change of receptor expression,Log2-transformed fold change of receptor expression,Delta receptor specificity,Fold change of receptor specificity,Log2-transformed fold change of receptor specificity,Delta edge expression weight,Delta edge specificity weight,Fold change of edge expression weight,Log2-transformed fold change of edge expression weight,Fold change of edge specificity weight,Log2-transformed fold change of edge specificity weight
FAPs,Robo2,Robo2,FAPs,3.0,1.0,0.661303,0.261135113213977,3.0,1.0,0.661303,0.261135113213977,0.437321657809,0.0681915473532765,1.0,0.3333333333333333,0.020314,0.0816145599667874,1.0,0.3333333333333333,0.020314,0.0816145599667874,0.000412658596,0.0066609363985723,0.640989,32.55405139312789,5.024765194685495,0.17952055324718957,3.199614300686599,1.6778980051051537,0.640989,32.55405139312789,5.024765194685495,0.17952055324718957,3.199614300686599,1.6778980051051537,0.436908999213,0.0615306109547042,1059.7662621064121,10.04953038937099,10.237531673158239,3.3557960102103137
ECs,Vtn,Itgb6,sCs,2.0,0.6666666666666666,7.134618,0.0965317920926077,3.0,1.0,3.502633333333333,0.820695084116189,24.9899508274,0.0792231672313291,3.0,1.0,2.021590333333334,0.0111626234765064,2.0,0.6666666666666666,0.024693,0.0678862779526072,0.049919130101,0.0007577889600064,5.113027666666666,3.529210583548825,1.8193455164813341,0.0853691686161013,8.64776925386536,3.1123280285367856,3.4779403333333327,141.84721716005885,7.148194037047098,0.7528088061635818,12.089263233567365,3.5956544187409407,24.940031697299002,0.0784653782713227,500.60870004822846,8.967539553528432,104.54515889313038,6.7079824472777485
sCs,Fn1,Col13a1,sCs,3.0,1.0,28.350479,0.0651356736616633,3.0,1.0,0.702312,0.6786077779123368,19.910881607448,0.0442015747663645,3.0,1.0,8.428738666666668,0.0221206866746274,1.0,0.3333333333333333,0.004932,0.0284745449576807,0.041570539104,0.0006298764872114,19.921740333333332,3.3635494136410125,1.7499844528448105,0.0430149869870359,2.944559299615885,1.558051727829982,0.69738,142.3990267639903,7.153795475913565,0.6501332329546562,23.832085075315305,4.574833273701425,19.869311068344,0.0435716982791531,478.9661629750704,8.903779928758375,70.17498773776184,6.132885001531514
sCs,Fn1,Itgb6,sCs,3.0,1.0,28.350479,0.0651356736616633,3.0,1.0,3.502633333333333,0.820695084116189,99.30133276136664,0.0534565271747234,3.0,1.0,8.428738666666668,0.0221206866746274,2.0,0.6666666666666666,0.024693,0.0678862779526072,0.2081308438960001,0.0015016910840962,19.921740333333332,3.3635494136410125,1.7499844528448105,0.0430149869870359,2.944559299615885,1.558051727829982,3.4779403333333327,141.84721716005885,7.148194037047098,0.7528088061635818,12.089263233567365,3.5956544187409407,99.09320191747064,0.0519548360906272,477.11012410532504,8.898178489891908,35.59755247990732,5.153706146571009
FAPs,Robo2,Robo2,ECs,3.0,1.0,0.661303,0.261135113213977,2.0,0.6666666666666666,1.847863,0.7296835394802672,1.221997345489,0.190545993692555,1.0,0.3333333333333333,0.020314,0.0816145599667874,2.0,0.6666666666666666,0.1588893333333333,0.6383618698147193,0.0032276779173333,0.0520996231045039,0.640989,32.55405139312789,5.024765194685495,0.17952055324718957,3.199614300686599,1.6778980051051537,1.6889736666666668,11.629874461889619,3.5397636186815724,0.09132166966554789,1.1430562725998241,0.19289642910123145,1.2187696675716668,0.1384463705880511,378.5995309279841,8.564528813367081,3.6573391962999193,1.8707944342063862
ECs,Robo2,Robo2,FAPs,2.0,0.6666666666666666,1.847863,0.7296835394802672,3.0,1.0,0.661303,0.261135113213977,1.221997345489,0.190545993692555,2.0,0.6666666666666666,0.1588893333333333,0.6383618698147193,1.0,0.3333333333333333,0.020314,0.0816145599667874,0.0032276779173333,0.0520996231045039,1.6889736666666668,11.629874461889619,3.5397636186815724,0.09132166966554789,1.1430562725998241,0.19289642910123145,0.640989,32.55405139312789,5.024765194685495,0.17952055324718957,3.199614300686599,1.6778980051051537,1.2187696675716668,0.1384463705880511,378.5995309279841,8.564528813367081,3.6573391962999193,1.8707944342063862
sCs,Slit1,Robo2,FAPs,1.0,0.3333333333333333,0.210796,0.3481346586630142,3.0,1.0,0.661303,0.261135113213977,0.139400027188,0.0909101835036754,2.0,0.6666666666666666,0.0213373333333333,0.0353528352353091,1.0,0.3333333333333333,0.020314,0.0816145599667874,0.0004334465893333,0.002885306091308,0.18945866666666672,9.879210148097249,3.3043957016303405,0.3127818234277051,9.847432499991125,3.2997476228053686,0.640989,32.55405139312789,5.024765194685495,0.17952055324718957,3.199614300686599,1.6778980051051537,0.13896658059866668,0.08802487741236739,321.60831488469256,8.329160896315942,31.507985852018546,4.977645627910566
sCs,Spp1,Cd44,sCs,3.0,1.0,99.18134533333334,0.3203641332046738,3.0,1.0,81.699019,0.2178183668945166,8103.018616833562,0.0697811923062194,3.0,1.0,1.799090333333333,0.0061549074911509,3.0,1.0,14.277234,0.0424367145557899,25.686033676138,0.0002611940523192,97.382255,55.12860777233533,5.784729262699306,0.3142092257135229,52.05019468859137,5.701831654679874,67.421785,5.7223282184770525,2.516602249424286,0.1753816523387267,5.1327811112276205,2.359740737758732,8077.332583157424,0.0695199982539002,315.4639879009878,8.30133151212359,267.162256133387,8.061572392438958
sCs,Hspg2,Col13a1,sCs,3.0,1.0,68.87942233333334,0.1437146716334625,3.0,1.0,0.702312,0.6786077779123368,48.374844857768,0.0975258939705851,3.0,1.0,42.586595,0.0960906401910534,1.0,0.3333333333333333,0.004932,0.0284745449576807,0.21003708654,0.0027361372541324,26.292827333333335,1.6173967966524052,0.6936736592298899,0.04762403144240909,1.4956157160335286,0.5807395363277799,0.69738,142.3990267639903,7.153795475913565,0.6501332329546562,23.832085075315305,4.574833273701425,48.164807771228,0.0947897567164527,230.31572973449795,7.847469135143455,35.64364098449057,5.155572810029241
sCs,Tgfb1,Itgb6,sCs,3.0,1.0,8.960212333333333,0.077511171905189,3.0,1.0,3.502633333333333,0.820695084116189,31.38433839247778,0.0636130377466734,3.0,1.0,5.839988000000001,0.0479468100641207,2.0,0.6666666666666666,0.024693,0.0678862779526072,0.144206823684,0.0032549304749537,3.120224333333332,1.5342860864325973,0.6175675160842554,0.029564361841068296,1.6166074823649579,0.6929694302106505,3.4779403333333327,141.84721716005885,7.148194037047098,0.7528088061635818,12.089263233567365,3.5956544187409407,31.240131568793778,0.0603581072717197,217.63421168786152,7.7657615531313535,19.54359339966494,4.288623848951617
