Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Adm2,Calcrl,ECs,0.5,0.1751115,1.0,1.0,84.78612150000001,0.5414245061026678,14.84702491504725,0.5414245061026678
ECs,Adm2,Ramp2,ECs,0.5,0.1751115,1.0,1.0,100.670223,0.5273019182121758,17.6285137548645,0.5273019182121758
ECs,Fgf15,Fgfr3,ECs,1.0,0.216573,0.7890929340172668,1.0,6.834606,0.5800266923841273,1.480191125238,0.4576949645017216
ECs,Fgf15,Fgfr2,ECs,1.0,0.216573,0.7890929340172668,1.0,0.8651055000000001,0.418762651604452,0.1873584934515,0.3304426494114076
ECs,Nxph1,Nrxn2,ECs,0.5,0.0146305,1.0,0.5,0.1657755,0.2699314894696778,0.00242537845275,0.2699314894696778
ECs,Prok1,Prokr2,ECs,0.5,0.2855585,0.9657094030004696,0.5,0.0562305,0.2446777727253937,0.01605709723425,0.2362876258261245
ECs,Fgf8,Fgfr3,ECs,0.5,0.064171,0.3707399083708381,1.0,6.834606,0.5800266923841273,0.438583501626,0.2150390427871317
ECs,Fgf15,Klb,ECs,1.0,0.216573,0.7890929340172668,1.0,0.7952275,0.2672394783835147,0.1722248053575,0.2108767840828915
ECs,Prok1,Prokr1,ECs,0.5,0.2855585,0.9657094030004696,0.5,1.2274375,0.2078063312290072,0.35050521134375,0.2006805280708824
ECs,Lama1,Itga2,ECs,0.5,0.0575065,0.3028017846611812,1.0,6.9164455,0.5891123781422892,0.39774057314575,0.1783842794674778
ECs,Fgf8,Fgfr2,ECs,0.5,0.064171,0.3707399083708381,1.0,0.8651055000000001,0.418762651604452,0.0555146850405,0.1552520270849638
ECs,Wnt3,Fzd8,ECs,0.5,0.1356595,0.594607921560205,1.0,2.569008,0.2577238367773512,0.348510340776,0.1532446349227023
ECs,Il17b,Il17rb,ECs,1.0,0.7828784999999999,0.858746616720735,1.0,1.3424935,0.1531021816890919,1.05100929753975,0.1314759805380709
ECs,Lama1,Itga1,ECs,0.5,0.0575065,0.3028017846611812,1.0,55.9484575,0.4236195045309116,3.21739997122375,0.1282727419892453
ECs,Fgf17,Fgfr3,ECs,0.5,0.272519,0.2156106809380877,1.0,6.834606,0.5800266923841273,1.862559992514,0.1250599501072084
ECs,Efnb3,Ephb1,ECs,0.5,0.2222225,0.2026211956904957,1.0,4.839814499999999,0.6099383944911378,1.07551567772625,0.1235864467893356
ECs,Efna5,Ephb1,ECs,1.0,0.386502,0.2023774294220003,1.0,4.839814499999999,0.6099383944911378,1.870597983879,0.1234377643828984
ECs,Efnb3,Rhbdl2,ECs,0.5,0.2222225,0.2026211956904957,1.0,2.675209,0.6038885578943551,0.5944916320024999,0.1223606216643634
ECs,Efnb3,Ephb4,ECs,0.5,0.2222225,0.2026211956904957,1.0,48.3439545,0.5906069762936997,10.74311442887625,0.1196694917197777
ECs,Efnb3,Epha4,ECs,0.5,0.2222225,0.2026211956904957,1.0,10.4223555,0.5134583541362047,2.316081895098749,0.1040375456523518
