Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Adm2,Ramp3,Neutro,0.5,0.1751115,1.0,1.0,0.7554033333333333,0.6299539823176128,0.132279810805,0.6299539823176128
ECs,Pomc,Oprk1,Neutro,1.0,1.4951615,0.6020739711267923,0.3333333333333333,0.0001396666666666,1.0,0.0002088242228333,0.6020739711267923
ECs,Edn1,Kel,Neutro,1.0,15.3250705,0.5468844173754854,0.3333333333333333,0.00571,1.0,0.087506152555,0.5468844173754854
ECs,Gast,Cckbr,Neutro,0.5,1.2553825,0.4900372854845282,0.3333333333333333,0.0064116666666666,1.0,0.0080490941291666,0.4900372854845282
ECs,Cck,Cckbr,Neutro,1.0,1.5527735,0.298911854116411,0.3333333333333333,0.0064116666666666,1.0,0.0099558660908333,0.298911854116411
ECs,Adm2,Ramp2,Neutro,0.5,0.1751115,1.0,1.0,56.74208066666666,0.2972101092781263,9.936190858660998,0.2972101092781263
ECs,Robo2,Robo2,Neutro,1.0,0.5215465,0.3993854683363039,1.0,0.7819839999999999,0.59882109470871,0.4078410182559999,0.2391604433598963
ECs,Adm2,Calcrl,Neutro,0.5,0.1751115,1.0,1.0,37.145873,0.2372049291437092,6.5046695398395,0.2372049291437092
ECs,Nxph1,Nrxn2,Neutro,0.5,0.0146305,1.0,0.6666666666666666,0.1329496666666667,0.2164813349851486,0.0019451200981666,0.2164813349851486
ECs,Vegfc,Flt4,Neutro,1.0,6.314218500000001,0.4670554707680782,1.0,12.17014233333333,0.4517020955967002,76.84493786876651,0.2109699349058443
ECs,Wnt1,Fzd4,Neutro,0.5,0.1972485,0.8428540601518217,1.0,20.59650833333334,0.2393357883858265,4.0626303739875,0.2017251409806311
ECs,Ccl25,Ccr10,Neutro,1.0,6.90892,0.2006971010378393,0.3333333333333333,0.1003636666666667,1.0,0.6934045439066667,0.2006971010378393
ECs,Fgf15,Fgfr3,Neutro,1.0,0.216573,0.7890929340172668,1.0,2.949111,0.2502796940750712,0.6386978166030001,0.1974939381226419
ECs,Ace,Bdkrb2,Neutro,1.0,69.73698999999999,0.5117461681501637,1.0,1.382810333333333,0.3497207582722959,96.43303038756332,0.1789682579684171
ECs,Efnb2,Rhbdl2,Neutro,1.0,40.497736,0.4338277436889532,1.0,1.754762333333333,0.3961114421056449,71.06390171807733,0.1718441331780693
ECs,Efna3,Ephb1,Neutro,0.5,0.22756,0.8582128485531141,1.0,1.542577333333333,0.1944035545312231,0.3510288979733333,0.1668396283030916
ECs,Fgf15,Klb,Neutro,1.0,0.216573,0.7890929340172668,1.0,0.53576,0.1800443557834102,0.11603115048,0.1420717289583798
ECs,Adm,Ramp3,Neutro,1.0,12.455024,0.2137786973425757,1.0,0.7554033333333333,0.6299539823176128,9.408566646346667,0.1346707417256273
ECs,Hcrt,Hcrtr1,Neutro,0.5,0.488331,0.4297025930548877,1.0,0.4164206666666666,0.2913065448146067,0.203351120574,0.1251751776806964
ECs,Fgf9,Fgfr3,Neutro,1.0,1.3096565,0.498822476538879,1.0,2.949111,0.2502796940750712,3.8623223903715,0.12484513682592
ECs,Wnt3,Fzd8,Neutro,0.5,0.1356595,0.594607921560205,1.0,2.055205,0.206178928973361,0.2788080826975,0.1225956244263593
ECs,Il17b,Il17rb,Neutro,1.0,0.7828784999999999,0.858746616720735,1.0,1.161538666666667,0.1324655232840275,0.909343649052,0.1137543199523004
ECs,Lama1,Itga1,Neutro,0.5,0.0575065,0.3028017846611812,1.0,46.760844,0.3540545432682795,2.689052475486,0.1072083475690344
ECs,Hspg2,Itga2,Neutro,1.0,255.961578,0.4306976391465507,1.0,2.689952,0.2291182688866134,688.5243586642559,0.098680697494809
ECs,Pomc,Mc5r,Neutro,1.0,1.4951615,0.6020739711267923,1.0,0.482754,0.1611759083159569,0.721795194771,0.0970398191697559
ECs,Hspg2,Col13a1,Neutro,1.0,255.961578,0.4306976391465507,0.6666666666666666,0.2122596666666667,0.2196136114576696,54.33031922575399,0.0945870639792661
ECs,Nid2,Col13a1,Neutro,1.0,52.269495,0.4288758502612202,0.6666666666666666,0.2122596666666667,0.2196136114576696,11.094705585535,0.0941869743428453
ECs,Fgf8,Fgfr3,Neutro,0.5,0.064171,0.3707399083708381,1.0,2.949111,0.2502796940750712,0.189247401981,0.0927886708484733
ECs,Ccl25,Ackr4,Neutro,1.0,6.90892,0.2006971010378393,0.3333333333333333,0.1264483333333333,0.4438826524254145,0.8736214191333334,0.0890859615427675
ECs,Prok1,Prokr2,Neutro,0.5,0.2855585,0.9657094030004696,0.3333333333333333,0.0211953333333333,0.0922280070810733,0.0060525075936666,0.0890654536581864
ECs,Tgfa,Erbb2,Neutro,0.5,0.5005475,0.5426527400820786,1.0,1.763754333333333,0.1599302435334539,0.8828428221641667,0.0867865848754229
ECs,Efnb2,Ephb1,Neutro,1.0,40.497736,0.4338277436889532,1.0,1.542577333333333,0.1944035545312231,62.47088960491733,0.0843376554273929
ECs,Col18a1,Gpc4,Neutro,1.0,54.5090905,0.4968355992046299,1.0,11.11704666666667,0.1638617789074688,605.9801028460566,0.0814123651102288
ECs,Efnb3,Rhbdl2,Neutro,0.5,0.2222225,0.2026211956904957,1.0,1.754762333333333,0.3961114421056449,0.3899476726191666,0.0802605740261323
ECs,Il16,Kcnj15,Neutro,1.0,3.7754575,0.1708449704380497,1.0,2.083028666666667,0.4675627651725827,7.864386202281668,0.0798807467938426
ECs,Efnb1,Ephb1,Neutro,1.0,8.620738,0.3739306639504602,1.0,1.542577333333333,0.1944035545312231,13.29815503540533,0.0726934502201897
ECs,Gnai2,Tbxa2r,Neutro,1.0,195.0792385,0.2640605522989327,1.0,1.522854666666667,0.2668066878450451,297.0773287195047,0.0704531213494115
