Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Gnai2,Oprd1,M1,1.0,142.8621113333333,0.1933791023142199,0.3333333333333333,0.0080506666666666,1.0,1.150135237640889,0.1933791023142199
M1,Xcl1,Xcr1,M1,0.3333333333333333,0.0559063333333333,0.8054004216228158,0.6666666666666666,0.2861633333333333,0.2057172570872637,0.0159983427011111,0.1656847655931714
M1,Tnfsf13,Tnfrsf17,M1,1.0,3.418481,0.3284350059443208,0.3333333333333333,0.0721876666666666,0.4244577243532578,0.2467721669343333,0.1394067752210751
M1,Sectm1a,Cd7,M1,0.3333333333333333,0.421861,0.4259248913634626,1.0,0.945712,0.2211376233170924,0.398959010032,0.0941880181877068
M1,Gdf7,Bmpr2,M1,0.3333333333333333,0.0698063333333333,0.5057819103972949,1.0,20.62554866666667,0.1150391719340928,1.439793925408222,0.0581847321513483
M1,Tnfsf13b,Tnfrsf17,M1,1.0,0.5155733333333333,0.10896609512398,0.3333333333333333,0.0721876666666666,0.4244577243532578,0.0372180359288888,0.0462515007679851
M1,Gdf7,Acvr2a,M1,0.3333333333333333,0.0698063333333333,0.5057819103972949,1.0,5.92768,0.0769757572122465,0.4137896059733333,0.0389329455370884
M1,Amelx,Lamp1,M1,0.3333333333333333,0.247732,0.0974442064341449,1.0,371.029597,0.3711895613889402,91.915904124004,0.0361702722461836
M1,Amelx,Lamp2,M1,0.3333333333333333,0.247732,0.0974442064341449,1.0,227.431778,0.3010371406201054,56.342129227496,0.0293343252749302
M1,B2m,Gm11127,M1,1.0,2578.145386,0.2448420551353863,0.6666666666666666,0.1025166666666667,0.1067138097315847,264.3028711547666,0.0261280284860077
M1,Amelx,Cd63,M1,0.3333333333333333,0.247732,0.0974442064341449,1.0,155.1466163333333,0.2263576096210522,38.43478155748933,0.0220572376398534
M1,Trf,Tfr2,M1,1.0,42.191786,0.3276024213041357,0.3333333333333333,0.031443,0.0521184066726412,1.326636327198,0.0170741162204708
M1,Psap,Gpr37l1,M1,1.0,2238.507934333333,0.4568401756035478,0.3333333333333333,0.0376233333333333,0.0340565612890621,84.22013018273444,0.0155584054397481
M1,Fgf22,Fgfrl1,M1,0.3333333333333333,0.0757396666666666,0.7067113300737755,0.3333333333333333,0.1833036666666667,0.0205844824218905,0.0138833586121111,0.0145472869512545
M1,Penk,Oprd1,M1,0.3333333333333333,0.17835,0.0083963576049897,0.3333333333333333,0.0080506666666666,1.0,0.0014358364,0.0083963576049897
