Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Gdf7,Bmpr1a,sCs,0.3333333333333333,0.0682103333333333,0.4942180896027049,1.0,26.1699,0.4316816313205064,1.7850576023,0.2133448711477998
M2,Artn,Gfra3,sCs,0.3333333333333333,0.2356576666666667,0.1952364626165198,1.0,1.615968,0.9915522087733246,0.380815248288,0.1935871457405008
M2,F11,Gp1ba,sCs,0.3333333333333333,0.1089446666666667,1.0,1.0,2.249971,0.1811265208534658,0.2451223406046667,0.1811265208534658
M2,Artn,Gfra1,sCs,0.3333333333333333,0.2356576666666667,0.1952364626165198,1.0,8.141729999999999,0.7024686483203415,1.91866109443,0.1371474939970715
M2,Gdf7,Acvr2a,sCs,0.3333333333333333,0.0682103333333333,0.4942180896027049,1.0,17.446105,0.2265518959828062,1.190004637418333,0.1119660452284932
M2,Gdf7,Bmpr2,sCs,0.3333333333333333,0.0682103333333333,0.4942180896027049,1.0,32.0437125,0.1787240771757799,2.1857123108625,0.0883286719878203
M2,Amh,Egfr,sCs,0.6666666666666666,0.4331153333333333,0.291616954615029,1.0,21.8974465,0.2947641963565862,9.484119839996334,0.085958237271054
M2,Il19,Il20rb,sCs,0.3333333333333333,0.0958723333333333,1.0,1.0,1.4774495,0.083479990198276,0.1416465309471667,0.083479990198276
M2,Amh,Acvr1,sCs,0.6666666666666666,0.4331153333333333,0.291616954615029,1.0,14.3875515,0.2814707697442357,6.231469163773,0.082081648685962
M2,Enho,Gpr19,sCs,0.3333333333333333,0.1323876666666667,0.1744439520243225,1.0,3.837119,0.4090412547650488,0.5079872311323332,0.0713547730222028
M2,Lrrc4b,Ptprf,sCs,0.3333333333333333,0.0285636666666666,0.0972398348451347,1.0,4.914489,0.6537373431914789,0.140375825633,0.0635693112840365
M2,Fgf17,Fgfr4,sCs,0.6666666666666666,0.0703543333333333,0.0556627087173562,1.0,37.1930565,0.9801418472049912,2.6166926946865,0.0545573501426628
M2,Adipoq,Adipor2,sCs,0.3333333333333333,0.0676023333333333,0.5489207367409633,1.0,6.116505,0.0949836265510954,0.413490009845,0.0521384822647558
M2,Adipoq,Adipor1,sCs,0.3333333333333333,0.0676023333333333,0.5489207367409633,1.0,13.583906,0.090187108805978,0.9183037413806666,0.0495055742103149
M2,Efna4,Epha5,sCs,1.0,0.1827426666666666,0.0453083669048127,1.0,0.331827,1.0,0.0606389508519999,0.0453083669048127
M2,Lcn2,Lrp2,sCs,0.6666666666666666,0.1985326666666667,0.0396181874166067,0.5,0.0151305,1.0,0.003003898513,0.0396181874166067
M2,Lrrc4b,Ptprs,sCs,0.3333333333333333,0.0285636666666666,0.0972398348451347,1.0,20.4145605,0.3538032458052225,0.5831147012685001,0.0344037691897724
M2,Amh,Amhr2,sCs,0.6666666666666666,0.4331153333333333,0.291616954615029,0.5,0.203816,0.1138250247960469,0.0882758347786666,0.0331933070900033
M2,Wnt3,Fzd8,sCs,0.3333333333333333,0.0213666666666666,0.0936520424838392,1.0,3.2514585,0.3261875244227855,0.06947282995,0.030548127894941
M2,Efna4,Epha7,sCs,1.0,0.1827426666666666,0.0453083669048127,1.0,1.1181105,0.6611393533773707,0.204326494398,0.0299551443980325
M2,Wnt3,Ryk,sCs,0.3333333333333333,0.0213666666666666,0.0936520424838392,1.0,21.3190975,0.3182682347010409,0.4555180499166667,0.0298064702374783
M2,Ntn1,Unc5d,sCs,1.0,0.4482056666666667,0.0265571631067166,1.0,0.108947,1.0,0.0488306627663333,0.0265571631067166
M2,Wnt3,Fzd7,sCs,0.3333333333333333,0.0213666666666666,0.0936520424838392,1.0,6.106310000000001,0.2826700944166318,0.1304714903333334,0.0264726316912172
M2,Nodal,Acvr2b,sCs,0.3333333333333333,0.2427346666666667,0.0914031435128161,1.0,1.8056465,0.2783940211582333,0.4382930012953333,0.0254460886690359
M2,Ltf,Lrp11,sCs,0.3333333333333333,0.0254273333333333,0.1261176361664418,1.0,1.130615,0.2010518539212104,0.0287485244766666,0.0253561845634238
M2,Artn,Ret,sCs,0.3333333333333333,0.2356576666666667,0.1952364626165198,1.0,0.967637,0.1089393909144389,0.2280310776003333,0.0212689413217333
M2,Nodal,Acvr2a,sCs,0.3333333333333333,0.2427346666666667,0.0914031435128161,1.0,17.446105,0.2265518959828062,4.234774481806666,0.020707555461617
M2,Fgf17,Fgfr1,sCs,0.6666666666666666,0.0703543333333333,0.0556627087173562,1.0,42.6300515,0.362202985396654,2.999208853248167,0.0201611992726907
M2,Wnt3,Fzd1,sCs,0.3333333333333333,0.0213666666666666,0.0936520424838392,1.0,3.3898975,0.1908662465649254,0.0724308099166666,0.0178750138320293
M2,Wnt3,Lrp6,sCs,0.3333333333333333,0.0213666666666666,0.0936520424838392,1.0,16.594562,0.1681395823342728,0.3545704747333334,0.0157466153079843
M2,Nppa,Npr3,sCs,0.3333333333333333,0.1296733333333333,0.1213615441261459,0.5,0.1781875,0.1214906075104235,0.0231061670833333,0.0147442877242885
M2,Spon2,Itgb1,sCs,0.3333333333333333,0.2467186666666667,0.0672731272734263,1.0,139.9082645,0.1972898618770847,34.51798047308733,0.0132723059878138
M2,Gdf11,Acvr2b,sCs,1.0,0.4192326666666666,0.0460662552990287,1.0,1.8056465,0.2783940211582333,0.7569859972523333,0.0128245700523984
M2,Nodal,Acvr1b,sCs,0.3333333333333333,0.2427346666666667,0.0914031435128161,1.0,3.058124,0.1377127700989335,0.7423127097653334,0.0125873800889002
M2,Efna4,Epha2,sCs,1.0,0.1827426666666666,0.0453083669048127,1.0,13.9020255,0.2774485042540479,2.540493211937999,0.0125707386279338
M2,Tnfrsf14,Btla,sCs,1.0,23.52939333333333,0.4592937805496555,0.5,0.0753385,0.024951165031861,1.772669199643333,0.0114599149166018
M2,Gdf11,Acvr2a,sCs,1.0,0.4192326666666666,0.0460662552990287,1.0,17.446105,0.2265518959828062,7.313977122096666,0.0104363974788229
M2,Cxadr,Cxadr,sCs,0.6666666666666666,0.3879966666666667,0.0331736320825066,1.0,3.415133,0.2919931416631424,1.325060220223333,0.0096864730521483
M2,Efna4,Epha1,sCs,1.0,0.1827426666666666,0.0453083669048127,1.0,4.927428,0.2123898992999982,0.9004513325279998,0.0096230394843605
M2,Lif,Lifr,sCs,0.6666666666666666,0.4448116666666667,0.0597926395999303,1.0,16.857219,0.1323741740449054,7.498287678755,0.0079150012810054
M2,Ltf,Lrp1,sCs,0.3333333333333333,0.0254273333333333,0.1261176361664418,1.0,29.9633245,0.0589955859137168,0.7618874398363333,0.0074403838396922
M2,Prn,Rpsa,sCs,0.3333333333333333,0.035616,0.0358738432483475,1.0,199.6886825,0.1994542612473658,7.11211211592,0.0071551909032029
M2,Lif,Il6st,sCs,0.6666666666666666,0.4448116666666667,0.0597926395999303,1.0,36.0566465,0.111193493459698,16.03841702407583,0.0066485524802929
M2,Gdf11,Acvr1b,sCs,1.0,0.4192326666666666,0.0460662552990287,1.0,3.058124,0.1377127700989335,1.282065479517333,0.0063439116253139
M2,Npnt,Itga8,sCs,0.3333333333333333,0.0516906666666666,0.0071797380746618,1.0,7.997239,0.7625471830045831,0.4133826154026666,0.0054748890435441
M2,Slit2,Gpc1,sCs,0.3333333333333333,0.010485,0.006227960582979,1.0,45.062479,0.8408291186329754,0.4724800923149999,0.0052366506078672
M2,Ngf,Ngfr,sCs,0.3333333333333333,0.0908763333333333,0.0052017881639318,1.0,12.2530545,0.960849660841235,1.1135126650935,0.0049981363930818
M2,Efna4,Epha3,sCs,1.0,0.1827426666666666,0.0453083669048127,1.0,1.4000015,0.1089699363164807,0.2558400074473333,0.0049372498562211
M2,Saa1,Cd36,sCs,0.6666666666666666,0.0063133333333333,0.128850549689779,1.0,31.847119,0.0298202421042728,0.2010614779533333,0.0038423545870178
M2,Fgf17,Fgfr3,sCs,0.6666666666666666,0.0703543333333333,0.0556627087173562,1.0,0.8102765000000001,0.0687650463262384,0.0570064629731666,0.0038276487435929
M2,Efna4,Epha4,sCs,1.0,0.1827426666666666,0.0453083669048127,1.0,1.6551325,0.0815402630746324,0.3024633267366666,0.0036944561569003
M2,Ifnb1,Ifnar1,sCs,0.3333333333333333,0.1044623333333333,0.0521958909437038,1.0,10.470196,0.0697287466230252,1.093741104617333,0.0036395540543765
M2,Spon2,Itga5,sCs,0.3333333333333333,0.2467186666666667,0.0672731272734263,1.0,11.1245335,0.0525587383708885,2.744630072408667,0.0035357906957555
M2,Ifnb1,Ifnar2,sCs,0.3333333333333333,0.1044623333333333,0.0521958909437038,1.0,15.72803,0.0634537139891656,1.642986712536667,0.0033120231353514
M2,Cxcl13,Cxcr5,sCs,0.3333333333333333,0.0938003333333333,0.0119315453971852,0.5,0.2772375,0.2675750526769409,0.0260049699125,0.0031925838881691
M2,Efna1,Epha5,sCs,0.3333333333333333,0.142059,0.0028910443376259,1.0,0.331827,1.0,0.0471390117929999,0.0028910443376259
M2,Cck,Cckar,sCs,0.3333333333333333,0.1819486666666667,0.0350254646330209,0.5,0.082133,0.0809355584132755,0.0149439898393333,0.0028348055387579
M2,Slit2,Sdc1,sCs,0.3333333333333333,0.010485,0.006227960582979,1.0,10.911117,0.4286722631590189,0.114403061745,0.0026697539579708
M2,Fgf17,Fgfr2,sCs,0.6666666666666666,0.0703543333333333,0.0556627087173562,1.0,0.098709,0.0477810424014456,0.006944605889,0.0026596222454033
M2,Ncam1,Ptprz1,sCs,1.0,0.128441,0.0022658682555996,1.0,6.821830500000001,0.9878806392739954,0.8762027312505001,0.0022384073808523
M2,Slit2,Robo1,sCs,0.3333333333333333,0.010485,0.006227960582979,1.0,6.7278225,0.3530377245383715,0.0705412189125,0.0021987050327296
