Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Fgf21,Fgfr4,sCs,0.5,0.213241,1.0,1.0,37.1930565,0.9801418472049912,7.9310845611165,0.9801418472049912
sCs,Npb,Npbwr1,sCs,0.5,0.4718625,0.8554766003388458,0.5,0.0517795,0.9980981080672988,0.02443280431875,0.8538495762940467
sCs,Crh,Crhr2,sCs,0.5,0.234577,1.0,1.0,1.986215,0.8478763799711385,0.465920356055,0.8478763799711385
sCs,Nrtn,Gfra1,sCs,0.5,0.1212335,1.0,1.0,8.141729999999999,0.7024686483203415,0.987050423955,0.7024686483203415
sCs,Nrtn,Gfra2,sCs,0.5,0.1212335,1.0,1.0,4.4922745,0.6072587316327117,0.54461416059575,0.6072587316327117
sCs,Lrrc4b,Ptprf,sCs,0.5,0.2428485,0.8267337771430615,1.0,4.914489,0.6537373431914789,1.1934762819165,0.5404667429961613
sCs,Ndp,Lgr4,sCs,0.5,0.102282,0.925760213363584,1.0,7.593578,0.414493414256653,0.776686344996,0.3837215116200395
sCs,Lrrc4b,Ptprs,sCs,0.5,0.2428485,0.8267337771430615,1.0,20.4145605,0.3538032458052225,4.95764539558425,0.2925010937700266
sCs,Ntn1,Unc5d,sCs,1.0,4.717841,0.2795423669681891,1.0,0.108947,1.0,0.513994623427,0.2795423669681891
sCs,Avp,Avpr1a,sCs,0.5,0.2600935,0.6351187184004669,1.0,4.0314,0.3326188590839254,1.0485409359,0.2112524634972082
sCs,Ndp,Fzd4,sCs,0.5,0.102282,0.925760213363584,1.0,19.558276,0.2272713088146052,2.000459585832,0.2103987353396299
sCs,Csf2,Sdc2,sCs,0.5,0.2341465,0.5043813149581506,1.0,24.7183095,0.3682859456189059,5.787705655341751,0.1857565495318697
sCs,Slitrk2,Ptprs,sCs,0.5,0.100222,0.4087957448891354,1.0,20.4145605,0.3538032458052225,2.045988082431,0.1446332614131398
sCs,Tgfa,Erbb4,sCs,0.5,0.122698,0.1330191558295484,0.5,0.005426,1.0,0.000665759348,0.1330191558295484
sCs,Wnt6,Fzd7,sCs,0.5,0.190759,0.4246468307147087,1.0,6.106310000000001,0.2826700944166318,1.16483358929,0.1200349597318501
sCs,Inha,Acvr2a,sCs,1.0,0.3986325,0.519425282239106,1.0,17.446105,0.2265518959828062,6.9545844514125,0.1176767825126737
sCs,Nrtn,Ret,sCs,0.5,0.1212335,1.0,1.0,0.967637,0.1089393909144389,0.1173100202395,0.1089393909144389
sCs,Nppc,Npr3,sCs,1.0,0.780679,0.7765663048495169,0.5,0.1781875,0.1214906075104235,0.1391072393125,0.0943455121482925
sCs,Wnt5b,Fzd8,sCs,0.5,0.135954,0.2669439110304773,1.0,3.2514585,0.3261875244227855,0.442048788909,0.0870737734987676
sCs,Inha,Tgfbr3,sCs,1.0,0.3986325,0.519425282239106,1.0,21.1309775,0.1524111868891667,8.42349438826875,0.0791662237663025
sCs,Wnt5b,Fzd2,sCs,0.5,0.135954,0.2669439110304773,1.0,1.927182,0.2346290626821072,0.262008101628,0.0626327996337766
sCs,Tgfa,Egfr,sCs,0.5,0.122698,0.1330191558295484,1.0,21.8974465,0.2947641963565862,2.686772890657,0.0392092845681283
sCs,Csf2,Il3ra,sCs,0.5,0.2341465,0.5043813149581506,1.0,1.8288025,0.0743535225580281,0.42820770456625,0.0375025274795887
sCs,Tgfa,Erbb2,sCs,0.5,0.122698,0.1330191558295484,1.0,3.0507295,0.2766280443193008,0.374318408191,0.0367968289341322
sCs,Pthlh,Pth1r,sCs,0.5,0.157141,0.0989236336944653,1.0,1.852731,0.2466913745966772,0.291140002071,0.0244036071761858
sCs,Sost,Lrp4,sCs,0.5,0.012877,0.0959878943589004,1.0,2.582909,0.2494478209221534,0.033260119193,0.0239439710827335
sCs,Nppa,Npr3,sCs,0.5,0.176425,0.1651165268298952,0.5,0.1781875,0.1214906075104235,0.0314367296875,0.0200601071545751
sCs,Sost,Lrp6,sCs,0.5,0.012877,0.0959878943589004,1.0,16.594562,0.1681395823342728,0.213688174874,0.0161393644666518
sCs,Sost,Lrp5,sCs,0.5,0.012877,0.0959878943589004,1.0,7.90657,0.1386853701025721,0.10181290189,0.0133121166545307
sCs,Rbp4,Stra6,sCs,0.5,0.0731645,0.0154358236977009,1.0,1.3882155,0.8034772779429081,0.10156809294975,0.0124023336074353
sCs,A2m,Lrp1,sCs,0.5,0.0058575,0.2078663315096851,1.0,29.9633245,0.0589955859137168,0.17551017325875,0.0122631960191487
sCs,Nts,Sort1,sCs,0.5,0.1411265,0.0354936358816284,1.0,8.3884095,0.3371752201575759,1.18382687330175,0.0119675744925809
sCs,Il21,Il2rg,sCs,0.5,0.0165,0.398313404251895,1.0,5.7743895,0.0271185829329292,0.09527742675,0.0108016950865023
sCs,Pthlh,Pth2r,sCs,0.5,0.157141,0.0989236336944653,0.5,0.0453825,0.1037091064209037,0.0071314514325,0.0102592816543618
sCs,Btla,Cd79a,sCs,0.5,0.0753385,0.024951165031861,1.0,1.2299925,0.2273699230459031,0.09266578996125,0.0056731444731998
sCs,Csf2,Csf2ra,sCs,0.5,0.2341465,0.5043813149581506,1.0,0.9899465,0.0094585880262808,0.23179250816225,0.0047707350663429
sCs,Il21,Il21r,sCs,0.5,0.0165,0.398313404251895,1.0,0.271195,0.0092683611516315,0.0044747175,0.0036917124821423
sCs,Pdpn,Clec1b,sCs,1.0,35.0445155,0.1939210362433495,0.5,0.107799,0.0104876198239516,3.7777637263845,0.0020337701039869
sCs,Ltb,Ltbr,sCs,0.5,0.1008275,0.015298795942919,1.0,8.94568,0.1185353578007432,0.9019705502,0.0018134482510144
sCs,Ltb,Tnfrsf1a,sCs,0.5,0.1008275,0.015298795942919,1.0,22.4578325,0.091484533216078,2.26436710639375,0.0013996032056059
sCs,Il27,Il27ra,sCs,0.5,0.1583315,0.0643311785750587,0.5,0.085333,0.0210789795395591,0.0135109018895,0.0013560355969393
sCs,Mfng,Notch2,sCs,1.0,0.251614,0.0057420974539923,1.0,29.501953,0.2067901125028462,7.423104402142,0.0011874089785133
