Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Pomc,Mc2r,FAPs,1.0,0.3304176666666667,1.0,0.3333333333333333,0.034026,1.0,0.011242791526,1.0
ECs,Pomc,Mc3r,FAPs,1.0,0.3304176666666667,1.0,0.3333333333333333,0.009687,1.0,0.003200755937,1.0
ECs,Hcrt,Hcrtr2,FAPs,0.3333333333333333,0.399539,0.719860690374207,0.3333333333333333,0.007522,1.0,0.003005332358,0.719860690374207
ECs,Bmp15,Bmpr1b,FAPs,0.6666666666666666,0.1761206666666667,1.0,1.0,1.394935666666666,0.638793578492805,0.2456769995704444,0.638793578492805
ECs,Wnt9b,Fzd10,FAPs,0.6666666666666666,0.052918,1.0,0.6666666666666666,0.085107,0.5357808368657405,0.004503692226,0.5357808368657405
ECs,Lrrc4b,Ptprf,FAPs,0.6666666666666666,0.065789,1.0,1.0,3.876179,0.4827046100021922,0.255009940231,0.4827046100021922
ECs,Bmp15,Bmpr1a,FAPs,0.6666666666666666,0.1761206666666667,1.0,1.0,29.178763,0.4577008212193115,5.138983192068667,0.4577008212193115
ECs,Bmp15,Acvr2a,FAPs,0.6666666666666666,0.1761206666666667,1.0,1.0,27.20435933333333,0.3834042803375869,4.791249902026222,0.3834042803375869
ECs,Wnt9b,Fzd8,FAPs,0.6666666666666666,0.052918,1.0,1.0,2.913654666666667,0.3290690586319826,0.1541847776506667,0.3290690586319826
ECs,Lrrc4b,Ptprs,FAPs,0.6666666666666666,0.065789,1.0,1.0,20.524797,0.3127246837341967,1.350305869833,0.3127246837341967
ECs,Pmch,Mchr1,FAPs,0.3333333333333333,0.2423523333333333,0.6726827110966366,0.3333333333333333,0.0969963333333333,0.4043114288294672,0.0235072877081111,0.2719733080723609
ECs,Prn,Rpsa,FAPs,0.3333333333333333,0.284318,0.621545699189178,1.0,389.2008666666666,0.4265002985877158,110.6568120089333,0.265089426290095
ECs,Sost,Lrp6,FAPs,0.3333333333333333,0.0080706666666666,1.0,1.0,21.85073566666667,0.2507810418746436,0.1763500039871111,0.2507810418746436
ECs,Wnt9b,Fzd4,FAPs,0.6666666666666666,0.052918,1.0,1.0,14.03147833333333,0.2346105337346748,0.7425177704433333,0.2346105337346748
ECs,Ccl17,Ackr2,FAPs,0.3333333333333333,0.244729,0.1979038852600776,0.6666666666666666,0.26202,1.0,0.06412389258,0.1979038852600776
ECs,Bmp15,Bmpr2,FAPs,0.6666666666666666,0.1761206666666667,1.0,1.0,27.90901333333333,0.1884129712323413,4.915354034275556,0.1884129712323413
ECs,Cntn4,Ptprg,FAPs,0.3333333333333333,0.0065433333333333,1.0,1.0,9.611839333333334,0.1653314848189177,0.0628934687044444,0.1653314848189177
ECs,Ccl21b,Ackr2,FAPs,0.3333333333333333,0.0335546666666666,0.1494171833323191,0.6666666666666666,0.26202,1.0,0.00879199376,0.1494171833323191
