Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Sost,Lrp4,M2,0.3333333333333333,0.0080706666666666,1.0,1.0,2.792859,0.259609185256354,0.022540234036,0.259609185256354
ECs,Sost,Lrp6,M2,0.3333333333333333,0.0080706666666666,1.0,1.0,19.24455733333333,0.2208699154157989,0.1553164073848889,0.2208699154157989
ECs,Wnt9b,Fzd10,M2,0.6666666666666666,0.052918,1.0,0.6666666666666666,0.0309526666666666,0.1948587736601335,0.0016379532146666,0.1948587736601335
ECs,Sost,Lrp5,M2,0.3333333333333333,0.0080706666666666,1.0,1.0,7.585411999999999,0.1841740259772843,0.0612193317813333,0.1841740259772843
ECs,Lrrc4b,Ptprs,M2,0.6666666666666666,0.065789,1.0,1.0,11.88286,0.1810523941044453,0.78176147654,0.1810523941044453
ECs,Wnt9b,Fzd5,M2,0.6666666666666666,0.052918,1.0,1.0,5.056184333333333,0.151934258535964,0.2675631625513333,0.151934258535964
ECs,Bmp15,Bmpr2,M2,0.6666666666666666,0.1761206666666667,1.0,1.0,22.468903,0.1516869379794604,3.957238175628667,0.1516869379794604
ECs,Snca,Lag3,M2,0.6666666666666666,0.141273,0.3794482221436341,1.0,14.550925,0.3710293364573632,2.055652827525,0.1407864220818787
ECs,Wnt1,Fzd10,M2,0.3333333333333333,0.0937009999999999,0.7055497129891546,0.6666666666666666,0.0309526666666666,0.1948587736601335,0.0029002958193333,0.1374825518293258
ECs,Prn,Rpsa,M2,0.3333333333333333,0.284318,0.621545699189178,1.0,132.282102,0.1449594819354051,37.610182676436,0.0900989425536424
ECs,Crp,Olr1,M2,0.3333333333333333,0.030602,1.0,1.0,4.497706333333333,0.0871812688705997,0.1376388092126667,0.0871812688705997
ECs,Bmp15,Acvr2a,M2,0.6666666666666666,0.1761206666666667,1.0,1.0,6.012963333333334,0.0847436196259978,1.059007110908889,0.0847436196259978
ECs,Ccl21b,Ccr7,M2,0.3333333333333333,0.0335546666666666,0.1494171833323191,1.0,2.121494666666667,0.5528538082163603,0.0711860463751111,0.0826058588182346
ECs,Ifnk,Ifnar2,M2,0.6666666666666666,0.2655433333333333,0.2002402994191088,1.0,96.06569666666668,0.347671752729116,25.50960531185555,0.0696178958660445
ECs,Dkk4,Lrp6,M2,0.3333333333333333,0.016035,0.2528382213812677,1.0,19.24455733333333,0.2208699154157989,0.30858647684,0.0558443565703616
ECs,Ifnk,Ifnar1,M2,0.6666666666666666,0.2655433333333333,0.2002402994191088,1.0,43.49958833333333,0.2733047918752272,11.55102568466111,0.0547266333577727
ECs,Gpha2,Tshr,M2,0.6666666666666666,0.1408576666666667,0.8352780254078319,1.0,0.209825,0.0536212155931065,0.0295554599083333,0.0447886230805777
ECs,Epcam,Epcam,M2,0.3333333333333333,0.0155353333333333,0.0704575827392074,0.6666666666666666,0.133475,0.6053507610253434,0.0020735786166666,0.0426515513311853
ECs,Ccl21b,Cxcr3,M2,0.3333333333333333,0.0335546666666666,0.1494171833323191,1.0,2.375759,0.2786249200308754,0.0797178013253333,0.041631350757206
ECs,Epo,Crlf3,M2,0.3333333333333333,0.047125,0.0956091154457667,1.0,30.97429833333333,0.3505095437866988,1.459663808958333,0.0335119074367455
ECs,Adipoq,Adipor1,M2,0.3333333333333333,0.0387933333333333,0.1941164598681983,1.0,38.49652733333333,0.1706071544449672,1.493408617017777,0.0331176568490439
ECs,Efnb2,Grm5,M2,1.0,31.910369,0.579978174461379,0.3333333333333333,0.0002013333333333,0.056868468129178,0.0064246209586666,0.0329824703299758
ECs,Adipoq,Adipor2,M2,0.3333333333333333,0.0387933333333333,0.1941164598681983,1.0,12.14848666666667,0.1687027247768447,0.4712802927555555,0.0327479757038
ECs,Col4a6,Cd93,M2,0.6666666666666666,0.1033526666666667,0.1441411538061023,1.0,59.37981533333334,0.2131787034353868,6.137062260874223,0.0307278242800655
ECs,Lrrc4b,Ptprf,M2,0.6666666666666666,0.065789,1.0,1.0,0.237489,0.0295747526429534,0.015624163821,0.0295747526429534
ECs,Epo,Epor,M2,0.3333333333333333,0.047125,0.0956091154457667,0.6666666666666666,0.650131,0.2877032102978765,0.030637423375,0.0275070494474873
ECs,Il17f,Il17ra,M2,0.3333333333333333,0.0583923333333333,0.1415385286624873,1.0,18.40625766666667,0.1794042525568314,1.074784333091222,0.0253926139426871
ECs,Dlk2,Notch1,M2,0.3333333333333333,0.076721,0.1591982918362138,1.0,15.94503,0.1120093019224172,1.22331864663,0.0178316895358155
ECs,Agrp,Sdc3,M2,0.3333333333333333,0.2239496666666667,0.0459167549897169,1.0,86.782706,0.3702353628030166,19.43495808113133,0.0170000064423551
ECs,Enho,Gpr19,M2,0.3333333333333333,0.0579793333333333,0.0902037984149588,1.0,1.592265333333333,0.186032936986158,0.0923184825164444,0.0167808775464421
ECs,Wnt9a,Fzd10,M2,0.6666666666666666,0.270269,0.0767578295292242,0.6666666666666666,0.0309526666666666,0.1948587736601335,0.0083655462673333,0.0149569365308782
ECs,Ctf1,Lifr,M2,0.3333333333333333,0.055246,0.0512308662429832,1.0,29.18610833333333,0.2913731004059664,1.612415740983333,0.0149272963337014
ECs,Btla,Tnfrsf14,M2,0.6666666666666666,0.3107469999999999,0.0355187395783544,1.0,23.64775066666667,0.3960186708606028,7.348467576414666,0.0140660840384638
ECs,Tnfsf18,Tnfrsf18,M2,0.6666666666666666,0.102275,0.0854975577500369,1.0,0.698995,0.1635342523654927,0.071489713625,0.0139817791857278
ECs,Dkk4,Kremen1,M2,0.3333333333333333,0.016035,0.2528382213812677,1.0,2.194466,0.0545266983987952,0.03518826231,0.0137864334409442
ECs,Csf3,Csf3r,M2,1.0,0.3594423333333334,0.1581620687192068,1.0,61.787136,0.0648490867750426,22.208912333824,0.0102566657188921
ECs,Fgf2,Sdc3,M2,0.6666666666666666,0.397979,0.0268297669994924,1.0,86.782706,0.3702353628030166,34.53769455117401,0.0099333285189774
ECs,Ucn2,Il10rb,M2,1.0,0.1018866666666667,0.0359969498102464,1.0,101.0756123333333,0.2484717934181257,10.29825722193555,0.0089442266769341
ECs,Ace,Bdkrb2,M2,1.0,42.795813,0.5625751540183725,0.3333333333333333,0.0327476666666666,0.0155948844499431,1.401463018853,0.0087732945213254
