Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Ccl12,Ccr1,Neutro,1.0,40.32940166666666,0.4705770439863239,1.0,335.2538503333333,0.7935778071233418,13520.58719038955,0.3734394986492512
M1,Il18,Il18r1,Neutro,1.0,35.63076933333333,0.4047089460773642,1.0,8.082414666666667,0.8846305857135367,287.9826526443503,0.3580179120119268
M1,Ccl12,Ccr3,Neutro,1.0,40.32940166666666,0.4705770439863239,1.0,1.010197333333333,0.7435740030571361,40.74065401859556,0.3499088563437048
M1,Ccl24,Ccr3,Neutro,1.0,1.319914,0.430067032920844,1.0,1.010197333333333,0.7435740030571361,1.333373603029333,0.3197866652518571
M1,Cxcl10,Ccr3,Neutro,1.0,99.30192733333332,0.3754264006264597,1.0,1.010197333333333,0.7435740030571361,100.3145421869938,0.2791573115671487
M1,Il12b,Il23r,Neutro,0.6666666666666666,0.7488436666666667,0.3276685070205272,1.0,0.1572256666666667,0.8336122780445475,0.1177374447207778,0.2731484905808375
M1,Pf4,Cxcr3,Neutro,1.0,103.833693,0.435360525505364,1.0,5.345069333333334,0.6268605172323812,554.998288221048,0.2729103242008538
M1,Ccl5,Ccr1,Neutro,1.0,18.462627,0.3270988818654527,1.0,335.2538503333333,0.7935778071233418,6189.66678901816,0.259578413383283
M1,Ccl5,Ccr3,Neutro,1.0,18.462627,0.3270988818654527,1.0,1.010197333333333,0.7435740030571361,18.650896561728,0.2432222249842079
M1,Cxcl10,Cxcr3,Neutro,1.0,99.30192733333332,0.3754264006264597,1.0,5.345069333333334,0.6268605172323812,530.7756865302952,0.2353399876793937
M1,Ccl2,Ccr3,Neutro,1.0,280.8555153333334,0.312202891684044,1.0,1.010197333333333,0.7435740030571361,283.7194926416925,0.2321459539355181
M1,Ifna11,Ifnar1,Neutro,0.3333333333333333,0.0049183333333333,1.0,1.0,36.226654,0.2276094673801518,0.1781747599233333,0.2276094673801518
M1,Ccl5,Cxcr3,Neutro,1.0,18.462627,0.3270988818654527,1.0,5.345069333333334,0.6268605172323812,98.684021390472,0.2050453742723112
M1,Ambn,Cd63,Neutro,0.3333333333333333,0.004391,1.0,1.0,147.2274146666667,0.1964475915098574,0.6464755778013334,0.1964475915098574
M1,Ifna11,Ifnar2,Neutro,0.3333333333333333,0.0049183333333333,1.0,1.0,54.16787466666667,0.1960391750690934,0.2664156635688889,0.1960391750690934
M1,Ccl2,Cxcr3,Neutro,1.0,280.8555153333334,0.312202891684044,1.0,5.345069333333334,0.6268605172323812,1501.19220210573,0.1957076661625049
M1,C3,Cd19,Neutro,1.0,41.02052933333334,0.1576688381166818,0.3333333333333333,0.0384306666666666,1.0,1.576446289299556,0.1576688381166818
M1,Gnai2,Adora1,Neutro,1.0,136.676337,0.1929387280825172,1.0,1.588825,0.7569219057032177,217.154781134025,0.1460395497441739
M1,Cadm1,Crtam,Neutro,1.0,5.421768666666668,0.2509703489935885,1.0,0.8912843333333332,0.5427557308636116,4.832337471557556,0.1362155951931108
M1,Gnai2,Oprm1,Neutro,1.0,136.676337,0.1929387280825172,1.0,1.849731,0.6850261866193819,252.814457515347,0.1321680811495606
M1,Oxt,Avpr2,Neutro,0.6666666666666666,0.197697,0.2186122134241953,0.3333333333333333,0.1519946666666667,0.5678321747988233,0.030048889616,0.1241350485862453
M1,Siglec1,Spn,Neutro,1.0,82.08493033333333,0.4471590021806044,1.0,2.590421666666666,0.240305238781698,212.6345820422905,0.107454650792396
M1,Slamf1,Slamf1,Neutro,0.3333333333333333,0.165144,0.3925656637370091,0.6666666666666666,0.1125246666666667,0.2674836533981598,0.018582773552,0.1050048979350487
M1,Nmb,Nmbr,Neutro,1.0,1.701617666666667,0.103606023716051,0.3333333333333333,0.0985393333333333,1.0,0.1676762704615555,0.103606023716051
M1,Cirbp,Trem1,Neutro,1.0,3.974084666666667,0.0926465608692732,1.0,194.9392826666667,0.9548563367540328,774.7052141765992,0.0884641557244937
M1,Gnas,Avpr2,Neutro,1.0,107.1200406666667,0.1404381367013169,0.3333333333333333,0.1519946666666667,0.5678321747988233,16.28167487444978,0.0797452925878031
M1,Enho,Gpr19,Neutro,0.6666666666666666,0.1211416666666667,0.1884712681470203,1.0,3.157892,0.3689535350337919,0.3825523000333333,0.0695371406351448
M1,F11,Gp1ba,Neutro,0.3333333333333333,0.0435036666666666,0.2480103832530139,1.0,2.741087,0.264254584870766,0.1192473351523333,0.0655378808701647
M1,Guca2a,Gucy2c,Neutro,0.3333333333333333,0.1639403333333333,0.0826132974181843,1.0,1.840209,0.7616851584290759,0.301684476863,0.0629253225323181
M1,Tnfsf13,Tnfrsf13b,Neutro,1.0,4.255346333333334,0.4812537424658725,1.0,3.955061333333333,0.1295697541686552,16.83015574290845,0.0623559291040483
M1,Gnrh1,Gnrhr,Neutro,1.0,1.532615,0.0585387226269886,0.3333333333333333,0.1112073333333333,1.0,0.1704380271766666,0.0585387226269886
M1,F2,F2rl2,Neutro,1.0,0.3011906666666667,0.1544953627727134,1.0,2.649235666666666,0.3443315086729854,0.7979250566004443,0.0531976213465086
M1,H2-M3,Klrd1,Neutro,1.0,12.53801466666667,0.336120594359241,0.6666666666666666,2.020148,0.1414945686059116,25.32864525283734,0.0475592384984234
M1,H2-T23,Klrd1,Neutro,1.0,60.343188,0.3331754309024837,0.6666666666666666,2.020148,0.1414945686059116,121.902170551824,0.0471425138656356
M1,Cort,Mrgprb1,Neutro,0.3333333333333333,0.0237816666666666,0.0470642638791587,0.3333333333333333,0.2499753333333333,1.0,0.0059448300522222,0.0470642638791587
M1,Pglyrp1,Trem1,Neutro,1.0,2.950891666666667,0.0470118209783187,1.0,194.9392826666667,0.9548563367540328,575.2447047270445,0.0448895351634938
M1,Ccl4,Ccr1,Neutro,1.0,62.546238,0.0563341207164477,1.0,335.2538503333333,0.7935778071233418,20968.86711336505,0.0447055079843802
M1,Ccl4,Ccr3,Neutro,1.0,62.546238,0.0563341207164477,1.0,1.010197333333333,0.7435740030571361,63.184042837632,0.0418885876498329
M1,Icos,Icosl,Neutro,0.6666666666666666,0.0737473333333333,0.0861729230795596,1.0,25.01210333333333,0.4618681743218556,1.844575921891111,0.0398005306587339
M1,Cxcl13,Cxcr5,Neutro,0.3333333333333333,0.203433,0.0488118029580337,1.0,3.914954,0.794499818436563,0.796430837082,0.038780968587719
M1,Flt3l,Flt3,Neutro,1.0,4.523564,0.1690689533557062,1.0,1.731584666666667,0.2154869755080714,7.832934061085333,0.0364321574109363
M1,Vcam1,Itgad,Neutro,1.0,13.47993833333333,0.087182422372057,1.0,0.3860966666666667,0.410764003527856,5.204559257372224,0.0358114008508026
M1,C1qtnf1,Avpr2,Neutro,0.6666666666666666,0.925616,0.0615530505173831,0.3333333333333333,0.1519946666666667,0.5678321747988233,0.1406886953813334,0.0349518025407875
M1,Cxcl13,Cxcr3,Neutro,0.3333333333333333,0.203433,0.0488118029580337,1.0,5.345069333333334,0.6268605172323812,1.087363489688,0.030598192049318
