Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Cxcl5,Cxcr2,Neutro,0.0,-91.55066900000004,0.0104056472914707,0.33333333333333337,337.932763,0.969279272393714,107921.7844344162,0.9676389467762794
FAPs,Cxcl5,Cxcr1,Neutro,0.0,-91.55066900000004,0.0104056472914707,0.6666666666666667,8.941571666666666,0.9683955007906616,2855.7257037650224,0.9665554714387282
FAPs,Saa1,Fpr2,Neutro,-0.3333333333333333,-0.0322393333333334,0.1288505496897789,0.6666666666666667,131.3978013333333,0.8972268057305286,1.370773087750889,0.8975607647336464
FAPs,Cxcl1,Cxcr1,Neutro,0.0,-31.41097033333324,-0.1063661519813495,0.6666666666666667,8.941571666666666,0.9683955007906616,4796.432774201509,0.6551066142450157
FAPs,Cxcl1,Cxcr2,Neutro,0.0,-31.41097033333324,-0.1063661519813495,0.33333333333333337,337.932763,0.969279272393714,181271.6698828368,0.6536459444376533
FAPs,Rarres2,Ccrl2,Neutro,0.0,-29.52049633333334,0.0361392968187742,0.0,400.40859533333327,0.7429471869112787,17621.2313974893,0.6181260607854105
FAPs,Col14a1,Cd44,Neutro,0.0,34.49605199999999,0.0571380470748053,0.0,647.6608773333334,0.493671986726495,41049.1133579887,0.472932927757831
FAPs,Has2,Cd44,Neutro,0.0,-2.9544766666666646,-0.0079778827226442,0.0,647.6608773333334,0.493671986726495,31199.422756696214,0.4609003411818828
FAPs,Col1a1,Cd44,Neutro,0.0,458.3627930000004,0.0467381634481284,0.0,647.6608773333334,0.493671986726495,842831.9806487425,0.460294956204512
FAPs,Mif,Cxcr2,Neutro,0.0,3.9252573333334055,0.0704418336226433,0.33333333333333337,337.932763,0.969279272393714,41710.70627192771,0.4580942946160212
FAPs,Pdpn,Clec1b,Neutro,0.0,-2.1945216666666028,0.1057391479533499,0.0,33.71277433333334,0.6110021055133283,3471.11590903582,0.4477765049514421
FAPs,Dcn,Tlr2,Neutro,0.0,-55.93068433333315,0.0224515296124363,0.0,148.4719736666667,0.4523495963399584,142227.92784443725,0.4431772968499102
FAPs,Col1a2,Cd44,Neutro,0.0,322.07867433333297,0.0383439776648847,0.0,647.6608773333334,0.493671986726495,695596.5478669966,0.4288999773686939
FAPs,Fn1,Nt5e,Neutro,0.0,179.90764366666656,0.1764429895447598,0.0,19.414206000000004,0.5847440404848164,10564.881024297378,0.4009807201302748
FAPs,Cxcl14,Cxcr4,Neutro,0.0,-71.6541316666667,0.0109117952720377,0.0,447.1575923333333,0.4065336615197431,57903.14985100504,0.4001093075886376
FAPs,Bgn,Tlr2,Neutro,0.0,142.2702433333341,0.077747859181825,0.0,148.4719736666667,0.4523495963399584,226402.28237926684,0.3873829353471329
FAPs,Fgf2,Cd44,Neutro,0.0,-2.070958000000001,0.0204468038939378,0.0,647.6608773333334,0.493671986726495,7312.715620173062,0.3782882476674953
FAPs,Anxa1,Fpr2,Neutro,0.0,34.12874366666668,0.003672836667297,0.6666666666666667,131.3978013333333,0.8972268057305286,32117.477303063828,0.3484334671923211
FAPs,Dcn,Tlr4,Neutro,0.0,-55.93068433333315,0.0224515296124363,0.0,43.95701866666666,0.3511061101860865,41713.61273244537,0.3460087718366266
FAPs,Anxa1,Fpr1,Neutro,0.0,34.12874366666668,0.003672836667297,0.6666666666666667,46.074019,0.8707047487288939,11268.650785197597,0.3382359110761538
FAPs,Ntn1,Unc5a,Neutro,0.0,2.2106296666666694,0.2031807625831677,0.0,6.280481333333333,0.4430153350057699,69.119430633421,0.3333856926544731
FAPs,Fn1,Cd44,Neutro,0.0,179.90764366666656,0.1764429895447598,0.0,647.6608773333334,0.493671986726495,346715.0013294741,0.3285972044865284
FAPs,Comp,Itgb3,Neutro,0.0,3.9027883333333406,0.0850980757115824,0.0,7.289906666666666,0.337354665867749,119.95554443678552,0.3269150075994986
FAPs,Fbn1,Itgb3,Neutro,0.0,50.75110866666671,0.0569793108772632,0.0,7.289906666666666,0.337354665867749,2782.414123162862,0.3229091784034807
FAPs,Adipoq,Adipor1,Neutro,0.3333333333333333,0.1054996666666668,0.3548042768727649,0.0,86.30210366666662,0.3350264067897589,16.16653350099,0.3206191915555075
FAPs,Bgn,Tlr4,Neutro,0.0,142.2702433333341,0.077747859181825,0.0,43.95701866666666,0.3511061101860865,68033.46789376001,0.3076822685473669
FAPs,Col1a2,Itgb3,Neutro,0.0,322.07867433333297,0.0383439776648847,0.0,7.289906666666666,0.337354665867749,9052.6729621716,0.3050239646095249
FAPs,Spon2,Itgam,Neutro,0.0,0.962210666666667,0.2502724859416099,0.6666666666666667,158.88926833333335,0.439798920603246,404.0081911424056,0.2996600645024512
FAPs,Spon2,Itgb2,Neutro,0.0,0.962210666666667,0.2502724859416099,0.33333333333333337,187.69835266666664,0.4380369253555863,477.5114236983204,0.2987659830798801
FAPs,Wnt7a,Fzd5,Neutro,-0.33333333333333337,-0.43305,0.0,0.0,11.72306666666667,0.2972164117085336,1.0438842478388892,0.2972164117085336
FAPs,Wnt2,Fzd5,Neutro,0.0,1.193383666666667,-0.0060171983136028,0.0,11.72306666666667,0.2972164117085336,24.64999763815344,0.2945021270988207
FAPs,Wnt5a,Fzd5,Neutro,0.0,2.895706999999997,-0.0078525475076439,0.0,11.72306666666667,0.2972164117085336,97.6191982102723,0.29367422351127
FAPs,Cthrc1,Fzd5,Neutro,0.0,8.25450166666667,0.1075695899860265,0.0,11.72306666666667,0.2972164117085336,355.643922403995,0.2934410912180263
FAPs,Sfrp2,Fzd5,Neutro,0.0,167.3295946666667,0.0065817803210581,0.0,11.72306666666667,0.2972164117085336,5406.379530554033,0.2925252079869692
FAPs,Cp,Slc40a1,Neutro,0.0,-12.57354466666666,-0.0353306953267865,0.0,65.99286166666666,0.7291671462421886,1086.3304800024184,0.2851919923853914
FAPs,Lgals1,Cd69,Neutro,0.0,51.69013999999999,0.1416618150356258,0.0,60.53903133333333,0.6140787754733916,18803.6450524034,0.280657817681456
FAPs,Fn1,Itgb3,Neutro,0.0,179.90764366666656,0.1764429895447598,0.0,7.289906666666666,0.337354665867749,4585.802908403632,0.2794545090361021
FAPs,Efna5,Epha1,Neutro,0.0,1.3369020000000005,0.5146949493238024,0.0,7.095344000000001,0.2433775853912526,18.108072932377333,0.2750655272889264
FAPs,Fn1,Tshr,Neutro,0.0,179.90764366666656,0.1764429895447598,0.0,1.662959,0.3948102843649178,917.8172344182505,0.2730820561958237
FAPs,Cd34,Sell,Neutro,0.0,14.450654333333333,0.229710524542172,0.6666666666666667,257.39288866666664,0.7943737072523673,18539.533152128028,0.2709313135667763
FAPs,Thbs2,Itga4,Neutro,0.0,0.5393193333333386,0.0389943871415775,0.0,62.78192866666666,0.2992745319290268,5159.099792729335,0.2702834070117086
FAPs,Cntn1,Notch2,Neutro,-0.6666666666666667,-0.0665710000000001,0.1852688663571648,0.0,83.13158066666666,0.3443700332290594,3.872811581699444,0.2699957198152122
FAPs,Nid1,Itgb3,Neutro,0.0,8.412442666666593,0.2201994227189211,0.0,7.289906666666666,0.337354665867749,855.8605857936864,0.2676603867127394
FAPs,Vcan,Cd44,Neutro,0.0,26.477117000000007,0.0054260826562919,0.0,647.6608773333334,0.493671986726495,99816.1125684375,0.2669361873419852
FAPs,Il6,Il6ra,Neutro,0.0,-25.36800233333331,0.0404188008405378,0.0,32.678404666666665,0.3599010289671207,2242.442223627114,0.2668342446721339
FAPs,Cxcl12,Cxcr4,Neutro,0.0,-68.34036766666682,0.1469391813617763,0.0,447.1575923333333,0.4065336615197431,100164.72586257177,0.2633130945928011
FAPs,Cxcl12,Itgb3,Neutro,0.0,-68.34036766666682,0.1469391813617763,0.0,7.289906666666666,0.337354665867749,1385.9398003540011,0.2617883217012964
FAPs,Tnc,Itgb3,Neutro,0.0,-8.066808999999992,0.1004374424666775,0.0,7.289906666666666,0.337354665867749,587.1465451622812,0.2548022566719009
FAPs,C3,C5ar2,Neutro,0.0,-25.21101233333337,-0.3834414498170109,0.33333333333333337,65.150272,0.7833717018644116,5396.753785107824,0.2471877569915168
FAPs,Vcan,Tlr2,Neutro,0.0,26.477117000000007,0.0054260826562919,0.0,148.4719736666667,0.4523495963399584,22818.38887962965,0.2445130832675764
FAPs,Adam23,Itgb3,Neutro,0.0,-6.531717333333331,-0.053343571236754,0.0,7.289906666666666,0.337354665867749,80.1238468778826,0.2398401917705159
FAPs,Gphb5,Tshr,Neutro,0.0,0.666124666666667,0.363842549608713,0.0,1.662959,0.3948102843649178,2.074736722244223,0.2301453940007696
FAPs,Adam23,Itga4,Neutro,0.0,-6.531717333333331,-0.053343571236754,0.0,62.78192866666666,0.2992745319290268,911.1461105881248,0.2281524972486699
FAPs,Lgi3,Flot1,Neutro,0.0,0.927406666666667,0.1205223249009491,0.0,22.910207666666658,0.207348335716812,46.200609912143,0.2253375972144602
FAPs,Arf1,Chrm3,Neutro,0.0,22.29155066666671,0.0398797267756486,0.33333333333333337,6.732175333333333,0.9119900832953532,685.597520129198,0.2206172688432612
FAPs,Cx3cl1,Itgb3,Neutro,0.0,-0.2130436666666675,0.2147191381441381,0.0,7.289906666666666,0.337354665867749,36.829987680015776,0.2138458289063639
FAPs,Fn1,Plaur,Neutro,0.0,179.90764366666656,0.1764429895447598,0.0,79.76151,0.2930793906844895,44700.93612937371,0.2085894653803924
