Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Cd40lg,Cd40,M1,-0.3333333333333333,-0.0159973333333334,0.0,0.0,4.306158333333337,0.1681543371290888,0.3892785666146664,0.1681543371290888
M2,Il12b,Il12rb1,M1,-0.33333333333333337,0.581088666666667,-0.1537275656881416,0.0,0.718811,0.2324498805999068,1.1707601601644446,0.1458359799896645
M2,Xcl1,Xcr1,M1,0.3333333333333333,0.6265843333333334,0.8054004216228157,0.33333333333333337,0.106295,-0.0297349961888442,0.2473440760127779,0.1359497694043272
M2,Npy,Prlhr,M1,0.0,-1.7648496666666658,-0.2189551176958883,0.0,0.1264563333333333,0.3528861123799329,0.1589531085955556,0.1096461626286761
M2,Rspo1,Lrp6,M1,0.3333333333333333,0.6616700000000001,0.5076607969734686,0.0,-3.467853333333329,-0.0153004282439066,9.54118100550222,0.080742811074253
M2,Rspo1,Znrf3,M1,0.3333333333333333,0.6616700000000001,0.5076607969734686,0.0,-0.534786,-0.010698647628488,1.4288967237353334,0.0759629311982653
M2,Oxt,Avpr2,M1,0.0,-0.0090833333333334,0.203828447932623,0.3333333333333333,0.039649,0.0406948055992907,0.0125977731332222,0.0554196699264843
M2,Apoe,Ldlr,M1,0.0,-165.19189466666603,-0.0144314100279251,0.0,6.780021666666668,0.0971296025603457,23001.27025924944,0.051520005353285
M2,Apoe,Scarb1,M1,0.0,-165.19189466666603,-0.0144314100279251,0.0,2.317877666666668,0.0886581573259203,5599.8534807620745,0.0488569096362289
M2,St6gal1,Cd22,M1,0.0,-0.5558833333333357,0.0519425023086454,0.0,3.228793666666669,0.0757784876366434,24.29249078472023,0.0439727176710598
M2,Rspo1,Lgr5,M1,0.3333333333333333,0.6616700000000001,0.5076607969734686,0.3333333333333333,0.12569,0.0371873045538604,0.1336557185166667,0.0385140581731363
M2,Cd2,Cd48,M1,0.0,0.3900986666666671,0.2099672139426334,0.0,-0.1100653333332957,-0.1010270486377403,42.55956678019734,0.0337562546016468
M2,Mst1,Mst1r,M1,0.0,-0.4221583333333333,-0.1323618943603056,0.0,0.6426863333333334,0.2716312842245961,0.2408279174871111,0.0303330259297242
M2,Hgf,Met,M1,0.0,-2.41849100000001,-0.1203338577114613,0.0,4.532620666666667,0.1058637327622738,105.2602900784442,0.0296544505677577
M2,Pdgfb,Lrp1,M1,0.0,4.592136333333337,0.1244434466370199,0.0,-53.55004166666672,-0.0901764887030973,292.53416067085504,0.0288304766322805
M2,Lrpap1,Ldlr,M1,0.0,-2.0871803333333308,-0.0031582392274471,0.0,6.780021666666668,0.0971296025603457,79.49326674880962,0.0244724036119756
M2,Tctn1,Tmem67,M1,0.0,-0.9587543333333332,-0.0095279936816718,0.0,1.286092,0.0949285939752964,2.3716793969111194,0.0232769576873706
M2,Angptl3,Itga5,M1,0.0,0.7112593333333331,0.1144626772512685,0.0,0.711867666666663,0.0093248633555125,24.74231668036321,0.0214815458082068
M2,Ccl5,Sdc1,M1,0.0,12.512583333333332,-0.1244141183241855,0.33333333333333337,1.263016666666667,0.0419438040044961,60.2623824864278,0.0208944007238041
M2,Ptdss1,Scarb1,M1,0.0,0.1564336666666683,0.0101257108520607,0.0,2.317877666666668,0.0886581573259203,23.97854831231041,0.0194764451089656
M2,Tnfsf12,Tnfrsf12a,M1,0.0,3.477242999999993,0.1143244889875648,0.0,0.1667466666666683,0.0103009562956767,36.02795995799313,0.0173492244727836
M2,Nrg2,Erbb3,M1,0.0,0.0188396666666667,-0.2398747602726342,0.0,0.1632960000000001,0.0745071471301392,0.0986765786891111,0.017033232640677
M2,Siglec1,Spn,M1,0.0,-20.77290833333332,-0.170885799868972,0.33333333333333337,2.654381333333334,0.1233286561626027,204.91953603128323,0.0170051354577451
M2,Calr,Scarf1,M1,0.0,-3.669250666666698,-0.0029637679409879,0.0,0.5618296666666671,0.1012392802628077,65.5031394452127,0.0159098250487291
M2,Cntf,Lifr,M1,0.0,0.712731,0.1770742247359123,0.0,-3.631366333333334,-0.0078573092719393,3.4265235181026696,0.0157353444139824
M2,Mfng,Notch2,M1,0.0,0.9001503333333338,0.0985730173431757,0.0,9.959678000000004,-0.07946976351692,84.80245273171317,0.0152640110514099
M2,Angptl3,Itgav,M1,0.0,0.7112593333333331,0.1144626772512685,0.0,-10.375051,-0.0488637461609628,39.44703300611566,0.0151711112328313
M2,Adam11,Itga4,M1,0.0,0.1027263333333332,0.0820967441605113,0.0,11.566344333333326,-0.1102785641175406,8.78686937123256,0.0150495742201894
M2,Pf4,Procr,M1,0.0,-107.4026923333333,-0.1249676214652908,0.0,1.0236400000000003,0.0563101555138423,10.829642017722776,0.0131003231249379
M2,Mfng,Notch1,M1,0.0,0.9001503333333338,0.0985730173431757,0.0,1.62154799999999,0.0268377300347214,18.77625048853556,0.0120866875404088
