Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Fcer2a,Cr2,ECs,0.33333333333333337,0.2718518333333334,0.3945460252278352,0.0,0.1581135000000001,0.0103453659867843,0.2522910221087501,0.149984301622008
ECs,F2,F2rl3,ECs,0.0,1.5006741666666668,0.3183783004369219,0.0,4.154144666666668,-0.1471306783361818,14.84951738459089,0.1474011721609227
ECs,Vwf,Gp1ba,ECs,0.0,43.16050550000001,0.2810421884463959,0.0,2.0952465,0.1502777098582775,207.98307562165076,0.1383468093994531
ECs,Efna3,Epha7,ECs,-0.16666666666666663,0.0585273333333333,-0.1417871514468859,-0.16666666666666663,0.3030351666666667,0.1665512794914402,0.0712602894191112,0.1378481789500859
ECs,Adam15,Itgb3,ECs,0.0,38.3542545,0.0622336154094808,0.0,3.4586881666666667,0.3349951123466749,327.86995663274234,0.1374070489202548
ECs,Tshb,Tshr,ECs,0.0,2.1641211666666678,-0.1355208133328516,0.33333333333333337,0.5583685,0.2523192249355369,3.0358524921465837,0.1286568776094301
ECs,Efna3,Epha1,ECs,-0.16666666666666663,0.0585273333333333,-0.1417871514468859,0.0,3.1277705,0.1439742139658363,0.7964065806013334,0.1160192948037005
ECs,Nid1,Itgb3,ECs,0.0,44.177048166666665,0.0676587558391815,0.0,3.4586881666666667,0.3349951123466749,415.5684741273083,0.1155227369001885
ECs,F2,Gp1ba,ECs,0.0,1.5006741666666668,0.3183783004369219,0.0,2.0952465,0.1502777098582775,5.7463197820430825,0.1152194222800137
ECs,F2,Thbd,ECs,0.0,1.5006741666666668,0.3183783004369219,0.0,12.148433499999989,-0.031420541881069,71.52310477177942,0.1112567023768024
ECs,Lta,Tnfrsf1a,ECs,0.16666666666666669,0.2803778333333333,0.5079825530407287,0.0,23.205704166666656,0.118207219961349,19.14030203185186,0.1083645987109607
ECs,Gphb5,Tshr,ECs,0.33333333333333337,0.8918268333333332,0.1868687700470959,0.33333333333333337,0.5583685,0.2523192249355369,0.9112914038069168,0.10699656014409
ECs,Cx3cl1,Itgb3,ECs,0.0,3.477876000000002,-0.1007347835799102,0.0,3.4586881666666667,0.3349951123466749,38.19299221498333,0.1036141518704102
ECs,Ceacam1,Sele,ECs,0.0,13.221617666666669,0.155480220928682,0.0,6.367848333333333,-0.0447251109546715,393.60868425951617,0.1024904351111364
ECs,Tgm2,Itgb3,ECs,0.0,13.761724666666671,0.1136260741382781,0.0,3.4586881666666667,0.3349951123466749,211.4575984871824,0.1023905837144338
