Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Lcn2,Lrp2,sCs,0.0,0.828374000000001,0.5700371410749842,0.16666666666666669,0.0046368333333333,0.0,0.0227721638397223,0.5700371410749842
FAPs,Agt,Lrp2,sCs,0.6666666666666667,0.6326726666666668,0.3754769291112669,0.16666666666666669,0.0046368333333333,0.0,0.0103819620361667,0.3754769291112669
FAPs,Rspo3,Lgr6,sCs,0.0,-0.2893146666666668,-0.0271266401108599,0.0,0.2444211666666667,0.3378235779140596,0.5616730003892219,0.3160393379837106
FAPs,Wnt7a,Fzd10,sCs,0.33333333333333337,0.43305,0.0,-0.16666666666666663,0.0103301666666667,0.3064097532220854,0.0238378715058888,0.3064097532220854
FAPs,Myoc,Fzd10,sCs,0.0,-1.7543823333333322,-0.0555910520097172,-0.16666666666666663,0.0103301666666667,0.3064097532220854,0.2584862075315559,0.2681939755400974
FAPs,Agt,Agtr1a,sCs,0.6666666666666667,0.6326726666666668,0.3754769291112669,0.0,9.054974333333329,0.0323723223646849,14.126244550211666,0.2143723243879902
FAPs,Lgi2,Adam11,sCs,0.0,-0.1201076666666658,-0.0057909670857901,0.0,1.023198333333333,0.2261922876633568,7.224997540350328,0.2104075663184975
FAPs,Col2a1,Ddr1,sCs,0.0,0.1490986666666666,0.2196060695155609,0.0,0.5590888333333304,0.080738057706278,1.919723423044,0.1889272985879998
FAPs,Tg,Lrp2,sCs,0.0,-0.0433939999999999,0.1854004418626174,0.16666666666666669,0.0046368333333333,0.0,0.0007689658493334,0.1854004418626174
FAPs,Cp,Slc40a1,sCs,0.0,12.57354466666666,0.0353306953267865,0.0,-1.2061281666666712,0.4043158373945408,140.28275264260247,0.1781991647451867
FAPs,Enho,Gpr19,sCs,0.3333333333333333,0.3032293333333333,0.3890127761956158,0.0,2.667745,0.272416990516428,1.281668123615667,0.1778913308775085
FAPs,Sema5a,Plxnb3,sCs,0.0,1.1661556666666677,0.0614020930106372,0.0,2.356521833333333,0.3356516191194033,12.684719532644673,0.1535169947899345
FAPs,C3,Cd46,sCs,0.0,25.21101233333337,0.3834414498170109,0.0,1.2111705,0.1776305347647335,167.0516287241693,0.1495413304028258
FAPs,Cxcl13,Ackr4,sCs,0.0,4.383332333333333,0.1760120394873029,0.16666666666666669,0.0186001666666667,0.1296600382551688,0.3392341877042222,0.1442359504083989
FAPs,Rln1,Rxfp1,sCs,0.0,2.3307730000000006,0.1422656436641781,-0.5,-0.0127583333333333,0.1442047069802633,0.0697541208366667,0.1314286674986783
FAPs,Ccl11,Ackr4,sCs,0.0,24.84407033333333,0.0038639711128339,0.16666666666666669,0.0186001666666667,0.1296600382551688,2.9887225210304456,0.1171825305916906
FAPs,Ccl20,Ackr4,sCs,0.0,0.1072356666666667,-0.0718181277290189,0.16666666666666669,0.0186001666666667,0.1296600382551688,0.0237220480840556,0.1137694529396209
FAPs,Arf1,Chrm3,sCs,0.0,-22.29155066666671,-0.0398797267756486,0.0,0.8115916666666667,0.570184703231838,55.83349457821278,0.1126184075231561
FAPs,Rspo3,Sdc4,sCs,0.0,-0.2893146666666668,-0.0271266401108599,0.0,16.484938500000002,0.1088950574433428,34.82474894358299,0.0996177099829028
FAPs,Rbp4,Stra6,sCs,0.0,0.4890143333333316,-0.0073150001439405,0.0,0.5950308333333335,0.1058079595381964,3.156622195184666,0.0987667558187014
FAPs,Tnfsf11,Tnfrsf11b,sCs,0.0,-0.371565666666666,-0.0843318075511987,0.0,0.1102848333333331,0.1137084659966179,0.0402609235047222,0.0987270950337236
FAPs,Liph,Lpar1,sCs,0.0,0.1507083333333333,0.2263597815797743,0.0,4.537911166666671,0.0863848365669588,2.7387673507301664,0.0937534828196024
FAPs,Ccl21b,Ackr4,sCs,0.0,0.037977,0.1904659565078583,0.16666666666666669,0.0186001666666667,0.1296600382551688,0.0040387080384999,0.0932053292422176
FAPs,Has2,Cd44,sCs,0.0,2.9544766666666646,0.0079778827226442,0.0,32.83289149999999,0.0961158477716269,1845.3638348865925,0.090894085181413
FAPs,Agt,Mas1,sCs,0.6666666666666667,0.6326726666666668,0.3754769291112669,0.0,-0.0515051666666667,-0.1287372923728287,0.4837139853081668,0.0907015389457155
FAPs,Myoc,Fzd7,sCs,0.0,-1.7543823333333322,-0.0555910520097172,0.0,2.067669333333334,0.1069800512339569,58.5916946571584,0.0887207354386391
FAPs,Col2a1,Mag,sCs,0.0,0.1490986666666666,0.2196060695155609,0.0,0.0021903333333334,0.0238204428849422,0.0777714301573334,0.0873973144516277
FAPs,Dcn,Met,sCs,0.0,55.93068433333315,-0.0224515296124363,0.0,8.567494000000003,0.1025930592986111,10333.46353440632,0.084147766230297
