Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Spp1,Itgb3,ECs,0.0,2387.634959333334,0.318089190537719,0.0,3.4586881666666667,0.3349951123466749,16597.653834795026,0.2844890152702415
M1,Dkk4,Kremen2,ECs,0.0,0.002048,0.1233316412753756,-0.16666666666666663,-0.0047663333333332,0.233810325323039,0.000270521055,0.243747264713097
M1,Thbs1,Itgb3,ECs,0.0,122.48557766666664,0.2381645420605073,0.0,3.4586881666666667,0.3349951123466749,2070.623513586984,0.2269513510445893
M1,Ptgs2,Cav1,ECs,0.0,4.146623333333338,0.3789009376534716,0.0,334.5389408333333,-0.1167071605128762,19639.151605289742,0.1835925920210586
M1,Selplg,Sele,ECs,0.0,-5.512716999999995,0.2268782742893766,0.0,6.367848333333333,-0.0447251109546715,432.32300606084175,0.1603022712415581
M1,Pf4,Fgfr2,ECs,0.0,158.2439083333333,0.1651731173439352,0.0,0.4873758333333334,0.2066136523669751,187.50370809461495,0.1591197608637885
M1,Selplg,Selp,ECs,0.0,-5.512716999999995,0.2268782742893766,0.0,11.9349075,0.0071648467861471,783.7152338996871,0.1579831900297403
M1,Wnt8a,Fzd4,ECs,0.3333333333333333,-0.0817416666666666,0.3659218179572043,0.0,6.38159816666667,-0.0648239827895484,0.350612221494881,0.1418820685246921
M1,Cd44,Sele,ECs,0.0,12.40259666666671,0.200788148723306,0.0,6.367848333333333,-0.0447251109546715,1635.44281615637,0.1417478262448603
M1,Angptl3,Itgb3,ECs,0.0,0.4821273333333337,0.1694744300213942,0.0,3.4586881666666667,0.3349951123466749,5.355670962452388,0.1366571313783258
M1,Fn1,Itgb3,ECs,0.0,129.6735386666668,0.1921980232780628,0.0,3.4586881666666667,0.3349951123466749,1114.6424017011473,0.1354400350423843
M1,Epo,Epor,ECs,0.0,0.170449,0.2130145954387284,0.0,0.4029974999999999,0.121984312793114,0.2553233169134999,0.13190322085795
M1,Fn1,Itga2,ECs,0.0,129.6735386666668,0.1921980232780628,0.0,4.290870833333333,0.0418192291279795,1386.7050295227064,0.1191260957994127
M1,Il1f5,Il1rl2,ECs,0.3333333333333333,0.044007,0.9944435152677688,0.0,0.888778666666667,0.0504942434007424,0.1305857026697779,0.1125430657361453
M1,Spp1,Itga9,ECs,0.0,2387.634959333334,0.318089190537719,0.0,4.009488666666668,0.1117159715444504,19642.066630215613,0.1118106184619947
M1,Hgf,St14,ECs,0.0,2.4220996666666608,0.1036526398432532,0.0,1.2037981666666666,0.2287937983469813,28.211335755217668,0.1113296840987036
M1,Spp1,Itgb1,ECs,0.0,2387.634959333334,0.318089190537719,0.0,69.7774195,0.0638801901296272,460412.847818466,0.1002415643029825
M1,Alcam,Nrp1,ECs,0.0,3.5908793333333406,0.4102514945874392,0.0,10.243215000000006,-0.0699461034410963,756.9474893668798,0.0985197938372514
M1,S100a9,Tlr4,ECs,0.0,0.261358666666645,0.8876574221148142,0.0,3.177986333333332,0.0622079041022579,171.6704613162837,0.0927804980949211
M1,S100a8,Tlr4,ECs,0.0,8.674290333333332,0.8876981992970758,0.0,3.177986333333332,0.0622079041022579,187.26898811971068,0.0926838211939253
M1,Epo,Ephb4,ECs,0.0,0.170449,0.2130145954387284,0.0,20.42708883333333,-0.1488669761935082,10.483467978187946,0.0926394614596793
M1,Fn1,Tshr,ECs,0.0,129.6735386666668,0.1921980232780628,0.33333333333333337,0.5583685,0.2523192249355369,157.92156664423965,0.0923403357644534
M1,Tnf,Tnfrsf1a,ECs,0.0,-9.584115000000004,0.4208281380585655,0.0,23.205704166666656,0.118207219961349,1129.244356120346,0.0919190297621318
M1,Fn1,Col13a1,ECs,0.0,129.6735386666668,0.1921980232780628,0.0,0.0330441666666666,0.048889563225659,59.19599428539549,0.091890877199657
M1,F13a1,Itga9,ECs,0.0,70.58273133333329,0.1704760723726697,0.0,4.009488666666668,0.1117159715444504,893.4730761895163,0.0886261583663594
M1,Il27,Il27ra,ECs,0.0,-0.0402623333333332,0.1726156127233442,0.0,0.848330333333333,0.051136849285589,0.6173305130173338,0.088320987184031
