Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Ntf5,Ntrk1,FAPs,0.0,0.1622276666666667,0.2527864442236318,0.3333333333333333,0.0977266666666667,0.3079748349685884,0.0445199337908889,0.2412712433242657
M2,Agrp,Mc5r,FAPs,0.6666666666666667,0.5245063333333326,0.6817749848078356,0.0,-0.1510266666666662,-0.2080570261898768,0.4860672676330001,0.2242331459210859
M2,Ccl12,Ackr2,FAPs,0.0,14.951293999999995,0.2139708785242495,0.0,0.0166273333333334,0.0,4.7589763840817785,0.2139708785242495
M2,F10,F3,FAPs,0.0,-0.5046583333333405,0.2021321534573737,0.0,3.860112000000008,0.2302188982871956,19.962958697907595,0.2071766802448079
M2,Tnfsf13b,Tnfrsf13c,FAPs,0.0,-0.1586646666666671,0.1236814921516829,0.33333333333333337,0.2720730000000001,0.2675364342289488,0.3423707342432218,0.1528623923772757
M2,Il15,Il2rb,FAPs,0.0,-2.6219586666666714,0.1552578297528101,0.6666666666666667,0.2791559999999999,0.2985777068404636,4.422879237230666,0.1322611824005293
M2,Npy,Fap,FAPs,0.0,1.7648496666666658,0.2189551176958883,0.0,1.2386680000000003,0.0179345918078448,48.67395016245643,0.1310649727786994
M2,Liph,Lpar1,FAPs,0.3333333333333333,0.0939173333333334,0.2007116819815972,0.0,-6.047901666666675,-0.109435548146911,3.17317342652611,0.1249573580701054
M2,Tnfsf18,Tnfrsf18,FAPs,0.6666666666666667,0.540443,0.454358240436062,0.0,0.1960066666666667,0.0968060141930446,0.3726997197776666,0.1157076970550576
M2,Ntf5,Ntrk2,FAPs,0.0,0.1622276666666667,0.2527864442236318,0.0,0.196221666666668,-0.0552452734048986,0.8989790871602221,0.1047381293611046
M2,F7,F3,FAPs,0.0,0.6381669999999988,0.0684693228128825,0.0,3.860112000000008,0.2302188982871956,38.3347966041656,0.1029255199480119
M2,Mst1,Mst1r,FAPs,0.0,0.4221583333333333,0.1323618943603056,0.0,-0.1707396666666673,0.1053825974954729,0.3008978907701111,0.092756446597285
