Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Spn,Siglec1,M2,0.0,-0.1388469999999992,0.3674389434457434,0.0,20.77290833333332,0.170885799868972,71.93013560707533,0.3041631458546189
M2,Siglec1,Spn,M2,0.0,20.77290833333332,0.170885799868972,0.0,-0.1388469999999992,0.3674389434457434,71.93013560707533,0.3041631458546189
M2,Cxcl17,Gpr35,M2,0.3333333333333333,0.4830286666666667,0.5838411413329498,0.0,-11.702338666666655,0.1969738759214756,17.725259225912666,0.2963102183805098
M2,Agrp,Sdc3,M2,0.6666666666666667,0.5245063333333326,0.6817749848078356,0.0,6.585935999999975,0.0471581665512879,52.79796621587661,0.290184774852937
M2,Npy,Prlhr,M2,0.0,1.7648496666666658,0.2189551176958883,0.0,0.073071,0.4989411134478515,0.2236460069597778,0.2665551035645185
M2,Selplg,Sell,M2,0.0,-9.986999333333388,0.2694062450357776,0.0,2.95484933333333,0.465667011102035,122.89128057379004,0.2547377769840587
M2,Apoe,Sorl1,M2,0.0,165.19189466666603,0.0144314100279251,0.0,-1.2150626666666682,0.4249141789223737,24.56826093759446,0.2469327400257593
M2,Cxcl10,Cxcr3,M2,0.0,6.879275333333325,0.1339222063867564,0.0,0.056195666666666,0.4937543010986634,20.748054618693885,0.2369081464727777
M2,Cxcl2,Cxcr1,M2,0.0,-1.1728083333333927,0.2495779167555097,0.3333333333333333,0.0713343333333333,0.7979992729585704,8.185405450304,0.231669292907215
M2,Pf4,Cxcr3,M2,0.0,107.4026923333333,0.1249676214652908,0.0,0.056195666666666,0.4937543010986634,264.77866182245816,0.2284160896533408
M2,Icam1,Spn,M2,0.0,3.4678753333333248,0.2210181733897578,0.0,-0.1388469999999992,0.3674389434457434,6.924057491690007,0.2139713790595059
M2,Guca2a,Gucy2c,M2,0.0,0.234823,0.043052232942527,0.33333333333333337,0.0942336666666667,0.7457556987725681,0.1394349852487778,0.2062777397625615
M2,Ifnk,Ifnar2,M2,0.6666666666666667,0.7226116666666663,0.6306187787450965,0.0,-13.61791233333335,-0.0150415297369329,54.98644262829232,0.2059387397056563
M2,Ifnk,Ifnar1,M2,0.6666666666666667,0.7226116666666663,0.6306187787450965,0.0,-1.7478273333333263,0.0047509354324665,29.58102845182677,0.176555030506698
M2,Icam1,Itgal,M2,0.0,3.4678753333333248,0.2210181733897578,0.0,1.5428776666666622,0.3626085484907728,167.25106682548108,0.1711454513035301
M2,Slamf6,Slamf6,M2,0.0,0.8393950000000001,0.1417357365670685,0.0,0.8393950000000001,0.1417357365670685,5.879318159035,0.168403625518525
M2,Ccl12,Ccr1,M2,0.0,14.951293999999995,0.2139708785242495,0.0,-2.6071433333333403,0.2402995846980385,295.47302722238885,0.1658673646093441
M2,Gnai2,Cxcr1,M2,0.0,-1.838877000000025,-0.0108153242020853,0.3333333333333333,0.0713343333333333,0.7979992729585704,10.005050896422889,0.152909269690694
M2,Ccl12,Ccr5,M2,0.0,14.951293999999995,0.2139708785242495,0.0,-4.096392666666674,0.0769016899509238,745.2888227136309,0.1490143700938556
M2,Hp,Cd163,M2,0.0,-2.220290000000002,0.2602086980937884,0.0,2.374235,0.1901153189639598,10.624373646385004,0.141660674709415
M2,Ptprc,Mrc1,M2,0.0,-55.41196733333339,0.2752911473705214,0.0,39.018133000000006,0.0335897696253851,6410.126098308996,0.1411417758777645
M2,Mrc1,Ptprc,M2,0.0,39.018133000000006,0.0335897696253851,0.0,-55.41196733333339,0.2752911473705214,6410.126098308996,0.1411417758777645
M2,Cd5l,Cd5,M2,0.0,3.8648940000000014,0.2283839259559599,0.0,0.5112506666666667,0.1620765011631291,10.249809612653111,0.1328655591937847
M2,Grn,Tnfrsf1b,M2,0.0,165.3700356666667,0.1249677432064041,0.0,-1.7753119999999996,0.2082522397669731,15347.395702516274,0.1326295617930485
M2,Icam1,Itgb2,M2,0.0,3.4678753333333248,0.2210181733897578,0.0,0.9376063333333065,0.2119963410141485,396.996844116602,0.1254574368598087
M2,Ccl12,Ccr2,M2,0.0,14.951293999999995,0.2139708785242495,0.0,-46.969064,0.0104970749845683,981.8538521295632,0.1253486571893073
