Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Proc,Tek,Neutro,0.16666666666666669,0.1127508333333334,0.7885613550004704,0.33333333333333337,44.057709333333335,0.3664184853840203,6.513124256065446,0.3696802451937216
sCs,Dlk1,Notch4,Neutro,0.0,-2.0359830000000003,0.0756935105386525,0.0,33.81753533333333,0.3386591920549522,109.26417620999769,0.3126063062112922
sCs,Reln,Itga3,Neutro,0.0,3.645594,-0.0042857101014782,0.33333333333333337,9.099215,0.3069002787147643,70.46215324055001,0.2932188974267318
sCs,Sema3a,Plxna2,Neutro,0.0,-0.7647731666666662,0.0145932521226651,0.0,27.37769266666666,0.3216950576931188,251.87798198144816,0.2527827849720704
sCs,Shh,Ptch1,Neutro,0.16666666666666669,0.0299711666666666,0.0,0.0,5.151170666666666,0.2470308755110102,0.2881099056369445,0.2470308755110102
sCs,Nppc,Npr2,Neutro,0.0,-1.285253333333333,-0.223433695150483,0.6666666666666667,12.701537999999996,0.306006861508962,9.842003745430889,0.2371170208470061
sCs,Proc,Thbd,Neutro,0.16666666666666669,0.1127508333333334,0.7885613550004704,0.0,21.54449433333333,0.1478157903397219,4.0515271737201655,0.2246889585007898
sCs,Sema3a,Plxna4,Neutro,0.0,-0.7647731666666662,0.0145932521226651,0.6666666666666667,2.5800723333333337,0.2751937086135573,23.749345315281555,0.2162276937011835
sCs,Sema3e,Plxnd1,Neutro,0.0,1.6183291666666662,0.0325705095780891,0.0,87.64811966666666,0.2182742552405576,303.10954943658606,0.211807959006932
sCs,Proc,Procr,Neutro,0.16666666666666669,0.1127508333333334,0.7885613550004704,0.0,6.153713,0.175967523188246,0.9948029494796669,0.2051614680348067
sCs,Wnt7b,Fzd8,Neutro,0.16666666666666669,0.1417513333333333,0.118859150563191,0.6666666666666667,2.0266873333333333,0.2029581348855302,0.6081492708442223,0.2033409557349488
sCs,Dag1,Lama4,Neutro,0.0,-7.586252166666696,-0.066354774940384,0.0,69.97698266666666,0.2832019946730079,13226.43848069408,0.203072594539695
sCs,Wnt10a,Fzd8,Neutro,-0.16666666666666663,0.0722134999999999,0.0,0.6666666666666667,2.0266873333333333,0.2029581348855302,0.2479340277708334,0.2029581348855302
