Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Fgf15,Fgfr3,ECs,0.3333333333333333,0.0500843333333333,0.7986148759979164,1.0,5.495057333333333,0.8161989011161211,0.2752162831684444,0.6518285842044866
M2,Nppa,Npr1,ECs,0.3333333333333333,0.2474883333333333,0.6454362463657183,1.0,39.516243,0.941530563410464,9.779809119665002,0.6076979526862497
M2,Nppa,Npr2,ECs,0.3333333333333333,0.2474883333333333,0.6454362463657183,1.0,17.52582633333333,0.5849657972467295,4.33743754952611,0.3775581284272589
M2,Wnt8a,Fzd4,ECs,0.6666666666666666,0.604545,0.6179207178317588,1.0,29.22839533333334,0.4452121315669252,17.66988025679,0.2751057999252419
M2,Dll3,Notch4,ECs,0.6666666666666666,0.3726179999999999,0.2834080080824931,1.0,47.08665833333333,0.8568847006715773,17.54533645485,0.2428479861736951
M2,Tdgf1,Acvr2a,ECs,0.3333333333333333,0.0065309999999999,1.0,1.0,13.10301133333333,0.2036753411238414,0.085575767018,0.2036753411238414
M2,Fgf15,Klb,ECs,0.3333333333333333,0.0500843333333333,0.7986148759979164,0.6666666666666666,0.4516806666666667,0.2125699625676683,0.0226221250695555,0.1697615342968601
M2,Nppa,Npr3,ECs,0.3333333333333333,0.2474883333333333,0.6454362463657183,0.6666666666666666,0.4181826666666666,0.2449873014729237,0.1034953312022222,0.1581236842699505
M2,Wnt8a,Fzd8,ECs,0.6666666666666666,0.604545,0.6179207178317588,1.0,3.062569,0.2460077391286943,1.851460776105,0.1520132787545709
M2,Dll3,Notch1,ECs,0.6666666666666666,0.3726179999999999,0.2834080080824931,1.0,56.01527666666667,0.4883616647765734,20.87230036098,0.1384056066381789
M2,Tdgf1,Acvr1b,ECs,0.3333333333333333,0.0065309999999999,1.0,1.0,3.187172,0.1363537060697748,0.020815420332,0.1363537060697748
M2,Fgf17,Fgfr3,ECs,0.3333333333333333,0.1038296666666667,0.1375196408381092,1.0,5.495057333333333,0.8161989011161211,0.5705499712342221,0.1122433797339484
M2,Pdgfb,Art1,ECs,1.0,5.408032666666666,0.0918705891879434,0.3333333333333333,0.0217946666666666,1.0,0.1178662692924444,0.0918705891879434
M2,Fgf15,Fgfr2,ECs,0.3333333333333333,0.0500843333333333,0.7986148759979164,0.6666666666666666,0.493831,0.1121895146192186,0.0247331964143333,0.0895962153058936
M2,Il2,Il2rg,ECs,0.3333333333333333,0.0834976666666666,0.5118463559812093,1.0,30.93277266666666,0.1605730793731885,2.582814341197111,0.082188745545848
M2,Nmb,Grpr,ECs,1.0,0.9016663333333332,0.0719242200819197,0.3333333333333333,0.0342993333333333,1.0,0.0309265541224444,0.0719242200819197
M2,Wnt8a,Fzd5,ECs,0.6666666666666666,0.604545,0.6179207178317588,0.6666666666666666,2.676920666666666,0.1137411923116975,1.61831900443,0.0702830392002842
M2,Cd40lg,Cd40,ECs,0.3333333333333333,0.2309726666666667,0.5798874901876112,1.0,3.507373,0.1144553684342397,0.8101072948046667,0.0663712363398296
M2,Tnfsf13b,Tnfrsf13c,ECs,1.0,0.7333866666666667,0.1319569900676299,0.3333333333333333,0.1638863333333333,0.4776595160731695,0.1201920517155556,0.0630305120181761
M2,Fgf15,Fgfr1,ECs,0.3333333333333333,0.0500843333333333,0.7986148759979164,1.0,6.743825,0.0617529845333817,0.3377599792416667,0.0493168520856279
M2,Agrp,Mc4r,ECs,0.6666666666666666,0.6419946666666666,0.2514823512698365,0.3333333333333333,0.0124463333333333,0.1946457940734137,0.0079904796195555,0.0489499819583664
M2,Ghrl,Ghsr,ECs,1.0,15.419975,0.4300393296053406,0.3333333333333333,0.3501783333333333,0.1096531422902788,5.399741145541666,0.0471551637996305
M2,Efnb3,Rhbdl2,ECs,0.3333333333333333,0.0696676666666666,0.0459945130873968,0.6666666666666666,1.752090333333333,1.0,0.1220640453125556,0.0459945130873968
M2,Agrp,Mc5r,ECs,0.6666666666666666,0.6419946666666666,0.2514823512698365,0.3333333333333333,0.4635846666666667,0.1767302775232392,0.2976188835484445,0.0444445457321149
M2,Col4a3,Cd93,ECs,1.0,0.129665,0.0727020008539324,1.0,196.8487906666667,0.5898085209504824,25.52439844179333,0.0428802595937985
M2,Efnb3,Ephb1,ECs,0.3333333333333333,0.0696676666666666,0.0459945130873968,1.0,1.875567333333333,0.914718431601546,0.1306663997895556,0.0420720288735803
M2,Gdf9,Bmpr2,ECs,0.6666666666666666,0.620104,0.1303086072892496,1.0,40.91730166666667,0.2897771170516138,25.37298243270667,0.0377604525472896
M2,Gnai2,Adcy1,ECs,1.0,154.3429766666667,0.2747320633285943,0.3333333333333333,0.0406953333333333,0.1372091977792263,6.281038883108889,0.037695766013548
M2,Agrp,Sdc3,ECs,0.6666666666666666,0.6419946666666666,0.2514823512698365,1.0,27.68083366666667,0.1459618213622149,17.77094758288711,0.0367068220317976
M2,Efnb3,Ephb4,ECs,0.3333333333333333,0.0696676666666666,0.0459945130873968,1.0,34.52018166666667,0.7811694070883366,2.404940509626111,0.0359295065177985
M2,Cxadr,Cxadr,ECs,0.3333333333333333,0.4994136666666666,0.0607410443820946,1.0,4.327670666666666,0.5263517071721222,2.161297875765777,0.0319711524059331
M2,Ccl5,Gpr75,ECs,1.0,8.176158000000001,0.1755799162175431,0.6666666666666666,0.1679753333333333,0.1710492886071064,1.373392865436,0.030032819762706
M2,Leap2,Ghsr,ECs,1.0,1.967178333333333,0.2628149003385667,0.3333333333333333,0.3501783333333333,0.1096531422902788,0.6888632301361111,0.0288184796628302
M2,Il2,Il2ra,ECs,0.3333333333333333,0.0834976666666666,0.5118463559812093,1.0,0.2667246666666667,0.0541745827576984,0.0222708873091111,0.0277290627713303
M2,Gdf9,Acvr2a,ECs,0.6666666666666666,0.620104,0.1303086072892496,1.0,13.10301133333333,0.2036753411238414,8.125229739845334,0.0265406500410106
M2,Wnt3,Fzd8,ECs,0.3333333333333333,0.026594,0.0928153116994618,1.0,3.062569,0.2460077391286943,0.081445959986,0.0228332849877096
M2,Angpt4,Tek,ECs,0.3333333333333333,0.0459163333333333,0.0242255228771934,1.0,58.63918933333334,0.915320670669077,2.692496563825778,0.0221741218472617
M2,Efnb3,Epha4,ECs,0.3333333333333333,0.0696676666666666,0.0459945130873968,1.0,7.727270999999999,0.4492515923977304,0.538340940271,0.0206631082460712
M2,Tnfrsf14,Btla,ECs,1.0,20.37655766666667,0.3894909627896643,0.6666666666666666,0.242421,0.0525968645524587,4.939705486111,0.0204860034142547
M2,Fgf15,Fgfr4,ECs,0.3333333333333333,0.0500843333333333,0.7986148759979164,0.6666666666666666,0.3341516666666666,0.0235448370366366,0.0167357634572222,0.0188032571104047
M2,Dll3,Notch3,ECs,0.6666666666666666,0.3726179999999999,0.2834080080824931,1.0,8.819868333333334,0.0600945273318169,3.28644169863,0.0170312702877691
M2,Ifnb1,Ifnar1,ECs,0.3333333333333333,0.0277146666666666,0.1020265668619812,1.0,21.20338333333333,0.1585031951394179,0.5876447012888889,0.0161715368367294
M2,Fgf17,Fgfr2,ECs,0.3333333333333333,0.1038296666666667,0.1375196408381092,0.6666666666666666,0.493831,0.1121895146192186,0.0512743081196666,0.0154282617562367
M2,Wnt3,Ryk,ECs,0.3333333333333333,0.026594,0.0928153116994618,1.0,9.182053333333334,0.1632474062119586,0.2441875263466667,0.0151518588916916
M2,Artn,Ret,ECs,0.3333333333333333,0.113219,0.0470675504162548,1.0,1.986848333333333,0.3070436244112906,0.2249489814516667,0.014451791271968
M2,Ifnb1,Ifnar2,ECs,0.3333333333333333,0.0277146666666666,0.1020265668619812,1.0,26.65724566666666,0.1289633445676506,0.738796677903111,0.0131576872972761
M2,Ifna11,Ifnar1,ECs,0.3333333333333333,0.0138096666666666,0.0820805331896278,1.0,21.20338333333333,0.1585031951394179,0.2928116560388889,0.013010026769303
M2,Pla2g10,Pla2r1,ECs,0.3333333333333333,0.17626,0.331023965714436,1.0,0.7804026666666667,0.0379995977691721,0.1375537740266667,0.0125787775491048
M2,Il7,Il2rg,ECs,0.6666666666666666,0.1257833333333333,0.0774239958373445,1.0,30.93277266666666,0.1605730793731885,3.890827255255555,0.0124322094289793
M2,Wnt3,Lrp6,ECs,0.3333333333333333,0.026594,0.0928153116994618,1.0,13.18802033333333,0.1333092666742473,0.3507222127446667,0.0123731411387969
M2,Gnai2,Lpar3,ECs,1.0,154.3429766666667,0.2747320633285943,0.3333333333333333,0.020639,0.0441797873387951,3.185484695423333,0.0121376041330057
M2,Hp,Cd163,ECs,0.6666666666666666,22.35954133333334,0.3819188364318155,0.3333333333333333,0.3670103333333334,0.0308274508620838,8.206182717927113,0.011773584163406
