Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Efna3,Epha3,FAPs,0.5,0.067331,1.0,1.0,29.65321533333333,0.990584245483253,1.996580641608667,0.990584245483253
sCs,Ihh,Boc,FAPs,0.5,0.092046,1.0,1.0,21.82634733333333,0.7385693928271264,2.009027966644,0.7385693928271264
sCs,Gdf6,Bmpr1b,FAPs,0.5,0.574155,0.8375165440229033,1.0,1.467406,0.8178057326420413,0.8425184919299998,0.6849258308844809
sCs,Wnt9b,Fzd8,FAPs,0.5,0.0108505,1.0,1.0,6.147102,0.4937797859292232,0.066699130251,0.4937797859292232
sCs,Wnt9b,Fzd5,FAPs,0.5,0.0108505,1.0,1.0,10.75807,0.4571057050773153,0.116730438535,0.4571057050773153
sCs,Bmp7,Bmpr1b,FAPs,0.5,0.0671575,0.5516175002977498,1.0,1.467406,0.8178057326420413,0.0985473184449999,0.4511159539691727
sCs,Slitrk3,Ptprs,FAPs,1.0,0.7952245,1.0,1.0,32.65736066666667,0.4480263330901556,25.96993330746967,0.4480263330901556
sCs,Ihh,Ptch2,FAPs,0.5,0.092046,1.0,1.0,4.406047,0.440809463342547,0.405559002162,0.440809463342547
sCs,Gdf6,Bmpr1a,FAPs,0.5,0.574155,0.8375165440229033,1.0,32.24261766666667,0.5252303626496961,18.512260146405,0.4398891181422697
sCs,Lrrc4b,Ptprs,FAPs,0.5,0.26409,0.9537802935727244,1.0,32.65736066666667,0.4480263330901556,8.62448237846,0.4273186875030399
sCs,Efna3,Epha4,FAPs,0.5,0.067331,1.0,1.0,6.292848333333333,0.3658564756519351,0.4237037711316666,0.3658564756519351
sCs,Ihh,Cdon,FAPs,0.5,0.092046,1.0,1.0,11.92168433333333,0.3602683841868553,1.097343356146,0.3602683841868553
sCs,Dkk1,Kremen1,FAPs,0.5,0.242207,1.0,1.0,9.429007333333333,0.3491261048508298,2.283771579184667,0.3491261048508298
sCs,Cort,Sstr3,FAPs,0.5,0.1497725,0.3482750669025616,1.0,0.978383,0.9767027457097972,0.1465348678675,0.3401612141059953
sCs,Lrrc4b,Ptprf,FAPs,0.5,0.26409,0.9537802935727244,1.0,3.393572666666666,0.3418425244908446,0.8962086055399998,0.326042663364519
