Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Prok2,Prokr2,FAPs,0.6666666666666666,0.2279103333333333,1.0,1.0,6.145415666666666,1.0,1.400603733061889,1.0
M1,Npy,Npy2r,FAPs,1.0,7.926322666666667,0.7593601911550306,0.3333333333333333,0.0203826666666666,1.0,0.1615595928071111,0.7593601911550306
M1,Gpha2,Tshr,FAPs,0.3333333333333333,0.0188626666666666,1.0,1.0,2.233983666666667,0.6979826986091381,0.0421388892431111,0.6979826986091381
M1,Ccl12,Ackr2,FAPs,1.0,55.96940366666666,0.6449093533393406,0.3333333333333333,0.062395,1.0,3.492210941781666,0.6449093533393406
M1,Ccl2,Ackr2,FAPs,1.0,381.646276,0.5069360811971936,0.3333333333333333,0.062395,1.0,23.81281939102,0.5069360811971936
M1,Nrg4,Erbb4,FAPs,1.0,3.986295666666667,0.5063931307730379,0.3333333333333333,0.010299,0.9810128591839976,0.041054859071,0.4967781730907939
M1,Ccl3,Ackr2,FAPs,1.0,144.3442863333333,0.4556976424652904,0.3333333333333333,0.062395,1.0,9.006361745768334,0.4556976424652904
M1,Ccl4,Ackr2,FAPs,1.0,55.419388,0.4379594494225732,0.3333333333333333,0.062395,1.0,3.45789271426,0.4379594494225732
M1,Gdf15,Gfral,FAPs,1.0,15.63002466666667,0.4125682139859577,1.0,0.6050859999999999,1.0,9.457509105454664,0.4125682139859577
M1,Prok2,Prokr1,FAPs,0.6666666666666666,0.2279103333333333,1.0,1.0,4.158501,0.3582254522374506,0.947765349077,0.3582254522374506
M1,Gnai2,Oprd1,FAPs,1.0,162.5116576666667,0.2574222219914007,0.3333333333333333,0.0216596666666666,1.0,3.519948334507444,0.2574222219914007
M1,Wnt6,Fzd7,FAPs,0.3333333333333333,0.071697,0.6442936736161036,1.0,7.890688,0.3324586794948855,0.565738657536,0.2142010239373185
M1,Ccl25,Ackr2,FAPs,1.0,5.304521333333333,0.1975550177369889,0.3333333333333333,0.062395,1.0,0.3309756085933333,0.1975550177369889
M1,Gm13306,Ackr2,FAPs,0.3333333333333333,0.04713,0.1741174674091606,0.3333333333333333,0.062395,1.0,0.00294067635,0.1741174674091606
M1,Rtn4,Tnfrsf19,FAPs,1.0,102.0393243333333,0.2895524919389952,0.6666666666666666,0.2083573333333334,0.479707634607725,21.26064151322845,0.1389005410028277
M1,Nrg2,Erbb4,FAPs,0.3333333333333333,0.0594063333333333,0.1379688078195666,0.3333333333333333,0.010299,0.9810128591839976,0.000611825827,0.1353491746372805
M1,Egf,Erbb4,FAPs,1.0,0.181472,0.1367475682430438,0.3333333333333333,0.010299,0.9810128591839976,0.001868980128,0.1341511229085672
M1,Nppa,Npr3,FAPs,0.3333333333333333,0.0840659999999999,0.1705125830089151,0.6666666666666666,0.3809676666666666,0.7089111428828399,0.032026427866,0.1208782700967551
M1,Ccl12,Ccr10,FAPs,1.0,55.96940366666666,0.6449093533393406,0.3333333333333333,0.155562,0.1583222964647644,8.706712373194,0.1021035298322906
M1,Psap,Gpr37l1,FAPs,1.0,2533.363444,0.4931260844008123,0.3333333333333333,0.1717676666666667,0.1966646960874525,435.1499275945106,0.0969804915214812
M1,Ccl5,Ackr2,FAPs,0.6666666666666666,1.031759666666667,0.0911646797601315,0.3333333333333333,0.062395,1.0,0.0643766444016666,0.0911646797601315
M1,Ereg,Erbb4,FAPs,0.3333333333333333,0.02001,0.0794525805875229,0.3333333333333333,0.010299,0.9810128591839976,0.00020608299,0.0779440032517128
M1,Ereg,Egfr,FAPs,0.3333333333333333,0.02001,0.0794525805875229,1.0,62.503947,0.804011796385049,1.25070397947,0.0638808120456021
M1,Guca2a,Gucy2c,FAPs,0.6666666666666666,0.270727,0.1309167384237849,0.6666666666666666,0.1264736666666667,0.4712198005685622,0.0342398363556666,0.0616905593711425
M1,Hbegf,Erbb4,FAPs,1.0,1.820871333333334,0.0591706923651924,0.3333333333333333,0.010299,0.9810128591839976,0.018753153862,0.0580472100970741
M1,Qrfp,Qrfpr,FAPs,0.3333333333333333,0.2917816666666667,0.0998785613069144,0.3333333333333333,0.02989,0.5172473465620674,0.0087213540166666,0.0516619208144382
M1,Nppa,Npr2,FAPs,0.3333333333333333,0.0840659999999999,0.1705125830089151,1.0,8.435839666666666,0.2848460752393541,0.7091672974179999,0.048569840049014
M1,Ntn1,Dcc,FAPs,0.6666666666666666,0.3858173333333334,0.0434899496100602,0.3333333333333333,0.013316,1.0,0.0051375436106666,0.0434899496100602
M1,Icosl,Icos,FAPs,1.0,3.685238666666667,0.2739035549313618,0.3333333333333333,0.0201973333333333,0.1584920861201717,0.0744319937635555,0.0434115458168025
M1,Camp,Fpr2,FAPs,0.6666666666666666,0.356229,0.6807769117820366,0.6666666666666666,1.109174333333333,0.0606183208158049,0.3951200635889999,0.0412675532423964
M1,Hcrt,Hcrtr1,FAPs,0.3333333333333333,0.228985,0.2597243263455225,0.3333333333333333,0.0637096666666666,0.136778639720616,0.0145885580216666,0.0355247400598939
M1,Ccl25,Ccr10,FAPs,1.0,5.304521333333333,0.1975550177369889,0.3333333333333333,0.155562,0.1583222964647644,0.825181947656,0.0312773640862573
M1,Lpl,Lrp2,FAPs,1.0,203.1252746666667,0.4592613794630246,0.3333333333333333,0.0019636666666666,0.0623643620118355,0.3988703310204445,0.028641542926887
M1,Apoe,Lrp2,FAPs,1.0,2007.446289,0.4567440273772037,0.3333333333333333,0.0019636666666666,0.0623643620118355,3.941955362833001,0.0284845498700956
M1,Gm13306,Ccr10,FAPs,0.3333333333333333,0.04713,0.1741174674091606,0.3333333333333333,0.155562,0.1583222964647644,0.00733163706,0.027566677294847
M1,Nodal,Acvr2a,FAPs,0.6666666666666666,0.1211913333333333,0.0561499217458747,1.0,30.94593233333333,0.4898973270305839,3.750378800719778,0.0275076965762804
M1,Efna4,Epha3,FAPs,0.3333333333333333,0.069071,0.0283168351198559,1.0,59.24481466666666,0.971047664518299,4.092098593841333,0.0274969966096858
M1,Col9a3,Mag,FAPs,1.0,0.7149866666666668,0.1982214811958237,0.3333333333333333,0.061306,0.1297580344745843,0.0438329725866666,0.0257208297906108
M1,Ccl11,Ackr2,FAPs,1.0,1.611504,0.025449372850469,0.3333333333333333,0.062395,1.0,0.10054979208,0.025449372850469
M1,Scgb1a1,Lrp2,FAPs,1.0,0.5822016666666666,0.4037404482925452,0.3333333333333333,0.0019636666666666,0.0623643620118355,0.0011432500061111,0.025179015476137
M1,Fcer2a,Cr2,FAPs,0.3333333333333333,0.0392816666666666,0.0995286440980008,0.3333333333333333,0.2924103333333333,0.2445550646227581,0.0114863652438888,0.024340233989202
M1,Plau,Lrp2,FAPs,1.0,92.62095133333332,0.3780784131119371,0.3333333333333333,0.0019636666666666,0.0623643620118355,0.1818766747682222,0.0235786190241731
M1,Efna4,Epha7,FAPs,0.3333333333333333,0.069071,0.0283168351198559,1.0,1.151356333333333,0.8074627800757513,0.0795253332996666,0.0228647904088255
M1,Npy,Npy1r,FAPs,1.0,7.926322666666667,0.7593601911550306,0.3333333333333333,0.0668456666666666,0.0280525982194852,0.5298403228684444,0.0213020263463436
