Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Pomc,Mc4r,sCs,-0.33333333333333337,-0.6200479999999999,0.0,0.5,0.2324211666666666,0.5510810683487268,0.200480909661,0.5510810683487268
ECs,Rln1,Rxfp2,sCs,0.0,0.8933663333333335,0.3366911196701668,-0.16666666666666669,0.0082828333333333,-0.0426154757170865,0.0238687315305001,0.3072868773374814
ECs,Agrn,Musk,sCs,0.0,15.35382266666666,0.2698789246647028,0.0,2.265853833333333,0.0896714135476686,172.36272762184862,0.2116972808721744
ECs,Gnai2,Lpar3,sCs,0.0,43.70931733333328,0.0395002275168345,0.0,0.943969,0.4084288158643946,196.56436823854636,0.1498062094350274
ECs,Col18a1,Gpc1,sCs,0.0,26.08674266666666,0.3205006676174027,0.0,5.3040591666666685,-0.09536664617116,778.537812960554,0.14974535121892
ECs,Ccl5,Gpr75,sCs,0.3333333333333333,1.2695839999999996,0.1745880515377183,0.5,0.4939911666666666,0.5425620689708203,1.2649025951303887,0.130353655897044
ECs,Agrn,Dag1,sCs,0.0,15.35382266666666,0.2698789246647028,0.0,-11.606869499999988,-0.0498364647953225,890.3773078021891,0.126459693774819
ECs,Fgf13,Scn5a,sCs,0.0,0.0976986666666666,0.128843832669093,0.0,0.6855993333333328,0.0390712427152667,0.5108913813711107,0.1260599415045167
ECs,Insl3,Rxfp2,sCs,0.33333333333333337,0.25681,0.1546018223226687,-0.16666666666666669,0.0082828333333333,-0.0426154757170865,0.0111444310268333,0.1219840340641833
ECs,Nid2,Col13a1,sCs,0.0,20.720416333333336,0.1711106374720013,0.0,0.0243029999999999,0.0042337687998343,7.751210805601669,0.0875768722864054
ECs,Agrn,Lrp4,sCs,0.0,15.35382266666666,0.2698789246647028,0.0,-0.464481833333334,-0.0119645428520598,31.742584515931377,0.086042029728186
ECs,Tff3,Ackr3,sCs,0.6666666666666667,0.3425573333333334,0.4609396709909231,0.0,-4.949779166666667,-0.0689073771519006,0.0929149223317233,0.0843311131116648
ECs,Serpine1,Lrp2,sCs,0.0,10.98991833333334,0.088268115065407,-0.16666666666666669,0.0119458333333333,-0.0623643620118355,0.5563874719944445,0.0759997304122965
ECs,Ptprz1,Ncam1,sCs,0.0,0.0922073333333333,0.129910437806988,0.0,11.348917,-0.170178030771395,3.338634165543,0.0753536581168246
ECs,Vtn,Itgb6,sCs,-0.33333333333333337,-2.492620333333333,0.1440731324991561,0.0,2.2012645,0.1489995604456669,3.134666923575331,0.0733527763444573
ECs,Epo,Epor,sCs,0.33333333333333337,0.0891166666666666,0.0730097371224906,0.5,0.3162315,0.1595186343102473,0.0613815391843333,0.0731388488755429
