Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Muc2,Agr2,ECs,0.0,1.5551026666666672,0.4653435026377054,0.0,-1.4419283333333328,-0.0078457218079596,4.718392516421223,0.4362314726807305
M1,Ccl12,Ccr10,ECs,0.0,29.345137333333327,0.2135678774334218,0.3333333333333333,0.1595323333333332,0.4987796535360872,25.673832263940326,0.3738482430025081
M1,Pf4,Procr,ECs,0.0,458.428261,0.2397654303940307,0.0,4.277646999999996,0.4379128986647554,5671.6534835904,0.3601659179761055
M1,Il4,Il13ra2,ECs,0.6666666666666667,1.2401063333333333,0.273103669195998,0.0,0.1330476666666666,0.6708049843875371,0.5383037427161113,0.2997249263194815
M1,B2m,Gm11127,ECs,0.0,-1036.3772789999998,-0.1143607357567648,0.3333333333333333,0.3275326666666667,0.8699549440111654,843.099394076316,0.2482897436537918
M1,Jag1,Notch4,ECs,0.0,16.714664666666664,0.2579275358227399,0.0,0.1673256666666702,0.0315168107733783,790.388310155836,0.2306467109402138
M1,Pdpn,Clec1b,ECs,0.33333333333333337,71.85774,0.3758839444213446,0.0,-0.089396666666667,0.0946074458817566,278.06816908580447,0.2302293572842703
M1,Npy,Npy1r,ECs,0.33333333333333337,6.453744666666667,-0.0606386654549516,-0.6666666666666667,-0.6774713333333328,0.287989372644945,3.973240524757556,0.2165503238091836
M1,Matn1,Itga1,ECs,0.33333333333333337,0.0729713333333333,0.165393123151522,0.0,-10.293612333333336,0.2646765745806857,2.4162712885900035,0.1867444252889639
M1,Spp1,Itgb3,ECs,0.0,5884.265604666667,0.1698572336059304,0.0,1.8421043333333351,0.1347818678055925,41002.89521005282,0.1843730780802787
M1,Ecm1,Itgb4,ECs,0.0,42.887054000000006,0.1997429443606303,0.0,5.083221333333329,0.2991604633311887,598.7098336143081,0.1830207498120824
M1,Thbs1,Itga3,ECs,0.0,424.8571393333333,0.2191959227368344,0.0,4.208486666666669,0.0506454895648033,7407.145329975553,0.169855372278602
M1,Thbs1,Itgb3,ECs,0.0,424.8571393333333,0.2191959227368344,0.0,1.8421043333333351,0.1347818678055925,3138.338029142361,0.1670085925034218
M1,Anxa1,Dysf,ECs,0.0,123.30034133333338,0.1727403423751311,0.0,2.8358216666666607,0.0433799592887728,5983.523340340145,0.1611085309602559
M1,Jag1,Cd46,ECs,0.0,16.714664666666664,0.2579275358227399,0.0,-0.1858119999999998,0.2028670696895684,61.99171045775579,0.1566552993255983
M1,Psap,Gpr37l1,ECs,0.0,678.1860760000002,0.0001857392717288,0.0,0.1939493333333334,0.2935649359718735,568.6277495935187,0.1447754805148015
M1,Vegfa,Flt1,ECs,0.0,8.602162666666668,0.1359459974678323,0.0,-20.39912933333329,0.0594840774609848,820.5034154793741,0.1425761052290274
M1,Jag1,Notch1,ECs,0.0,16.714664666666664,0.2579275358227399,0.0,4.128102666666671,0.0489826494840365,1018.9395855382796,0.140932594774346
M1,Anxa2,Robo4,ECs,0.0,153.34235366666667,0.139930093615918,0.0,5.954526666666659,0.0075538752448339,8082.388135879224,0.1407970486278046
M1,Vegfa,Kdr,ECs,0.0,8.602162666666668,0.1359459974678323,0.0,-11.226394333333303,0.006824494707738,1074.802135595672,0.1303492942668669
M1,Spp1,Itga9,ECs,0.0,5884.265604666667,0.1698572336059304,0.0,1.5623193333333338,0.1580548297850258,25774.020295863167,0.1297713594315113
M1,App,Cav1,ECs,0.0,122.83008333333332,0.137737657156437,0.0,41.09487866666666,0.0709568695812058,104313.1351099928,0.1279743157088914
M1,Angpt2,Tie1,ECs,0.0,2.486962666666667,0.1262795683333818,0.0,10.388181000000005,0.0098115994418788,224.5504754794678,0.1265825077716412
M1,Calr,Scarf1,ECs,0.0,136.8737766666667,0.1234596205200196,0.0,2.730118000000001,0.1755853575962549,2458.958172454272,0.1254462388516334
M1,Angpt2,Tek,ECs,0.0,2.486962666666667,0.1262795683333818,0.0,6.109292333333336,0.0249150817061194,170.56606902186385,0.1201418516469854
M1,Cd44,Sele,ECs,0.0,106.96520233333332,0.1259562306828188,0.0,4.166913999999999,-0.0166255110755839,1991.314151906956,0.1199794871588994
M1,Cort,Sstr4,ECs,0.0,0.0305466666666667,0.121077208803549,0.0,-1.1228920000000002,0.103947840268602,0.0691612983617778,0.1154902645020717
M1,Hras,Cav1,ECs,0.0,4.7718560000000005,0.1224552115159167,0.0,41.09487866666666,0.0709568695812058,4110.773058569956,0.1121538121363485
M1,Tgm2,Itgb3,ECs,0.0,22.04810766666667,0.1278614403009729,0.0,1.8421043333333351,0.1347818678055925,201.0439643590336,0.1115647534255935
M1,Pf4,Thbd,ECs,0.0,458.428261,0.2397654303940307,0.0,-1.1591880000000143,-0.0123714661932445,17359.276038182372,0.1115408611896646
M1,Cd200r1,Cd200,ECs,0.0,11.793788,0.1415154277051894,0.0,2.8520136666666644,0.0215795396330394,807.1413246129208,0.1106063446362632
M1,L1cam,Erbb2,ECs,0.0,3.262536666666666,0.1897483198963572,0.0,1.1920363333333328,0.1778907680933985,17.038399213190342,0.1050408856265039
M1,Adam15,Itgb3,ECs,0.0,27.964989000000003,0.1266403993353981,0.0,1.8421043333333351,0.1347818678055925,212.94353520095072,0.1019196416087653
M1,Calr,Itga3,ECs,0.0,136.8737766666667,0.1234596205200196,0.0,4.208486666666669,0.0506454895648033,2734.614139639237,0.1012266188520571
M1,Cntf,Lifr,ECs,0.6666666666666667,1.4283666666666663,0.2510772327783399,0.0,8.848464000000007,0.1510273181782733,54.98970519150444,0.1010844236545552
M1,Arf1,Chrm3,ECs,0.0,39.96273200000001,0.0876073883098977,0.0,0.1482216666666666,0.3218660999410438,22.281236778577657,0.100952590357739
M1,Ptgs2,Cav1,ECs,0.0,19.169061666666657,0.0990457837139195,0.0,41.09487866666666,0.0709568695812058,16879.935420152207,0.0969503969326673
M1,Ccl25,Ccr10,ECs,0.0,0.0273746666666658,-0.0216426487498702,0.3333333333333333,0.1595323333333332,0.4987796535360872,0.861863179566666,0.0932485215794008
M1,Il4,Il2rg,ECs,0.6666666666666667,1.2401063333333333,0.273103669195998,0.0,18.29683800000001,0.1513460345307815,63.99291908126956,0.0911925033999432
M1,Inhba,Eng,ECs,0.6666666666666667,0.4955353333333334,0.1162491895578193,0.0,29.090815333333296,0.0548815072973195,116.7056955038327,0.0892707321828076
M1,Vegfb,Flt1,ECs,0.0,2.6987603333333343,0.0767147333558423,0.0,-20.39912933333329,0.0594840774609848,256.47967031571727,0.0875480573756912
M1,Cntf,Il6st,ECs,0.6666666666666667,1.4283666666666663,0.2510772327783399,0.0,31.975815999999988,0.1151131527146319,127.09098890935114,0.0872881898311292
M1,Hras,Insr,ECs,0.0,4.7718560000000005,0.1224552115159167,0.0,9.14992733333334,0.1872187579698388,153.3884655782738,0.0863186786556658
M1,Liph,Lpar4,ECs,0.0,0.0005516666666667,0.2000205148946465,0.0,2.199655000000001,-0.0031707578797253,0.0632413101327777,0.0853338498645762
M1,Fn1,Itga2,ECs,0.0,190.907224,0.095380724016464,0.0,1.5053303333333332,0.2659488415870376,958.7668093518056,0.0851272943610748
M1,Lgals3,Lag3,ECs,0.0,383.86596666666674,0.1089352277822524,0.0,-0.630135666666666,0.1072540883252893,2709.916191066479,0.0847124685957186
M1,Thbs1,Itga6,ECs,0.0,424.8571393333333,0.2191959227368344,0.0,11.884417333333287,-0.1654651110668302,90971.55901708896,0.0839653102485249
M1,Plau,St14,ECs,0.0,39.77742199999998,0.1306017165360228,0.0,0.2802730000000001,0.1126253693681119,50.07047490287932,0.0838534939332173
M1,F13a1,Itga9,ECs,0.0,70.54603299999995,0.165943725015574,0.0,1.5623193333333338,0.1580548297850258,400.27653108380906,0.0818155551093865
M1,Arf1,Insr,ECs,0.0,39.96273200000001,0.0876073883098977,0.0,9.14992733333334,0.1872187579698388,1506.6722032349912,0.0790886750358915
M1,Angptl3,Itgb3,ECs,0.0,-0.0870089999999998,0.0649158863933083,0.0,1.8421043333333351,0.1347818678055925,1.8835920856508928,0.0773200329820529
M1,Adam9,Itga3,ECs,0.0,15.17545466666667,0.0882440364191042,0.0,4.208486666666669,0.0506454895648033,351.03065219911394,0.0752165025056671
M1,Cd80,Cd274,ECs,0.0,-0.7469433333333289,0.0286995174470516,0.0,3.5270176666666693,0.1964782726061512,32.9588219724466,0.074291322951198
M1,Glg1,Sele,ECs,0.0,14.348739000000002,0.0782754098363091,0.0,4.166913999999999,-0.0166255110755839,287.91809911465907,0.0741057917711265
M1,Spp1,Itgb1,ECs,0.0,5884.265604666667,0.1698572336059304,0.0,25.49289999999999,0.050477941061506,992481.52505789,0.0740894185597258
M1,Gast,Cckbr,ECs,0.0,0.0583226666666665,0.0060598439230108,0.0,0.0854299999999999,0.4995267348989646,0.0352816565675556,0.0721231813946144
M1,Thbs1,Itgb1,ECs,0.0,424.8571393333333,0.2191959227368344,0.0,25.49289999999999,0.050477941061506,74120.47801025705,0.0690497676302982
M1,Rtn4,Cntnap1,ECs,0.0,36.70444733333329,0.0726520180616098,0.0,0.125256666666667,0.1692204156536912,56.98819893431018,0.0679065374259482
M1,Fn1,Itgb3,ECs,0.0,190.907224,0.095380724016464,0.0,1.8421043333333351,0.1347818678055925,1372.640879353037,0.0669767123312731
M1,Bsg,Sele,ECs,0.0,26.508498333333332,0.0687228127598907,0.0,4.166913999999999,-0.0166255110755839,523.7872661838188,0.0652601759930638
M1,Thbs1,Itga2b,ECs,0.0,424.8571393333333,0.2191959227368344,0.0,0.0063446666666671,0.0202013862170762,655.8271425190198,0.0585268805257579
M1,Matn1,Itgb1,ECs,0.33333333333333337,0.0729713333333333,0.165393123151522,0.0,25.49289999999999,0.050477941061506,15.320199186353769,0.0584441357533641
M1,F13a1,Itgb1,ECs,0.0,70.54603299999995,0.165943725015574,0.0,25.49289999999999,0.050477941061506,13388.13273932018,0.0580216566636062
M1,Wnt4,Fzd6,ECs,0.0,0.5774409999999999,0.0743593493259605,0.0,3.86782366666667,-0.0569242612369034,15.03663621253,0.0576546197587276
M1,Alcam,L1cam,ECs,0.0,12.575735999999988,0.1254799483497219,0.0,-1.1362096666666686,0.0469848853675347,59.14486234846291,0.0576524513462359
M1,Thbs1,Cd47,ECs,0.0,424.8571393333333,0.2191959227368344,0.0,14.673646666666656,0.0654285004454152,27707.206631815272,0.0553567082464246
M1,Adam15,Itga9,ECs,0.0,27.964989000000003,0.1266403993353981,0.0,1.5623193333333338,0.1580548297850258,137.82264418569463,0.0550729433955809
M1,Vegfa,Nrp2,ECs,0.0,8.602162666666668,0.1359459974678323,0.0,11.433653999999995,-0.01751034087516,628.7822583086142,0.054591857122196
M1,Il4,Il4ra,ECs,0.6666666666666667,1.2401063333333333,0.273103669195998,0.0,1.3677659999999996,0.0072025978136499,38.73340208542088,0.054363373159653
M1,Pf4,Fgfr2,ECs,0.0,458.428261,0.2397654303940307,0.33333333333333337,0.1166783333333332,0.0398032867665296,292.7516410664193,0.0542386062973397
M1,Lgals1,Itgb1,ECs,0.0,211.01255266666655,0.1675382654419197,0.0,25.49289999999999,0.050477941061506,36705.817577924856,0.0536241706450082
M1,Tnfsf13,Tnfrsf14,ECs,0.0,0.629290333333334,0.0353060539623222,0.0,1.9375663333333344,0.1161001791530472,9.61390939424912,0.0523170262924694
M1,Nampt,Insr,ECs,0.0,-7.771964999999994,-0.0507125556369157,0.0,9.14992733333334,0.1872187579698388,336.70903030642774,0.0513819664882253
M1,Ptdss1,Scarb1,ECs,0.0,3.0518163333333304,0.0626731935113386,0.0,-2.564945333333341,0.0276226425622971,271.112481244578,0.0510216654399206
M1,Lif,Lifr,ECs,0.33333333333333337,0.2600326666666667,0.1071541872998445,0.0,8.848464000000007,0.1510273181782733,12.583627560677114,0.0506290570087112
M1,Osm,Lifr,ECs,0.0,1.6020576666666706,-0.0201599862216516,0.0,8.848464000000007,0.1510273181782733,246.78927394993548,0.0502610465804277
M1,L1cam,Itga5,ECs,0.0,3.262536666666666,0.1897483198963572,0.0,9.697772,0.0306825855928983,180.14197365414137,0.0500681606004123
M1,Ybx1,Notch1,ECs,0.0,82.48333699999998,0.0757094251343857,0.0,4.128102666666671,0.0489826494840365,5529.602548871171,0.0499375529705767
M1,Gnai2,Adra2b,ECs,0.0,39.06733666666671,0.0376900790266361,0.0,0.6758609999999999,0.1851924175861088,136.0384573766443,0.0498263820966247
