Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Rspo1,Lgr5,sCs,0.0,0.2504083333333334,0.8924159202032977,0.0,1.9419738333333327,0.3367551613348443,0.8217765399587778,0.4595939030653266
M2,Rspo1,Znrf3,sCs,0.0,0.2504083333333334,0.8924159202032977,0.0,-1.0411094999999997,-0.0840978142639122,0.6410505094310001,0.2284910854001772
M2,Sema4d,Met,sCs,0.0,0.4543190000000052,0.2028059755835075,0.0,15.177149833333331,0.1227894155982319,759.6528510592935,0.1918528619713562
M2,Ccl5,Gpr75,sCs,-0.33333333333333337,-5.348501333333335,0.0742674298423123,0.5,0.4939911666666666,0.5425620689708203,0.6520398852781109,0.1460889515491551
M2,Lpl,Lrp2,sCs,0.0,85.97696399999998,0.1390504108527249,-0.16666666666666669,0.0119458333333333,-0.0623643620118355,3.12598860201,0.1199907350888826
M2,Cdh1,Itgae,sCs,0.33333333333333337,0.2864296666666666,0.2419384488709109,0.16666666666666663,0.0697266666666667,0.1861748908563847,0.0516622169165554,0.1184832323810332
M2,Il18,Il18rap,sCs,0.0,0.3049430000000015,0.12652618757046,0.5,0.3493246666666669,0.1268791214581477,9.845695060990112,0.098900140662626
M2,Gnai2,Lpar3,sCs,0.0,5.44806466666671,-0.0216193604927316,0.0,0.943969,0.4084288158643946,152.34340575153604,0.0905891308125479
M2,Tnfsf15,Tnfrsf25,sCs,0.0,0.3115593333333334,0.29393637401209,-0.33333333333333337,0.8984763333333331,0.1154094508512128,0.911958223055445,0.082559776078618
M2,Cadm1,Crtam,sCs,-0.33333333333333337,-0.2967536666666666,0.2343129953761993,0.16666666666666663,0.1407688333333333,0.1617054566314474,0.8596672784851668,0.0813166630256059
M2,Tgfb1,Itgb6,sCs,0.0,7.556404333333404,0.0496132319283149,0.0,2.2012645,0.1489995604456669,320.6068574097469,0.0808845725724837
M2,Tnfsf13b,Tnfrsf13c,sCs,-0.33333333333333337,-0.0270016666666667,0.0732236006678902,-0.16666666666666669,0.0846371666666665,0.2600209301182765,0.0565812326366667,0.0786844625729261
M2,Hgf,Met,sCs,0.0,11.18324066666666,0.0335876752047301,0.0,15.177149833333331,0.1227894155982319,643.730697948167,0.0706473304832761
M2,Trf,Tfr2,sCs,0.0,-31.26721833333334,0.0871203556449115,0.16666666666666663,0.2760011666666667,0.1278840666806466,9.03360711382378,0.0692713727756304
M2,Rspo1,Lrp6,sCs,0.0,0.2504083333333334,0.8924159202032977,0.0,-10.028006666666666,-0.0907599961340739,0.5266483319977779,0.0619707034101516
M2,Bmp10,Bmpr1a,sCs,0.0,0.1189746666666667,0.2368649439778036,0.0,-12.2259885,-0.1698166499431131,1.041513967772,0.0464791488005116
M2,Amh,Egfr,sCs,0.3333333333333333,0.2764033333333334,0.2316419865352568,0.0,-5.683126666666668,-0.0600019171586027,3.4395469764666675,0.0351594053443755
M2,Lrpap1,Lrp2,sCs,0.0,4.858665666666671,0.050299445634991,-0.16666666666666669,0.0119458333333333,-0.0623643620118355,0.3171794316808334,0.0319751655640595
M2,Lpl,Vldlr,sCs,0.0,85.97696399999998,0.1390504108527249,0.0,-1.037867,-0.0195530740850613,20.36778596499599,0.03126657455513
M2,Bmp10,Acvr2a,sCs,0.0,0.1189746666666667,0.2368649439778036,0.0,-0.7778711666666682,-0.0099782637785963,0.852249299822222,0.0272375571020696
M2,Amh,Acvr1,sCs,0.3333333333333333,0.2764033333333334,0.2316419865352568,0.0,-2.1643785,-0.0702774462507588,2.0688680691155,0.0269711800854205
M2,Cp,Slc40a1,sCs,0.0,0.0868696666666672,0.0607956791611028,0.0,4.488885833333334,0.230600108672038,15.842000895050944,0.0267528081507134
M2,Apoe,Lrp2,sCs,0.0,-78.99378500000012,0.0563126869408228,-0.16666666666666669,0.0119458333333333,-0.0623643620118355,26.00654791927224,0.0237724096052117
M2,Bmp10,Bmpr2,sCs,0.0,0.1189746666666667,0.2368649439778036,0.0,-9.45293366666667,-0.0694583687777735,1.606824771611556,0.023484302431396
M2,Cdh1,Egfr,sCs,0.33333333333333337,0.2864296666666666,0.2419384488709109,0.0,-5.683126666666668,-0.0600019171586027,2.0962702279291108,0.0214329214258651
M2,Lpl,Sdc1,sCs,0.0,85.97696399999998,0.1390504108527249,0.0,-0.6536866666666663,-0.0971295976126786,541.730618288604,0.019059248083899
M2,Hbegf,Cd82,sCs,0.0,0.5843219999999991,0.028995951364264,0.0,2.337066,0.0566951132165834,20.01049327977,0.0177041562612588
M2,Epo,Epor,sCs,0.0,-0.0033226666666665,-0.0847050860351323,0.5,0.3162315,0.1595186343102473,0.0159509101656667,0.0165306567187985
M2,Mmp12,Plaur,sCs,0.0,14.29700766666667,0.3621347345552737,0.0,-0.1995858333333338,0.0032823291946718,68.58090904378878,0.015260289484538
M2,Hgf,St14,sCs,0.0,11.18324066666666,0.0335876752047301,0.0,0.0681944999999999,0.0269017259997732,3.8009232756106655,0.0140333541065717
M2,Fn1,Itgb6,sCs,0.0,-20.13738066666656,-0.0193780187130216,0.0,2.2012645,0.1489995604456669,531.7641140555613,0.0138218380359737
M2,Il1b,Il1r2,sCs,0.0,-82.45165733333334,0.1909684263896656,0.5,0.3535821666666667,0.0163167298064825,79.43234632548008,0.0137638104049742
M2,Gnai2,Cnr1,sCs,0.0,5.44806466666671,-0.0216193604927316,-0.16666666666666669,0.1243691666666667,0.0623327983946992,20.2907572531279,0.0122645198142846
M2,Dhh,Cdon,sCs,0.0,0.1417540000000001,0.0228123448627438,0.0,-1.6290003333333305,-0.045788881797622,2.451470076964112,0.0119655598956112
M2,Inhba,Acvr1,sCs,0.6666666666666667,0.2442186666666665,0.0868098569905928,0.0,-2.1643785,-0.0702774462507588,1.3567413022570003,0.0103754966915523
M2,Tg,Lrp2,sCs,0.0,-0.0284263333333333,0.0262923887695052,-0.16666666666666669,0.0119458333333333,-0.0623643620118355,0.0013746294119444,0.0099120767236237
M2,Inhba,Acvr2a,sCs,0.6666666666666667,0.2442186666666665,0.0868098569905928,0.0,-0.7778711666666682,-0.0099782637785963,1.5998706094556656,0.0098764225152997
M2,Il1a,Il1r2,sCs,0.0,-2.1316153333333325,-0.0185705900466972,0.5,0.3535821666666667,0.0163167298064825,1.757189771437945,0.0096850281055082
M2,Bmp10,Bmpr1b,sCs,0.0,0.1189746666666667,0.2368649439778036,0.0,-0.0357053333333333,-0.1070235567526869,0.0298464816004444,0.0093497370015258
M2,Cd28,Cd80,sCs,0.0,1.2110796666666666,0.17799813085104,0.5,0.2158516666666666,0.0091031423064367,1.647129400379333,0.008605503673298
M2,Plau,St14,sCs,0.0,12.090428666666677,0.0191047686693915,0.0,0.0681944999999999,0.0269017259997732,6.19928054253217,0.0084539412881635
M2,Il1rn,Il1r2,sCs,0.0,-8.416609666666687,-0.0673379102898568,0.5,0.3535821666666667,0.0163167298064825,35.12986517844038,0.008205160551313
M2,Tg,Asgr1,sCs,0.0,-0.0284263333333333,0.0262923887695052,0.5,0.15861,0.0246818409897811,0.0204998474373332,0.0078767198486382
M2,Cdh1,Igf1r,sCs,0.33333333333333337,0.2864296666666666,0.2419384488709109,0.0,-4.971595999999999,-0.0971270144953183,0.2311966849646669,0.0068740371257213
M2,Tff3,Cxcr4,sCs,-0.3333333333333333,0.1020863333333332,0.2390419467302851,0.0,-0.5609751666666654,0.0018684001799585,0.7864307738549998,0.0057856090763359
M2,Spon1,Lrp8,sCs,0.0,2.002834666666667,0.1267527225492166,-0.33333333333333337,-0.1129743333333332,-0.0479439222658983,0.945114422632778,0.0047428741766595
M2,Cd274,Cd80,sCs,0.0,1.330651333333333,0.1044541496126169,0.5,0.2158516666666666,0.0091031423064367,2.743696661284888,0.0042636308910622
M2,Lama3,Sdc2,sCs,0.0,0.1217953333333333,0.0168831791277248,0.0,-3.61199516666667,-0.0354060915409387,1.716285720499111,0.0040840611108185
M2,Cel,Cxcr4,sCs,-0.33333333333333337,0.0887543333333333,0.1592135980625187,0.0,-0.5609751666666654,0.0018684001799585,0.765360905160611,0.0039023862846419
M2,Jag1,Notch2,sCs,0.0,3.198907666666667,0.051865558141299,0.0,-6.05275033333333,-0.0263863502436545,16.5446782992301,0.003778899855139
M2,Jag1,Notch1,sCs,0.0,3.198907666666667,0.051865558141299,0.0,-7.871043,-0.0653049121128925,20.963609556585723,0.0037486026714537
M2,Plau,Lrp2,sCs,0.0,12.090428666666677,0.0191047686693915,-0.16666666666666669,0.0119458333333333,-0.0623643620118355,0.9579822719897222,0.0032186196985222
M2,Dhh,Ptch1,sCs,0.0,0.1417540000000001,0.0228123448627438,0.0,-4.337108,-0.2007251484439302,0.1975486880466667,0.0031409640534032
M2,Timp1,Cd63,sCs,0.0,4.493069666666666,0.0338605607166934,0.0,-11.550613166666665,-0.0586438490072243,375.6842471270932,0.0028204394093722
M2,Mfge8,Itgav,sCs,0.0,3.185767333333333,0.0692699666291297,0.0,-11.54420983333333,-0.064421871128569,7.341216286261073,0.002179487432078
M2,Sema6b,Plxna2,sCs,0.0,0.1187203333333331,-0.0044326723046567,0.0,0.4531501666666679,0.0229769978706537,1.88875975839,0.0021308483919081
M2,Bmp8a,Acvr2a,sCs,0.3333333333333333,0.1251726666666667,0.0238521365994502,0.0,-0.7778711666666682,-0.0099782637785963,0.8741678636048891,0.0020834006868705
M2,Efnb1,Ephb1,sCs,0.33333333333333337,0.0376969999999999,0.0025301239069401,0.0,0.5272613333333334,0.1075410605164393,0.192312107018,0.0020155382122387
M2,Hbegf,Cd44,sCs,0.0,0.5843219999999991,0.028995951364264,0.0,-2.672472333333332,-0.0165154548475588,34.0115583800077,0.0020035371519687
M2,Agrn,Musk,sCs,0.0,-0.242850999999999,-0.0038157939137854,0.0,2.265853833333333,0.0896714135476686,4.557574165784782,0.0019363511401509
M2,Nid2,Col13a1,sCs,0.0,0.3797269999999997,0.0030126888883008,0.0,0.0243029999999999,0.0042337687998343,0.1463767837339999,0.001550123898621
M2,Plau,Plaur,sCs,0.0,12.090428666666677,0.0191047686693915,0.0,-0.1995858333333338,0.0032823291946718,49.167366433295626,0.0015488903847376
M2,Col18a1,Gpc1,sCs,0.6666666666666667,0.1638706666666667,0.0021437811315751,0.0,5.3040591666666685,-0.09536664617116,4.333942883094667,0.0011590764344736
M2,Grn,Tnfrsf1b,sCs,0.0,180.44828800000005,0.0316066232827288,0.0,0.148749833333333,0.0014690772118056,401.8397208800049,0.0008944307497365
M2,Mif,Cxcr4,sCs,0.0,15.125536333333336,0.0254533166862055,0.0,-0.5609751666666654,0.0018684001799585,128.70591682644226,0.0008675016943236
M2,Dhh,Boc,sCs,0.0,0.1417540000000001,0.0228123448627438,0.0,-3.2645555000000006,-0.1040691133975082,0.1477031676681666,0.0008615398428655
M2,Adam10,Epha3,sCs,0.0,5.352072333333332,-0.0249042976566114,0.0,0.4491466666666667,0.0037705780488371,25.832098724861563,0.0008136642690815
M2,Omg,Tnfrsf1b,sCs,0.0,0.546092666666667,0.0402515294118378,0.0,0.148749833333333,0.0014690772118056,1.5412058812653333,0.000793416794987
M2,Serpine2,Lrp1,sCs,-0.33333333333333337,4.317391,0.0389089000549127,0.0,-23.99813266666666,-0.0577388229498442,58.54213472637046,0.0007720334153066
M2,Efnb2,Ephb1,sCs,0.0,-0.1522543333333333,-0.0026408632373704,0.0,0.5272613333333334,0.1075410605164393,0.2274767032397777,0.0006988798258435
M2,Sele,Cd44,sCs,0.0,0.0681716666666667,0.0044449766821029,0.0,-2.672472333333332,-0.0165154548475588,4.4178767494796665,0.0003820861495438
M2,Lamb2,Rpsa,sCs,0.0,0.0709986666666666,0.0022342303976325,0.0,9.986503333333289,-0.0062040963488731,10.69561370225444,0.0003136272558175
M2,Efna2,Epha3,sCs,0.3333333333333333,0.2200246666666666,0.0114546668647245,0.0,0.4491466666666667,0.0037705780488371,0.3103722857586667,0.0002908631668655
M2,Slamf7,Slamf7,sCs,0.0,7.426819000000009,0.184100059138333,-0.16666666666666669,0.0668151666666666,0.0004933719043119,4.94081708891761,0.0002676198578983
M2,Tnf,Tnfrsf1b,sCs,0.0,6.664502666666664,-0.0607389803411972,0.0,0.148749833333333,0.0014690772118056,24.718208411774697,0.0002258843440699
M2,Lgals1,Cd69,sCs,0.0,48.90602199999999,-0.0168572892875608,-0.6666666666666667,-0.0011756666666666,0.0016696015908523,4.42723255598478,0.0002193710430704
M2,Col18a1,Gpc4,sCs,0.6666666666666667,0.1638706666666667,0.0021437811315751,0.0,-5.9468543333333335,-0.1104083330982025,0.769618900714667,0.0001766004239492
M2,Col18a1,Ptprs,sCs,0.6666666666666667,0.1638706666666667,0.0021437811315751,0.0,-11.288359833333333,-0.1547294780187942,0.9494005856933336,0.0001644169019539
M2,Col18a1,Itgb1,sCs,0.6666666666666667,0.1638706666666667,0.0021437811315751,0.0,-109.52173216666664,-0.174941936091244,6.71801263034133,0.0001441133530374
M2,App,Cd74,sCs,0.0,30.453231666666696,-0.0233963400917135,0.0,-0.1899475000000001,0.0006272663844206,20.45950034200669,0.0001321933862248
M2,Mif,Cd74,sCs,0.0,15.125536333333336,0.0254533166862055,0.0,-0.1899475000000001,0.0006272663844206,14.638003888501515,0.0001162298718391
