Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Gdnf,Gfra2,FAPs,0.0,-1.2632086666666658,0.1288721051944004,0.0,1.414973666666666,0.4405190358189347,0.4297056639476668,0.4627673541371848
sCs,Gdnf,Gfra1,FAPs,0.0,-1.2632086666666658,0.1288721051944004,0.0,7.529303666666671,0.2997362885612726,2.2056068719816864,0.3755537250831769
sCs,Il12a,Il12rb1,FAPs,0.0,0.1407348333333332,0.3143489699528112,0.0,-0.0197636666666668,0.2824173665943464,0.1226055717494443,0.3654776861098882
sCs,Fgf17,Fgfr2,FAPs,0.16666666666666663,0.0186949999999999,0.2804474120361347,0.0,-0.4302259999999989,-0.0251484348914503,0.0130241046716667,0.2289046929154415
sCs,Ccl21b,Ackr4,FAPs,0.16666666666666663,0.0831341666666667,0.3515236429813255,-0.3333333333333333,-0.0941236666666667,0.0135311116940146,0.0128519420560556,0.2243862986169305
sCs,Fgf17,Fgfr1,FAPs,0.16666666666666663,0.0186949999999999,0.2804474120361347,0.0,4.991531000000009,0.0897847564766884,1.9674252072350047,0.2176884136894351
sCs,Wnt7b,Fzd8,FAPs,0.5,0.3570956666666666,0.0619009216033394,0.0,2.6611233333333324,0.2061931631288626,3.910241827146888,0.2158014475674314
sCs,Il12a,Il12rb2,FAPs,0.0,0.1407348333333332,0.3143489699528112,0.0,0.3108936666666666,0.1498273674633394,0.2913755960455554,0.1742042084461779
sCs,Gal,Galr2,FAPs,0.0,6.66456216666667,0.0497197768596427,0.33333333333333337,0.755550333333333,0.136383277207403,33.45145638240207,0.1340460946692954
sCs,Npnt,Itga8,FAPs,0.0,-0.2262655,-0.2483448449319962,0.0,1.0623550000000002,0.3890842696892841,1.5018934456238329,0.1193924518974995
sCs,Plg,F2r,FAPs,-0.16666666666666669,-0.0014746666666667,0.0,0.0,5.968717333333345,0.1043457168821866,0.0677606526977778,0.1043457168821866
sCs,Pdgfc,Pdgfrb,FAPs,0.0,1.3372133333333331,0.0576482030638585,0.0,12.501248666666685,0.4691066854696915,143.0780024431009,0.090363670251953
sCs,Wnt7b,Fzd4,FAPs,0.5,0.3570956666666666,0.0619009216033394,0.0,2.310890999999989,0.0776314690063613,6.933102423392888,0.0841148233061123
sCs,Ncam1,Gfra1,FAPs,0.0,11.348917,-0.170178030771395,0.0,7.529303666666671,0.2997362885612726,381.66002647080336,0.0741050389046281
sCs,Wnt7b,Fzd1,FAPs,0.5,0.3570956666666666,0.0619009216033394,0.0,-4.6350383333333305,0.0262051842486266,6.025447470119,0.0730710220539236
sCs,Bmp8a,Bmpr1a,FAPs,0.5,0.2675881666666667,0.0990115287441318,0.0,1.949867000000005,0.1149953014648546,9.259653247494946,0.0706665253806189
sCs,Slit1,Robo2,FAPs,0.0,-0.0098373333333332,-0.023568012360371,0.33333333333333337,0.7619076666666665,0.6723598456091898,0.130802506135111,0.069533073192055
sCs,Egf,Egfr,FAPs,0.0,0.0486254999999999,0.0716749054633127,0.0,1.4437876666666654,0.0605275876432171,3.3689883045146694,0.0659225416230526
sCs,Efna4,Epha7,FAPs,0.0,-0.009702,-0.0364316755679615,0.0,0.9092159999999996,0.6983782653718047,0.1877569094940002,0.0558902900902474
sCs,Pdgfc,Pdgfra,FAPs,0.0,1.3372133333333331,0.0576482030638585,0.0,-54.252883333333386,-0.0147629599735132,64.08736268798427,0.0546056887918998
sCs,Bmp8a,Acvr2a,FAPs,0.5,0.2675881666666667,0.0990115287441318,0.0,1.4039300000000026,0.030691633800652,8.360074006532383,0.0504476234302753
sCs,Plg,Itgb1,FAPs,-0.16666666666666669,-0.0014746666666667,0.0,0.0,24.64416699999998,0.0495827966236197,0.3499812204329999,0.0495827966236197
sCs,Wnt9a,Fzd4,FAPs,0.5,0.6501044999999999,0.1307815079026142,0.0,2.310890999999989,0.0776314690063613,12.434210746483,0.0484001159772346
sCs,Efna2,Epha7,FAPs,0.0,-0.6812838333333332,-0.1048382852122327,0.0,0.9092159999999996,0.6983782653718047,0.6449630152300555,0.0475548720952076
sCs,Gal,Gpr151,FAPs,0.0,6.66456216666667,0.0497197768596427,0.0,0.1226036666666667,0.0478058353764853,5.620979868502276,0.0445314511846516
sCs,Wnt7b,Fzd5,FAPs,0.5,0.3570956666666666,0.0619009216033394,0.0,0.5131583333333296,0.0170997609187408,4.172399277168889,0.0436570333091237
sCs,Ncam1,Ptprz1,FAPs,0.0,11.348917,-0.170178030771395,0.0,0.037341,0.0688449013719763,1.5076685980433335,0.0396254874181031
sCs,Efna5,Epha7,FAPs,0.0,-0.2782511666666667,-0.2045464646305168,0.0,0.9092159999999996,0.6983782653718047,0.1341912955129444,0.0391502931351758
sCs,Bmp8a,Tgfbr2,FAPs,0.5,0.2675881666666667,0.0990115287441318,0.0,14.173706333333335,0.0477863145992971,15.680466447747666,0.0380545844068266
sCs,Sema3a,Plxna4,FAPs,0.0,0.7348578333333331,0.0197188220782453,0.0,1.1250653333333331,0.079371539594008,3.3797053189437216,0.0373242979596874
sCs,Egf,Erbb2,FAPs,0.0,0.0486254999999999,0.0716749054633127,0.0,-0.0887226666666656,0.0487238467414979,0.1547425755353334,0.0364609723340588
sCs,Vcan,Egfr,FAPs,0.0,14.030050166666662,0.0408748210028726,0.0,1.4437876666666654,0.0605275876432171,882.5118390595766,0.0337602192696971
sCs,Wnt7b,Lrp5,FAPs,0.5,0.3570956666666666,0.0619009216033394,0.0,0.3684419999999999,0.0203849840903997,3.838645039732333,0.0324210617915933
sCs,Fgf17,Fgfr3,FAPs,0.16666666666666663,0.0186949999999999,0.2804474120361347,-0.33333333333333337,0.0216326666666666,0.0092474486177294,0.01517783503,0.0313922018518747
sCs,Fndc5,Itgav,FAPs,0.0,1.018993333333333,0.1264116475662413,0.0,12.28098666666665,-0.0230359395101812,90.13608155146444,0.0312976786321323
sCs,Col2a1,Itga10,FAPs,0.0,0.0506991666666666,0.0684218306297059,0.0,0.081897333333333,0.1642782713205457,0.0528899442235555,0.0297104351616738
sCs,Bmp8a,Bmpr2,FAPs,0.5,0.2675881666666667,0.0990115287441318,0.0,5.49889266666667,0.0326474482517465,11.07758792921378,0.0296568109788975
sCs,Fndc5,Itgb5,FAPs,0.0,1.018993333333333,0.1264116475662413,0.0,0.0385933333333312,-0.0097616025160825,36.098623596602216,0.0273779439105342
sCs,Dll1,Notch3,FAPs,0.0,1.9645921666666668,0.0300155869013383,0.0,1.177035,0.1247259439787198,16.571555999745332,0.0272123977824393
sCs,Cxadr,Cxadr,FAPs,0.0,-0.0956721666666671,-0.0015287684495765,0.0,0.7824783333333329,0.1051935001389443,1.4699634176526666,0.0267935860785171
sCs,Efnb2,Epha4,FAPs,0.0,-0.4313295000000012,-0.0070466314155741,0.0,5.281703333333337,0.2144613429276883,33.41594524664416,0.0233501337897597
sCs,Col2a1,Itgb1,FAPs,0.0,0.0506991666666666,0.0684218306297059,0.0,24.64416699999998,0.0495827966236197,9.022602814109,0.0206076663359825
sCs,F2,Gp9,FAPs,0.0,-0.1055193333333333,-0.0482621462128131,0.3333333333333333,0.993563666666667,0.1440533998939295,0.3087635813674445,0.0195483691804287
sCs,Pdgfb,Pdgfrb,FAPs,0.0,0.0105366666666668,0.0018182986820005,0.0,12.501248666666685,0.4691066854696915,28.318014958998504,0.0189140321727798
sCs,Gnai2,Ednra,FAPs,0.0,-16.29373383333334,-0.0356153350889043,0.0,9.16738766666666,0.5202954406873432,39.88141254685343,0.0182265450929169
sCs,Rtn4,Cntnap1,FAPs,0.0,-0.3482236666666622,-0.025091206471567,0.0,0.2368383333333332,0.1582981618297073,11.490318159710675,0.0181497827992827
sCs,Has2,Hmmr,FAPs,0.0,2.0335101666666677,0.0619658065211774,0.0,1.4481936666666666,-0.0292180293387221,17.989824012312,0.0162710231985925
sCs,Colq,Musk,FAPs,-0.16666666666666669,0.0376028333333333,0.1108537671468362,0.0,-0.4746433333333328,-0.098060548958845,0.1239757327775556,0.0160649442977691
sCs,Vegfc,Vipr2,FAPs,0.0,0.4942836666666668,0.0424786109760103,0.0,0.0835853333333332,0.058803388600637,0.383474823115,0.0146356873666602
sCs,Efna4,Epha1,FAPs,0.0,-0.009702,-0.0364316755679615,0.0,3.864843333333333,0.2312058058420006,0.769612326054,0.0138711872900607
sCs,Timp1,Cd63,FAPs,0.0,5.564677333333329,0.049210111752492,0.0,36.65774266666659,-0.0212020020014708,1875.2738940565937,0.0138575487922776
sCs,Serpinf1,Plxdc2,FAPs,0.0,9.116387,0.0087841868622554,0.0,0.3953839999999999,0.1893723799614015,585.7913744524423,0.0133525127062779
sCs,Col2a1,Ddr1,FAPs,0.0,0.0506991666666666,0.0684218306297059,0.0,-0.1086840000000002,-0.0537472476201927,0.1235386806142222,0.0132211051910892
sCs,Dll1,Notch2,FAPs,0.0,1.9645921666666668,0.0300155869013383,0.0,1.5642980000000009,0.0411353416048717,49.45692870254221,0.0130534144892159
sCs,Efna1,Epha7,FAPs,0.0,-0.0642631666666666,-0.005363754743104,0.0,0.9092159999999996,0.6983782653718047,0.4482615934182778,0.0127354850363756
sCs,Col2a1,Tnfrsf10b,FAPs,0.0,0.0506991666666666,0.0684218306297059,0.0,0.2930476666666668,-0.0105277560262308,0.2163083899664444,0.0126608079053242
sCs,Vcan,Itgb1,FAPs,0.0,14.030050166666662,0.0408748210028726,0.0,24.64416699999998,0.0495827966236197,2516.221433850408,0.0125995244233519
sCs,Bmp8a,Acvr2b,FAPs,0.5,0.2675881666666667,0.0990115287441318,-0.33333333333333337,0.0009353333333332,0.04636411702124,0.0720164826580555,0.0124876504283732
sCs,Bmp8a,Tgfbr1,FAPs,0.5,0.2675881666666667,0.0990115287441318,0.0,0.02986966666667,0.017947125859864,4.4474993720845,0.0122456511877068
sCs,Fgf16,Fgfr3,FAPs,0.0,0.1643769999999998,0.0290415993256519,-0.33333333333333337,0.0216326666666666,0.0092474486177294,0.1236043424013331,0.0109761939436129
sCs,Angpt1,Itgb1,FAPs,0.0,0.434553666666667,0.030276786147393,0.0,24.64416699999998,0.0495827966236197,97.954710180678,0.0109688804704767
sCs,Egf,Erbb3,FAPs,0.0,0.0486254999999999,0.0716749054633127,0.0,0.0535586666666665,0.0437814838679275,0.0221898783316666,0.0104712011437209
sCs,Vcam1,Itgb1,FAPs,0.0,-3.125125500000003,-0.0015984381165319,0.0,24.64416699999998,0.0495827966236197,179.6309320302489,0.0103056906386784
sCs,Col2a1,Itga2,FAPs,0.0,0.0506991666666666,0.0684218306297059,0.0,-0.2137370000000004,-0.0374451614712408,0.0409294980129444,0.0097371665414657
sCs,Efnb2,Grm5,FAPs,0.0,-0.4313295000000012,-0.0070466314155741,0.0,0.0678226666666667,0.1282655373521259,0.4622203079283333,0.0094244743816989
sCs,Jag2,Notch3,FAPs,0.0,0.2918106666666671,0.015579071021521,0.0,1.177035,0.1247259439787198,3.380961527179341,0.0086925457766766
sCs,Efnb2,Ephb3,FAPs,0.0,-0.4313295000000012,-0.0070466314155741,0.0,8.650845666666669,0.1182726433519063,52.16747380108329,0.008555819806077
sCs,Sema4d,Plxnb1,FAPs,0.0,0.0746833333333332,0.009814897268418,0.0,0.5295476666666661,0.2411560104963327,1.3223866325051103,0.0084411016127585
sCs,Has2,Cd44,FAPs,0.0,2.0335101666666677,0.0619658065211774,0.0,11.383814333333348,0.0009838527056346,214.79199563671187,0.0081569223577845
sCs,Angpt1,Itga5,FAPs,0.0,0.434553666666667,0.030276786147393,0.0,2.1872173333333293,-0.024740326660877,25.22694473607245,0.0080338654446966
sCs,Gnai2,Tshr,FAPs,0.0,-16.29373383333334,-0.0356153350889043,0.0,1.023782,0.3617736518052935,14.822245703194284,0.0073599586944024
sCs,Vcam1,Itgb7,FAPs,0.0,-3.125125500000003,-0.0015984381165319,0.0,1.1862999999999997,0.0334624116754798,27.821532582494,0.0071600434956749
sCs,Col1a2,Itga11,FAPs,0.0,39.54411583333331,0.0063664179311537,0.0,12.042796333333332,0.0062796944852839,2005.301523036416,0.0064170601635654
sCs,Dll1,Notch1,FAPs,0.0,1.9645921666666668,0.0300155869013383,0.0,1.9005906666666716,0.0189571124306712,27.330817367013108,0.0063597934536749
sCs,Fn1,Tshr,FAPs,0.0,6.605287333333333,0.0027020088818401,0.0,1.023782,0.3617736518052935,35.71501211915091,0.0059029162328778
sCs,Wnt11,Fzd8,FAPs,0.0,-0.0925203333333333,-0.0082063353313451,0.0,2.6611233333333324,0.2061931631288626,0.4779535219682218,0.0058928480750575
sCs,Dll3,Notch3,FAPs,0.16666666666666663,-0.0158471666666667,-0.0190328786784264,0.0,1.177035,0.1247259439787198,0.0017826688446667,0.005568400237481
sCs,Fn1,Itga8,FAPs,0.0,6.605287333333333,0.0027020088818401,0.0,1.0623550000000002,0.3890842696892841,36.48319319552156,0.0055669364611123
sCs,Vcan,Cd44,FAPs,0.0,14.030050166666662,0.0408748210028726,0.0,11.383814333333348,0.0009838527056346,1341.02124555397,0.0053684459903996
sCs,Fn1,Itgb8,FAPs,0.0,6.605287333333333,0.0027020088818401,0.0,-0.2565753333333331,0.3493715799718763,9.630337559379534,0.0052318058072446
sCs,Efna4,Epha4,FAPs,0.0,-0.009702,-0.0364316755679615,0.0,5.281703333333337,0.2144613429276883,1.04328757203,0.0050546889499714
