Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Gnai2,Cxcr2,M2,0.0,-43.70931733333328,-0.0395002275168345,0.0,3.122564,0.3699719536501247,319.6218058537977,0.0769586223282784
ECs,Vwf,Itga2b,M2,0.0,-37.206410000000005,-0.0489511919585039,0.0,0.6202313333333334,0.0880898801087386,6.835469074248668,0.0728423460215673
ECs,Bmp8a,Tgfbr2,M2,0.0,0.0442396666666666,0.2805891071095849,0.0,-0.5067319999999995,0.0268664193848878,1.1119890075518892,0.0659625596927247
ECs,Fcer2a,Cr2,M2,0.33333333333333337,0.0049576666666666,0.0993309228429916,0.0,0.1518970000000001,0.107961258532216,0.0306759524957777,0.0655168832685578
ECs,Hbegf,Cd44,M2,0.0,4.63806233333333,0.0553523565571749,0.0,34.70910133333325,0.1082702697116678,1830.4199369297664,0.0649161924779486
ECs,Epo,Epor,M2,-0.33333333333333337,-0.0891166666666666,-0.0730097371224906,0.0,0.089491,0.1715466490250509,0.000425371164,0.0598203912265436
ECs,Spon2,Itgam,M2,0.0,0.4971713333333329,0.0496337017608108,0.0,-19.9032720000001,0.1383056546913652,53.81468520420022,0.0501989232554842
ECs,F2,Gp9,M2,0.0,0.0268906666666667,0.0177367066160173,0.0,1.7837053333333337,0.0971935117791819,1.7741762781471104,0.0482819448917853
ECs,Il4,Cd53,M2,0.0,0.3040943333333334,0.0791609853192878,0.0,-29.50959266666672,-0.0023090036537486,82.87302171190896,0.0433132085557363
ECs,Slitrk2,Ptprs,M2,-0.3333333333333333,0.0228326666666666,0.340030385174603,0.0,0.7276166666666661,0.0098475676733257,0.2401148749277778,0.040257756651746
ECs,Bmp8a,Bmpr2,M2,0.0,0.0442396666666666,0.2805891071095849,0.0,-2.1615103333333288,-0.0116478439001585,0.1329688456868893,0.0400110842810138
ECs,F2,Itga2b,M2,0.0,0.0268906666666667,0.0177367066160173,0.0,0.6202313333333334,0.0880898801087386,0.596964793694,0.0375366915694928
ECs,Bmp8a,Acvr2a,M2,0.0,0.0442396666666666,0.2805891071095849,0.0,1.4932713333333325,0.0214555762282279,0.8941268998678891,0.0372459756231345
ECs,Spon2,Itgb2,M2,0.0,0.4971713333333329,0.0496337017608108,0.0,-6.997835666666703,0.0589500186631688,64.2922140817438,0.0364800418210616
ECs,Gnai2,Fpr1,M2,0.0,-43.70931733333328,-0.0395002275168345,0.33333333333333337,0.8281123333333338,0.1603543273142813,35.67707048368277,0.034564239347233
ECs,Cd6,Alcam,M2,0.0,0.02903,0.0533310008910382,0.0,8.178686000000006,0.1370596100473521,1.3816735379199998,0.0345461854969575
ECs,Lpl,Lrp1,M2,0.0,20.385780000000004,0.1097302956317392,0.0,-47.16693400000011,-0.004587938750284,1142.5351842906684,0.0310315789885813
ECs,Cel,Cxcr4,M2,0.6666666666666667,0.2228506666666665,0.0976071014955332,0.0,-4.758015999999998,-0.0804376422759357,48.429233645179536,0.0309392399135949
ECs,Cd59b,Cd2,M2,0.0,-0.3907030000000001,-0.0066330851737037,0.33333333333333337,0.2747526666666666,0.1426993377859575,0.1182586996259998,0.0291015500627648
ECs,Pecam1,Cd38,M2,0.0,-76.74017366666669,-0.0226486820562621,0.0,3.594600666666661,0.0344068649837081,36.54382754109429,0.0283986632093747
ECs,Bmp8a,Acvr2b,M2,0.0,0.0442396666666666,0.2805891071095849,0.0,0.219471,-0.02888343037787,0.1095850340535555,0.0274933814545857
ECs,Vasp,Cxcr2,M2,0.0,-4.047208333333334,-0.0758222819540457,0.0,3.122564,0.3699719536501247,73.32386792346979,0.0265994950204943
ECs,Il4,Il2rg,M2,0.0,0.3040943333333334,0.0791609853192878,0.0,7.968384999999991,-0.0242173526050735,21.244256052535327,0.0258592742173448
ECs,Ltb,Tnfrsf1a,M2,0.33333333333333337,0.4766806666666664,0.0978700381997966,0.0,-0.0890890000000013,-0.0031181098047964,26.104254872737098,0.0254374998729305
