Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Calca,Ramp1,M1,0.0,0.1512980000000001,0.8580747933533958,0.0,2.809942333333333,0.2838897416533574,0.7652853471340002,0.5001487975667459
FAPs,Ccl21b,Ccr7,M1,0.33333333333333337,0.300199,0.4809036020731081,0.3333333333333333,2.4080450000000004,0.4281980899165978,0.9814560982339996,0.407776958131619
FAPs,Gip,Dpp4,M1,0.3333333333333333,0.1621723333333333,-0.1482675787955677,0.0,8.073244666666666,0.4257111008992316,4.089828894422888,0.3248210908795898
FAPs,Camp,Fpr2,M1,0.0,-0.0014006666666667,0.8926185099423177,0.0,3.2444819999999988,0.062768302912453,0.1715950110244445,0.277515180260683
FAPs,Adam2,Itga9,M1,0.0,0.0956383333333334,0.6930143812396331,0.0,5.303805000000001,0.1493462399665959,0.9403155574305552,0.2773329150998313
FAPs,Adam2,Itgb7,M1,0.0,0.0956383333333334,0.6930143812396331,0.0,-0.9831896666666696,0.0088998154216596,1.0266724438517774,0.2686835433819331
FAPs,C3,Itgax,M1,0.0,150.30861433333342,0.0166360087975908,0.0,33.30253566666667,0.2679273560658834,11391.08810928535,0.216353099711534
FAPs,Fn1,Itga4,M1,0.0,96.90191666666692,0.0968280822722226,0.0,43.97899233333334,0.2042177121420416,66404.77593715473,0.1905879419907205
FAPs,Thbs2,Itga4,M1,0.0,-92.50430266666658,-0.034558989424718,0.0,43.97899233333334,0.2042177121420416,5618.188674946547,0.1799293336956708
FAPs,Gas6,Axl,M1,0.0,25.4354093333334,0.0948162557049009,0.0,67.76047266666667,0.2624791052757826,8839.392765723627,0.1782093281099707
FAPs,Cxcl1,Xcr1,M1,0.0,18.258270666666675,0.0038406129910002,0.0,0.847882333333333,0.2792085667370005,224.38727358246464,0.1736815919578838
FAPs,Sectm1a,Cd7,M1,0.3333333333333333,0.3076676666666667,-0.191747219512306,0.3333333333333333,2.8555399999999995,0.546114804852902,1.2950819976824448,0.1679060216103697
FAPs,Vcam1,Itgad,M1,0.0,-4.770806999999991,-0.0872870821522693,0.6666666666666667,0.2703613333333334,0.4304587984601159,15.34962744483056,0.1663213216713116
FAPs,Cxcl12,Cd4,M1,0.0,235.8833006666667,0.0924495280077576,0.0,6.482344,0.2538722637410742,2982.922950053301,0.165768577724551
FAPs,Ccl21b,Cxcr3,M1,0.33333333333333337,0.300199,0.4809036020731081,0.0,0.4369113333333334,0.0492852124182843,0.2259880859405555,0.1649378439443518
FAPs,Il23a,Il12rb1,M1,0.0,0.6648970000000001,0.1160290719971051,0.6666666666666667,1.8008780000000002,0.4477827327931525,4.250375082103667,0.1598887016503077
FAPs,Cxcl12,Itga4,M1,0.0,235.8833006666667,0.0924495280077576,0.0,43.97899233333334,0.2042177121420416,25172.31879510462,0.1586485263635069
FAPs,Podxl2,Sell,M1,0.0,-0.897212333333334,0.0226781754944682,0.0,25.957033000000003,0.3758946721775948,30.016539188511786,0.1558501347453321
FAPs,Cfh,Sell,M1,0.0,19.102841333333345,0.0427877971478115,0.0,25.957033000000003,0.3758946721775948,1177.1965971290992,0.1490060491279715
FAPs,Pdpn,Clec1b,M1,0.0,-0.7419546666666719,0.250118376724951,0.0,1.6013200000000003,0.1817156616486115,105.5078284439716,0.1429416752990951
FAPs,Ccl11,Ccr2,M1,0.0,21.481518,-0.0739154271832109,0.0,111.05188333333334,0.1944097552412779,9943.289352505906,0.1413434287489201
FAPs,Icam5,Itgal,M1,0.0,-0.0507273333333329,0.018183056640196,0.0,16.250822333333332,0.3380540504180791,21.121080686517,0.1404503645612593
FAPs,Adam12,Itga9,M1,0.0,-28.141297666666677,0.0141194202573043,0.0,5.303805000000001,0.1493462399665959,289.7162963080127,0.1396081265578426
FAPs,Pros1,Axl,M1,0.0,19.323810666666688,0.0100173469523705,0.0,67.76047266666667,0.2624791052757826,5935.780733780592,0.1379888064382442
FAPs,Cx3cl1,Cx3cr1,M1,0.0,5.374349666666662,0.0867717463476939,0.0,22.490143666666658,0.1787837217666444,554.3076071622723,0.1365911753083376
FAPs,Fn1,Itga9,M1,0.0,96.90191666666692,0.0968280822722226,0.0,5.303805000000001,0.1493462399665959,8014.428286938153,0.1360054637686424
FAPs,Spon2,Itga4,M1,0.0,0.6208603333333333,-0.0652101142588722,0.0,43.97899233333334,0.2042177121420416,217.5975138697808,0.125605426811937
FAPs,Il7,Il2rg,M1,0.0,0.5231863333333333,0.2208122500153104,0.0,33.326338666666665,0.1204147145389132,51.42590537080267,0.1251880938852593
FAPs,Lgals1,Cd69,M1,0.0,-48.784040000000005,0.0890984469451862,0.0,12.765283999999998,0.2523632240415046,2278.279813948966,0.1240938419945749
FAPs,Lgals1,Ptprc,M1,0.0,-48.784040000000005,0.0890984469451862,0.0,216.23804066666668,0.2367407039002155,38573.15211022521,0.1150476345864983
FAPs,Mif,Cd74,M1,0.0,0.2174946666666528,0.0718493310635433,0.0,3172.2014873333337,0.2570789498934174,230928.52298727067,0.1142148559641334
FAPs,Adam23,Itga4,M1,0.0,10.984553000000002,-0.1588839636799546,0.0,43.97899233333334,0.2042177121420416,1515.9948972619995,0.1108068706955339
FAPs,Rln3,Rxfp4,M1,0.0,0.446870333333333,0.0,0.0,1.7058183333333328,0.1101758271619807,2.277187748055444,0.1101758271619807
FAPs,Cd34,Sell,M1,0.0,16.295301999999992,0.0882768739832957,0.0,25.957033000000003,0.3758946721775948,1925.872036687091,0.1062310690506479
FAPs,Csf1,Csf1r,M1,0.0,47.25360766666667,0.0576422464164698,0.0,79.99263233333329,0.1162021888581417,14940.31317461674,0.1015579249435865
FAPs,Ccl2,Ccr2,M1,0.0,52.776929333333285,0.1640729543649435,0.0,111.05188333333334,0.1944097552412779,18959.139939668363,0.0971081858787257
FAPs,Cxcl12,Cxcr4,M1,0.0,235.8833006666667,0.0924495280077576,0.0,69.59443166666671,0.0943950869463756,68721.33444602805,0.0957142356302443
FAPs,Cxcl14,Cxcr4,M1,0.0,91.81105299999994,0.0112198325437642,0.0,69.59443166666671,0.0943950869463756,27218.461998872997,0.0947653613087958
FAPs,Il7,Il7r,M1,0.0,0.5231863333333333,0.2208122500153104,0.0,-43.82806433333334,-0.0928927013526811,3.3601319284453304,0.0943953927943712
FAPs,Flt3l,Flt3,M1,0.0,1.326331333333334,0.0571264047861364,0.0,2.2845970000000007,0.2708531425810138,16.05606192315278,0.092721228343897
