Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Ereg,Erbb4,sCs,0.16666666666666669,0.0229438333333333,0.6009397190107804,0.16666666666666669,0.0051771666666667,0.9810128591839976,0.0006436765756944,0.9924229862507842
sCs,Btc,Erbb4,sCs,-0.16666666666666663,5.4085825000000005,0.5444556868154684,0.16666666666666669,0.0051771666666667,0.9810128591839976,0.0311160033039166,0.918824674875864
sCs,Lgi1,Adam11,sCs,0.6666666666666667,0.0593121666666666,0.7237422199170124,0.0,2.7856503333333333,0.4880872681363897,0.2036322526271112,0.7645366996026987
sCs,Fgf5,Fgfr4,sCs,0.16666666666666669,1.2199581666666668,0.7825479339666588,0.0,-4.7371871666666685,0.0127583445997544,16.526790465119525,0.7564466130479375
sCs,Ntng1,Lrrc4c,sCs,0.33333333333333337,1.6063135,0.5134467804393943,0.33333333333333337,1.8363343333333333,0.4796901555360171,3.2876574267445,0.6682704892487094
sCs,Vtn,Itga8,sCs,0.0,100.20411833333333,0.6254908197918541,0.0,11.519651499999998,0.6148047555887753,1278.744927177173,0.6318111051427389
sCs,Vtn,Itgb8,sCs,0.0,100.20411833333333,0.6254908197918541,0.0,11.760215166666669,0.3689682746117475,1446.2005724635485,0.6179116797903318
sCs,Bdnf,Ngfr,sCs,0.33333333333333337,0.9722291666666668,0.5676102501960592,0.0,11.026983666666666,0.1199347221095548,16.13796388796439,0.6034621285282704
sCs,Il1rapl1,Ptprf,sCs,0.6666666666666667,0.1579846666666667,0.8939812374828713,0.0,4.953619166666667,0.4483334611828603,0.966091409067389,0.5934801128336102
sCs,Ucn2,Crhr2,sCs,0.0,6.6015485,0.5825500297498469,0.0,3.3196145,0.2099567484718959,25.14097020761875,0.5794434845070421
sCs,Btc,Erbb3,sCs,-0.16666666666666663,5.4085825000000005,0.5444556868154684,0.0,5.038022333333333,0.3208669314232236,38.12422196855133,0.569820400144369
