Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
M1,Spp1,Itga4,FAPs,3.0,1.0,7027.984863333334,0.7108991983381794,1.0,0.3333333333333333,0.137516,0.0017612820921839,966.4603664661468,0.0012520940273809
M1,Psap,Gpr37l1,FAPs,3.0,1.0,2533.363444,0.4931260844008123,1.0,0.3333333333333333,0.1717676666666667,0.1966646960874525,435.1499275945106,0.0969804915214812
M2,Psap,Gpr37l1,FAPs,3.0,1.0,2268.188964666666,0.4415091507996061,1.0,0.3333333333333333,0.1717676666666667,0.1966646960874525,389.6015260198757,0.0868292629618337
M2,Spp1,Itga4,FAPs,3.0,1.0,2678.274088666667,0.2709144853877791,1.0,0.3333333333333333,0.137516,0.0017612820921839,368.3055395770853,0.0004771568316267
M1,Anxa1,Fpr1,ECs,3.0,1.0,209.9177196666667,0.3555448824061003,2.0,0.6666666666666666,1.261960333333333,0.1357066639443231,264.9078354831199,0.0482498098738085
ECs,Gnai2,Fpr1,ECs,3.0,1.0,195.435389,0.3095741734129938,2.0,0.6666666666666666,1.261960333333333,0.1357066639443231,246.6317086475697,0.0420112783171987
M1,Gnai2,Fpr1,ECs,3.0,1.0,162.5116576666667,0.2574222219914007,2.0,0.6666666666666666,1.261960333333333,0.1357066639443231,205.0832656795792,0.0349339109715879
M2,Gnai2,Fpr1,ECs,3.0,1.0,159.7910413333334,0.2531127028358626,2.0,0.6666666666666666,1.261960333333333,0.1357066639443231,201.6499557846938,0.0343490805037857
FAPs,Fn1,Itga4,FAPs,3.0,1.0,1361.379069,0.6941067594101231,1.0,0.3333333333333333,0.137516,0.0017612820921839,187.211404052604,0.0012225178054128
FAPs,Col3a1,Mag,FAPs,3.0,1.0,2966.075764666667,0.9599043414017944,1.0,0.3333333333333333,0.061306,0.1297580344745843,181.8382408286546,0.1245553006239172
FAPs,Anxa1,Fpr1,ECs,3.0,1.0,142.0814363333334,0.2406482294750577,2.0,0.6666666666666666,1.261960333333333,0.1357066639443231,179.3011367556921,0.032657568406168
M1,Psap,Gpr37l1,M1,3.0,1.0,2533.363444,0.4931260844008123,1.0,0.3333333333333333,0.066963,0.0766690163502099,169.641616300572,0.0378074918276409
M2,Anxa1,Fpr1,ECs,3.0,1.0,132.271009,0.2240319703135046,2.0,0.6666666666666666,1.261960333333333,0.1357066639443231,166.9207666079764,0.0304026313081193
ECs,Hp,Itgam,M2,2.0,0.6666666666666666,1.014807333333333,0.0216603762217375,3.0,1.0,154.9253336666667,0.5110412512973043,157.2193647240469,0.0110693457679271
M2,Psap,Gpr37l1,M1,3.0,1.0,2268.188964666666,0.4415091507996061,1.0,0.3333333333333333,0.066963,0.0766690163502099,151.884737640974,0.0338500723014223
ECs,Hp,Itgam,M1,2.0,0.6666666666666666,1.014807333333333,0.0216603762217375,3.0,1.0,148.0881626666667,0.4884879584272602,150.2809534539929,0.0105808329593229
ECs,Hp,Itgb2,M2,2.0,0.6666666666666666,1.014807333333333,0.0216603762217375,3.0,1.0,145.729604,0.5217225811594522,147.8874708229627,0.0113007073912897
ECs,Angptl1,Tek,ECs,2.0,0.6666666666666666,2.118943333333334,0.0186369149402029,3.0,1.0,64.74848166666668,0.9402357523751964,137.1983635710389,0.0175230937407542
ECs,Hp,Itgb2,M1,2.0,0.6666666666666666,1.014807333333333,0.0216603762217375,3.0,1.0,133.2267966666667,0.4769616215833459,135.1995302538422,0.0103311681668252
FAPs,Fn1,Tnfrsf11b,ECs,3.0,1.0,1361.379069,0.6941067594101231,1.0,0.3333333333333333,0.0824123333333333,0.0472700561286149,112.194425627451,0.0328104654765675
FAPs,Prn,Rpsa,FAPs,2.0,0.6666666666666666,0.385342,0.3681324227886678,3.0,1.0,284.3623303333333,0.3302060227550619,109.5767490953073,0.1215595431762309
FAPs,Osm,Il6st,FAPs,2.0,0.6666666666666666,0.8320383333333333,0.0133959547475872,3.0,1.0,125.002688,0.4889818797969518,104.0070281857067,0.0065503791341501
FAPs,Gnai2,Fpr1,ECs,3.0,1.0,79.82725266666667,0.1264482133280045,2.0,0.6666666666666666,1.261960333333333,0.1357066639443231,100.7388263843109,0.0171598651924635
sCs,Anxa1,Fpr1,ECs,3.0,1.0,77.646779,0.1315130278311194,2.0,0.6666666666666666,1.261960333333333,0.1357066639443231,97.98715510909966,0.0178471942721781
M2,Thbs1,Itga4,FAPs,3.0,1.0,694.886846,0.4500999653118942,1.0,0.3333333333333333,0.137516,0.0017612820921839,95.558059514536,0.0007927530085964
ECs,Tff2,Cxcr4,M2,1.0,0.3333333333333333,0.3933726666666666,0.446441967401646,3.0,1.0,225.4475503333333,0.5381453632487492,88.68490406809089,0.240250674716845
ECs,Gnai2,Agtr2,sCs,3.0,1.0,195.435389,0.3095741734129938,2.0,0.6666666666666666,0.446644,0.1823737695100498,87.290043884516,0.0564582089482855
FAPs,Fn1,Mag,FAPs,3.0,1.0,1361.379069,0.6941067594101231,1.0,0.3333333333333333,0.061306,0.1297580344745843,83.46070520411399,0.0900659288165807
M1,Thbs1,Itga4,FAPs,3.0,1.0,603.9765116666666,0.391214495590503,1.0,0.3333333333333333,0.137516,0.0017612820921839,83.05643397835333,0.0006890390852863
M1,Gnai2,Agtr2,sCs,3.0,1.0,162.5116576666667,0.2574222219914007,2.0,0.6666666666666666,0.446644,0.1823737695100498,72.58485682687066,0.0469470609802245
FAPs,Osm,Il6st,ECs,2.0,0.6666666666666666,0.8320383333333333,0.0133959547475872,3.0,1.0,86.40747066666665,0.3380062309947018,71.89432788104222,0.0045279161748075
M2,Gnai2,Agtr2,sCs,3.0,1.0,159.7910413333334,0.2531127028358626,2.0,0.6666666666666666,0.446644,0.1823737695100498,71.36970986528536,0.0461611177270533
FAPs,Prn,Rpsa,M1,2.0,0.6666666666666666,0.385342,0.3681324227886678,3.0,1.0,178.4792176666666,0.2072528824090754,68.77553869410866,0.0762965057311877
