Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Wnt9b,Fzd10,FAPs,0.3333333333333333,0.0342453333333333,1.0,0.3333333333333333,0.0123403333333333,1.0,0.0004225988284444,1.0
ECs,Prok1,Prokr2,FAPs,0.3333333333333333,0.412312,0.9467127010720526,0.6666666666666666,0.986573,0.980849091650823,0.406775886776,0.92858229290082
ECs,Prok1,Prokr1,FAPs,0.3333333333333333,0.412312,0.9467127010720526,1.0,9.534479666666668,0.9412697867895244,3.931180380322667,0.8911120622890256
ECs,Wnt9b,Fzd8,FAPs,0.3333333333333333,0.0342453333333333,1.0,1.0,11.625787,0.6606770910634029,0.3981289510773333,0.6606770910634029
ECs,Efna1,Epha5,FAPs,1.0,23.82411166666667,0.8811513593020099,0.3333333333333333,0.0610333333333333,0.7209484547448332,1.454064948722222,0.6352647108850933
ECs,Galp,Galr2,FAPs,0.3333333333333333,0.0876336666666666,1.0,1.0,1.920356666666667,0.6106861247141385,0.1682878960077778,0.6106861247141385
ECs,Nxph3,Nrxn2,FAPs,0.3333333333333333,0.2773323333333333,0.8087518542063997,1.0,0.5898666666666667,0.6621579854471923,0.1635890990222222,0.535521498507991
ECs,Epgn,Egfr,FAPs,0.3333333333333333,0.103933,0.5998153224642908,1.0,92.91372433333332,0.8273343794712995,9.656802111136331,0.4962478376083714
ECs,Wnt9b,Fzd5,FAPs,0.3333333333333333,0.0342453333333333,1.0,1.0,8.435526,0.48454182041685,0.2888773997119999,0.48454182041685
ECs,Zp3,Egfr,FAPs,0.3333333333333333,0.0568526666666666,0.4879624410996449,1.0,92.91372433333332,0.8273343794712995,5.282392998281555,0.4037081034124753
ECs,Efna3,Epha5,FAPs,0.3333333333333333,0.1204136666666667,0.5163152538690664,0.3333333333333333,0.0610333333333333,0.7209484547448332,0.0073492474555555,0.3722366844380897
ECs,Wnt9b,Fzd4,FAPs,0.3333333333333333,0.0342453333333333,1.0,1.0,22.690535,0.3294232070665772,0.7770449345866666,0.3294232070665772
ECs,Pspn,Gfra1,FAPs,0.3333333333333333,0.549448,0.3828338564458972,1.0,20.328499,0.8358714277529804,11.169453118552,0.3199998821796117
ECs,Nxph2,Nrxn1,FAPs,0.3333333333333333,0.0873309999999999,1.0,1.0,0.2191816666666667,0.3167322406056181,0.0191413541316666,0.3167322406056181
ECs,Pspn,Ret,FAPs,0.3333333333333333,0.549448,0.3828338564458972,1.0,5.094146333333334,0.7307979647464429,2.798968514557334,0.2797742031266936
ECs,Nxph3,Nrxn1,FAPs,0.3333333333333333,0.2773323333333333,0.8087518542063997,1.0,0.2191816666666667,0.3167322406056181,0.0607861630405555,0.2561577868767411
ECs,Pspn,Gfra4,FAPs,0.3333333333333333,0.549448,0.3828338564458972,1.0,1.399370333333333,0.6615499020465588,0.7688812309093335,0.2532637002318897
ECs,Ngf,Ntrk1,FAPs,1.0,2.960814666666666,0.2614555410777428,1.0,0.220618,0.918990220731272,0.6532090101306666,0.2402750854064491
ECs,Efna4,Epha5,FAPs,1.0,0.8339443333333333,0.305203232930382,0.3333333333333333,0.0610333333333333,0.7209484547448332,0.0508984024777777,0.2200357991642863
ECs,Areg,Egfr,FAPs,0.6666666666666666,0.2806903333333333,0.2582678619187009,1.0,92.91372433333332,0.8273343794712995,26.07998425436478,0.2136738812778877
ECs,Il17f,Il17ra,FAPs,0.3333333333333333,0.104867,0.5326758154773494,1.0,10.37764133333333,0.3896782341125657,1.088272113702667,0.2075721711296845
ECs,Il23a,Il23r,FAPs,1.0,1.009404666666667,0.1947134031542885,0.3333333333333333,0.014443,1.0,0.0145788316006666,0.1947134031542885
ECs,Efnb3,Ephb2,FAPs,0.6666666666666666,0.4197443333333333,0.2116780627795936,1.0,6.959457666666666,0.919015282900934,2.921192918656555,0.1945353747493099
ECs,Efnb3,Ephb3,FAPs,0.6666666666666666,0.4197443333333333,0.2116780627795936,1.0,18.12300666666667,0.8785425864672691,7.607029351295555,0.1859681927727651
ECs,Cxcl5,Cxcr2,FAPs,0.6666666666666666,7.103971,0.7394543531840212,0.3333333333333333,0.0072843333333333,0.2154873190549442,0.0517476927543333,0.1593430361311326
ECs,Epcam,Epcam,FAPs,0.3333333333333333,0.038811,0.5181501408488312,0.3333333333333333,0.0201556666666666,0.26909024560654,0.0007822615789999,0.1394291486620753
ECs,Zp3,Chrna7,FAPs,0.3333333333333333,0.0568526666666666,0.4879624410996449,1.0,0.6067206666666666,0.2826254248320547,0.0344936878217777,0.1379105922178736
