Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Tac1,Tacr1,ECs,1.0,5.140796,0.996872618694957,0.6666666666666666,0.186297,1.0,0.957714872412,0.996872618694957
FAPs,Tac1,Tacr3,ECs,1.0,5.140796,0.996872618694957,0.3333333333333333,0.0279443333333333,1.0,0.1436561170226667,0.996872618694957
FAPs,Gdf2,Eng,ECs,0.6666666666666666,0.3360833333333333,1.0,1.0,218.7785543333333,0.7837094150017259,73.52782580219444,0.7837094150017259
FAPs,Tac2,Tacr3,ECs,0.3333333333333333,0.2033516666666667,0.7718063067337192,0.3333333333333333,0.0279443333333333,1.0,0.0056825267572222,0.7718063067337192
FAPs,Tac2,Tacr1,ECs,0.3333333333333333,0.2033516666666667,0.7718063067337192,0.6666666666666666,0.186297,1.0,0.037883805445,0.7718063067337192
FAPs,a,F11r,ECs,0.6666666666666666,0.344207,0.9350266575876331,1.0,28.10250466666666,0.7888396529227739,9.673078823799331,0.7375861040449699
FAPs,Gdf2,Acvrl1,ECs,0.6666666666666666,0.3360833333333333,1.0,1.0,34.071057,0.5537562116045693,11.45071440675,0.5537562116045693
FAPs,Tac1,Tacr2,ECs,1.0,5.140796,0.996872618694957,0.6666666666666666,0.106636,0.5420864808808727,0.548193922256,0.5403911697548494
FAPs,Ostn,Npr3,ECs,0.3333333333333333,0.291248,1.0,1.0,0.8502856666666666,0.5207586312773204,0.2476439998453333,0.5207586312773204
FAPs,Mmp1a,Itga2,ECs,0.3333333333333333,0.061694,1.0,1.0,1.740822,0.4863878955914668,0.107398272468,0.4863878955914668
FAPs,Tac2,Tacr2,ECs,0.3333333333333333,0.2033516666666667,0.7718063067337192,0.6666666666666666,0.106636,0.5420864808808727,0.0216846083266666,0.4183857647389453
FAPs,Gip,Gipr,ECs,0.3333333333333333,0.605025,0.8202727802708821,0.6666666666666666,0.2643766666666666,0.4845139771283354,0.15995449275,0.3974336270991623
FAPs,Gdf2,Acvr2b,ECs,0.6666666666666666,0.3360833333333333,1.0,1.0,1.285895333333333,0.3864259878905995,0.4321679899444444,0.3864259878905995
FAPs,Ahsg,Insr,ECs,0.6666666666666666,0.3554406666666667,1.0,1.0,12.840326,0.3393128690704512,4.563974033657333,0.3393128690704512
FAPs,Gdf2,Bmpr2,ECs,0.6666666666666666,0.3360833333333333,1.0,1.0,43.69574966666666,0.3365063034544351,14.68541320047222,0.3365063034544351
FAPs,a,Atrn,ECs,0.6666666666666666,0.344207,0.9350266575876331,1.0,10.48570233333333,0.3451069547070302,3.609252143049667,0.3226842023699612
FAPs,Il21,Il2rg,ECs,0.3333333333333333,0.068825,1.0,1.0,24.365583,0.3097154004536173,1.676961249975,0.3097154004536173
FAPs,Gdf2,Acvr2a,ECs,0.6666666666666666,0.3360833333333333,1.0,1.0,17.13024733333333,0.2959211466465044,5.75719062461111,0.2959211466465044
