Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,C1qtnf1,Avpr2,M2,1.0,32.17577833333333,0.7986642883194636,0.3333333333333333,0.166454,1.0,5.355787006696667,0.7986642883194636
FAPs,Gnas,Avpr2,M2,1.0,930.1503093333332,0.6383115534299679,0.3333333333333333,0.166454,1.0,154.8272395897706,0.6383115534299679
FAPs,Oxt,Avpr2,M2,1.0,0.8677463333333333,0.6149896763036915,0.3333333333333333,0.166454,1.0,0.1444398481686666,0.6149896763036915
FAPs,Plg,Itga9,M2,0.3333333333333333,0.0141293333333333,1.0,1.0,7.303088666666667,0.5739583917309499,0.1031877741342222,0.5739583917309499
FAPs,Plg,Plgrkt,M2,0.3333333333333333,0.0141293333333333,1.0,1.0,29.98267366666667,0.3076171649530862,0.4236351904608889,0.3076171649530862
FAPs,Crtam,Cadm1,M2,0.6666666666666666,0.4937903333333333,0.3832847426192826,1.0,4.666297,0.4682156243556299,2.304172351062333,0.1794599050714743
FAPs,Clec4g,Lag3,M2,0.3333333333333333,0.1416773333333333,0.6088489896016422,1.0,7.720817,0.2625680883144773,1.093864763714667,0.1598643152719043
FAPs,Plg,Itgb1,M2,0.3333333333333333,0.0141293333333333,1.0,1.0,65.39610666666668,0.1386621609326595,0.924003389795556,0.1386621609326595
FAPs,Hc,C5ar1,M2,1.0,0.2657496666666667,0.3571964934886884,1.0,45.42827866666666,0.3350961878555154,12.07254991290711,0.1196951832834169
FAPs,Rbp3,Notch1,M2,0.6666666666666666,0.2455416666666667,1.0,1.0,10.933664,0.1034534789405002,2.684670081333334,0.1034534789405002
FAPs,Lif,Lifr,M2,0.6666666666666666,0.8189326666666666,0.4599976932692142,1.0,21.978693,0.1889106336220259,17.999069668338,0.0868984557001575
