Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Gdf3,Tdgf1,ECs,1.0,8.571961666666667,0.9443164753703638,0.3333333333333333,0.1145363333333333,1.0,0.9818010587738888,0.9443164753703638
M2,Il18,Il18r1,ECs,1.0,30.042756,0.772310733939889,0.3333333333333333,3.073632,0.94948245363202,92.34037620979198,0.7332954906275919
M2,Ccl24,Ccr3,ECs,1.0,0.846752,1.0,0.3333333333333333,0.438062,0.6074000808827777,0.370929874624,0.6074000808827777
M2,Ccl12,Ccr3,ECs,1.0,53.27393966666666,0.9418669336913308,0.3333333333333333,0.438062,0.6074000808827777,23.33728855825933,0.5720900517049281
M2,Il19,Il20rb,ECs,0.3333333333333333,0.0932149999999999,1.0,1.0,6.935146333333333,0.5369077932644358,0.6464596654616666,0.5369077932644358
M2,Il12b,Il23r,ECs,0.6666666666666666,0.7997519999999999,0.7181285513489439,0.3333333333333333,0.1318296666666667,0.7358496182964654,0.105431039576,0.5284346203979141
M2,Ccl2,Ccr3,ECs,1.0,199.1856246666667,0.7508559835661449,0.3333333333333333,0.438062,0.6074000808827777,87.25565311272933,0.4560699851493941
M2,Cd48,Cd2,ECs,1.0,104.7019906666667,0.9000365334531044,0.3333333333333333,0.4327703333333333,0.4877668597104531,45.31191540147689,0.4390079935471029
M2,Cfp,Ncr1,ECs,1.0,39.35306666666667,0.6957610497324422,0.3333333333333333,0.264095,0.6234861111766901,10.39294814133333,0.4337973512058921
M2,Ccl2,Cxcr3,ECs,1.0,199.1856246666667,0.7508559835661449,0.3333333333333333,1.863797,0.5455000708290748,371.2415696968593,0.4095919922177667
M2,Ccl5,Ccr3,ECs,1.0,12.228676,0.6705380157807161,0.3333333333333333,0.438062,0.6074000808827777,5.356918265912,0.4072848450201843
M2,Pf4,Cxcr3,ECs,1.0,72.30024833333333,0.7300051600316594,0.3333333333333333,1.863797,0.5455000708290748,134.7529859429216,0.3982178665028603
M2,Cxcl13,Cxcr3,ECs,0.3333333333333333,1.577103333333333,0.6942897929212027,0.3333333333333333,1.863797,0.5455000708290748,2.939400461356667,0.3787351312144198
M2,Ccl5,Cxcr3,ECs,1.0,12.228676,0.6705380157807161,0.3333333333333333,1.863797,0.5455000708290748,22.791769642772,0.3657785351019679
M2,Gnai2,Oprm1,ECs,1.0,126.3069433333333,0.3041313008456065,0.3333333333333333,1.049158666666667,1.0,132.5160242583422,0.3041313008456065
M2,H2-M3,Klrd1,ECs,1.0,11.47742133333333,0.6994003508593609,0.3333333333333333,1.286367333333333,0.416990774147385,14.76417987410311,0.2916434937437976
M2,Gnai2,Cxcr1,ECs,1.0,126.3069433333333,0.3041313008456065,0.3333333333333333,2.161116666666667,0.9584259542460944,272.9640403533889,0.2914873322290564
M2,Nell2,Robo3,ECs,0.3333333333333333,0.009209,0.2827188161974642,0.6666666666666666,2.588157666666667,1.0,0.0238343439523333,0.2827188161974642
M2,H2-T23,Klrd1,ECs,1.0,58.462443,0.6393853467605888,0.3333333333333333,1.286367333333333,0.416990774147385,75.204176902062,0.2666177907241921
M2,Cxcl10,Ccr3,ECs,1.0,83.31930033333333,0.4359757410707099,0.3333333333333333,0.438062,0.6074000808827777,36.49901934262066,0.2648117003892781
M2,Cxcl10,Cxcr3,ECs,1.0,83.31930033333333,0.4359757410707099,0.3333333333333333,1.863797,0.5455000708290748,155.2902620033657,0.2378247976338306
M2,H2-M3,Klrc1,ECs,1.0,11.47742133333333,0.6994003508593609,0.3333333333333333,0.027963,0.3028407224366171,0.320943132744,0.2118069075266723
M2,Siglec1,Spn,ECs,1.0,80.963433,0.9468028173860864,0.6666666666666666,0.7483270000000001,0.2123245966460564,60.587122926591,0.2010295263048506
M2,Gnai2,C5ar1,ECs,1.0,126.3069433333333,0.3041313008456065,0.3333333333333333,89.50593066666666,0.6602296419139412,11305.22051271193,0.2007964998521159
