Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Rspo1,Lrp6,M2,0.3333333333333333,0.1580856666666667,0.5744948638433957,1.0,12.62567333333333,0.1547336502458089,1.995937986015555,0.0888936873299576
M2,Rspo1,Znrf3,M2,0.3333333333333333,0.1580856666666667,0.5744948638433957,1.0,1.875312666666667,0.1525124424659717,0.2964600531184444,0.0876176148689121
M2,Psap,Gpr37l1,M2,1.0,1552.995524333333,0.6900109020274287,0.3333333333333333,0.0535696666666666,0.121687845374985,83.19345257336188,0.0839659399529676
M2,Il19,Il20rb,M2,0.3333333333333333,0.0932149999999999,1.0,1.0,0.965435,0.0747424135665078,0.0899930235249999,0.0747424135665078
M2,Ccl12,Ccr10,M2,1.0,53.27393966666666,0.9418669336913308,0.3333333333333333,0.048954,0.0649732961000626,2.607972442441999,0.0611961991695848
M2,Gnas,Avpr2,M2,1.0,72.47344466666667,0.0497345822319375,0.3333333333333333,0.166454,1.0,12.06349475854533,0.0497345822319375
M2,Cxcl13,Cxcr5,M2,0.3333333333333333,1.577103333333333,0.6942897929212027,0.6666666666666666,0.1661176666666667,0.0686185321381604,0.2619847258255555,0.0476411464687603
M2,Cxcl13,Ccr10,M2,0.3333333333333333,1.577103333333333,0.6942897929212027,0.3333333333333333,0.048954,0.0649732961000626,0.07720551658,0.0451102962947204
M2,Dll3,Notch2,M2,0.6666666666666666,0.2155983333333333,0.1010146995640623,1.0,45.12975566666668,0.3367854170582615,9.729900105473892,0.0340202777216977
M2,Guca2a,Gucy2c,M2,0.6666666666666666,0.223198,0.1395654797450031,0.6666666666666666,0.32553,0.240634477266388,0.07265764494,0.0335842662628714
M2,Oxt,Avpr2,M2,0.3333333333333333,0.0465996666666666,0.0330261423394393,0.3333333333333333,0.166454,1.0,0.0077567009153333,0.0330261423394393
M2,C1qtnf1,Avpr2,M2,1.0,1.120990333333333,0.0278251216648009,0.3333333333333333,0.166454,1.0,0.1865933249446667,0.0278251216648009
M2,Il13,Il2rg,M2,0.3333333333333333,0.0222066666666666,0.0357239570904976,1.0,67.337282,0.6858871697837075,1.495336575613333,0.024502603822276
M2,Ccl12,Ackr4,M2,1.0,53.27393966666666,0.9418669336913308,0.3333333333333333,0.023457,0.0256052087320635,1.249646802761,0.0241166994349951
