Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Apob,Olr1,ECs,0.3333333333333333,0.004031,1.0,0.6666666666666666,20.67840733333334,0.8628188334366713,0.0833546599606666,0.8628188334366713
sCs,a,F11r,ECs,0.3333333333333333,0.215186,1.0,1.0,21.14949,0.7650795756208056,4.551074155139999,0.7650795756208056
sCs,Guca2b,Gucy2c,ECs,0.6666666666666666,0.237044,1.0,0.3333333333333333,1.027268666666667,0.7593655227336119,0.2435078738213333,0.7593655227336119
sCs,Nell2,Robo3,ECs,0.3333333333333333,0.023364,0.7172811838025359,0.6666666666666666,2.588157666666667,1.0,0.060469715724,0.7172811838025359
sCs,Dkk4,Kremen2,ECs,0.6666666666666666,0.2686976666666667,1.0,0.6666666666666666,0.4307696666666667,0.660439138118362,0.1157468043041111,0.660439138118362
sCs,Pmch,Mchr1,ECs,0.6666666666666666,0.4690863333333333,1.0,0.3333333333333333,0.140098,0.4925050973774872,0.0657180571273333,0.4925050973774872
sCs,Il17a,Il17ra,ECs,0.3333333333333333,0.0503876666666666,1.0,1.0,17.37362766666667,0.4119962501387955,0.8754165596587777,0.4119962501387955
sCs,Thpo,Mpl,ECs,1.0,0.6712600000000001,0.4097888786939208,0.6666666666666666,0.595351,0.883857363708884,0.39963531226,0.3621949179996286
sCs,Camp,Fpr2,ECs,0.6666666666666666,0.208642,0.5181420837403354,0.3333333333333333,35.86137133333333,0.6778966622414776,7.482188237729333,0.3512467891344176
sCs,Proc,Tek,ECs,0.3333333333333333,0.0545583333333333,0.4330175376401833,1.0,39.413899,0.7310109930444597,2.150356639608333,0.3165405801960171
sCs,Ccl21b,Cxcr3,ECs,0.6666666666666666,0.265412,0.5614432429954979,0.3333333333333333,1.863797,0.5455000708290748,0.494674089364,0.3062673288205495
sCs,a,Atrn,ECs,0.3333333333333333,0.215186,1.0,1.0,10.87591,0.2904340445780247,2.34034356926,0.2904340445780247
sCs,Guca2a,Gucy2c,ECs,1.0,0.6104059999999999,0.3816862437352859,0.3333333333333333,1.027268666666667,0.7593655227336119,0.6270509577453331,0.2898393739942742
sCs,Lgi1,Rtn4r,ECs,0.6666666666666666,0.0511556666666666,1.0,0.3333333333333333,0.2448813333333333,0.2685817968311001,0.0125270678608888,0.2685817968311001
sCs,Vcam1,Itgad,ECs,1.0,74.41623166666666,0.6076002364105371,0.3333333333333333,0.1243963333333333,0.4260634775659321,9.257106359817222,0.2588762696949559
sCs,Hcrt,Hcrtr1,ECs,0.6666666666666666,0.2394606666666667,0.2964429258791585,0.3333333333333333,0.3932066666666666,0.8341341479367975,0.0941575305377777,0.2472731673901031
sCs,Nodal,Tdgf1,ECs,1.0,0.65586,0.2463840926121086,0.3333333333333333,0.1145363333333333,1.0,0.07511979958,0.2463840926121086
sCs,Crh,Crhr2,ECs,0.6666666666666666,0.2386626666666667,1.0,0.6666666666666666,0.357893,0.2341304653589384,0.0854156977613333,0.2341304653589384
sCs,Rps19,C5ar1,ECs,1.0,167.4648336666667,0.3479839591519657,0.3333333333333333,89.50593066666666,0.6602296419139412,14989.09579127353,0.2297493247426978
sCs,Proc,Thbd,ECs,0.3333333333333333,0.0545583333333333,0.4330175376401833,1.0,30.33306566666667,0.510466355126488,1.654921507663889,0.2210408841450312
sCs,Calca,Ramp1,ECs,0.3333333333333333,0.171614,1.0,0.3333333333333333,0.9478013333333334,0.2166419058487518,0.1626559780186667,0.2166419058487518
sCs,Cirbp,Trem1,ECs,1.0,9.108991,0.2115734156064423,0.3333333333333333,71.97801199999999,0.9574677988575694,655.6470635058919,0.202574732537478
sCs,Efnb2,Grm1,ECs,1.0,10.59691233333333,0.200951968125294,0.3333333333333333,0.392838,1.0,4.162869847202001,0.200951968125294
