Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Cxcl13,Ackr4,FAPs,-0.3333333333333333,1.3016986666666663,0.6379407814333468,0.0,-0.0663646666666667,-0.023705481350695,0.8326831982573331,0.4538986245168688
M2,Cxcl13,Ccr10,FAPs,-0.3333333333333333,1.3016986666666663,0.6379407814333468,0.0,-0.5188596666666667,0.0828413659145484,0.4880295938957776,0.4150563793877475
M2,Ccl2,Ackr2,FAPs,0.0,158.8292366666667,0.2676328795708617,0.0,0.2722613333333334,0.0,97.84939347371508,0.2676328795708617
M2,Thbs1,Tnfrsf11b,FAPs,0.0,232.41583566666665,0.1999342658194128,0.0,1.561617333333333,0.14651027502245,1014.6483471223698,0.244028263784486
M2,Tnfsf13,Tnfrsf11b,FAPs,0.0,1.6647140000000005,0.1463084356112033,0.0,1.561617333333333,0.14651027502245,11.607541655939558,0.2403617976823269
M2,Thbs1,Itgb3,FAPs,0.0,232.41583566666665,0.1999342658194128,0.0,2.911823666666667,0.1969285957820286,1939.195507544208,0.200056653208257
M2,Cntf,Cntfr,FAPs,0.33333333333333337,0.6906136666666667,0.2007242870497892,0.0,-2.8342973333333337,0.0526382047480866,3.873517168373112,0.193983343347562
M2,Areg,Egfr,FAPs,0.0,0.7977649999999996,0.3129613441383912,0.0,-4.7639389999999935,-0.1025589956384891,68.03656423479396,0.181539625739097
M2,Ccl2,Ackr4,FAPs,0.0,158.8292366666667,0.2676328795708617,0.0,-0.0663646666666667,-0.023705481350695,101.15330453476706,0.1795277292438707
M2,Wnt6,Fzd7,FAPs,0.0,0.0510883333333334,0.4518655059379711,0.0,-3.4250416666666696,-0.097679946069596,0.2127794638822221,0.1740600596849638
M2,Spon1,App,FAPs,0.0,11.564810666666666,0.4063052859149137,0.0,-31.288737,-0.1009303247620218,2097.612476640233,0.1671772505906385
M2,Cxcl13,Cxcr5,FAPs,-0.3333333333333333,1.3016986666666663,0.6379407814333468,0.33333333333333337,0.057386,-0.1624271966925509,0.8680672758262223,0.163379163958002
