Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Wnt8a,Fzd4,ECs,-0.3333333333333333,-0.0239449999999999,0.9898527733009252,0.33333333333333337,10.898819,0.1329682622609804,1.2059129581646664,0.4379667227406675
FAPs,Lama1,Itga1,ECs,0.33333333333333337,0.2832936666666667,0.5416599918575067,0.0,32.308902,0.1250883766123856,23.23208369671523,0.3909978351895564
FAPs,Ptgs2,Cav1,ECs,0.0,-3.2578963333333317,0.4431771277278831,0.0,343.3990126666666,0.1832516530136075,5480.373766917239,0.3856902067011236
FAPs,Fgf15,Fgfr3,ECs,0.0,-0.0718333333333334,0.3125932516391736,0.33333333333333337,3.788298666666666,0.2483409558306619,0.044763970928,0.372311586023961
FAPs,Dll3,Notch4,ECs,0.0,0.0246003333333334,0.3909216982371133,0.0,16.03919833333333,0.0140885075128457,16.51746205942967,0.3570136502586075
FAPs,Dll3,Notch1,ECs,0.0,0.0246003333333334,0.3909216982371133,0.0,20.42442666666667,0.1764077770427516,21.2634782772278,0.3242283300002481
FAPs,Slit3,Robo2,ECs,0.0,23.38445166666667,-0.0552944418858452,0.33333333333333337,0.6012036666666671,0.419829665093798,70.9046725669318,0.3231429481365543
FAPs,Spon1,Lrp8,ECs,0.0,28.21706633333333,0.4812701543742252,-0.33333333333333337,-0.3050699999999999,0.1139172056715556,34.712553342963005,0.2929012250077294
FAPs,Bgn,Fgfr3,ECs,0.0,1499.4704586666671,0.0535280671183068,0.33333333333333337,3.788298666666666,0.2483409558306619,19122.910686113144,0.2721771013161875
FAPs,Dlk2,Notch1,ECs,0.0,0.145324,0.3356635387308018,0.0,20.42442666666667,0.1764077770427516,15.63367555801334,0.2613806902274754
FAPs,Efna5,Ephb1,ECs,0.33333333333333337,0.309596333333334,-0.0274137824879575,0.33333333333333337,-0.4148733333333341,0.3784990064709352,0.0260054898946671,0.2502846912977807
FAPs,Lama1,Itga2,ECs,0.33333333333333337,0.2832936666666667,0.5416599918575067,0.33333333333333337,-0.931909,-0.0544499066174833,0.4407293662363332,0.2485995114366152
FAPs,Fgf7,Fgfr3,ECs,0.0,3.777319333333329,-0.0045457361021156,0.33333333333333337,3.788298666666666,0.2483409558306619,66.41030807714044,0.2366065470988821
FAPs,C3,Nrp1,ECs,0.0,179.86286033333337,0.4451826633325059,0.0,30.10573299999996,0.0547885006849199,23631.330282965748,0.2348752120090976
FAPs,Slit2,Robo2,ECs,0.0,-0.9089453333333336,-0.1210050573341458,0.33333333333333337,0.6012036666666671,0.419829665093798,1.0666370622396668,0.2318589400360524
FAPs,Wnt5a,Mcam,ECs,0.0,-1.65923733333333,0.0093813807953704,0.0,46.80366199999999,0.2177813648868347,343.9439432121105,0.218405319706794
FAPs,Angpt1,Tek,ECs,0.0,7.858710333333329,0.1627782496332821,0.0,24.807558,0.1056500370652219,859.17602572414,0.2165153469473049
FAPs,Col8a1,Itga1,ECs,0.0,68.09765366666664,0.1723604729786995,0.0,32.308902,0.1250883766123856,7075.349852334168,0.2073170402446111
FAPs,Fn1,Itgb3,ECs,0.0,-51.94596333333402,0.0815506854149862,0.0,1.296949666666667,0.1907902445905404,1994.648549433662,0.2028613237253337
FAPs,Lama1,Itgb1,ECs,0.33333333333333337,0.2832936666666667,0.5416599918575067,0.0,54.58229333333328,0.1074197275828492,46.564907382685774,0.2011366040831722
FAPs,Wnt8a,Fzd8,ECs,-0.3333333333333333,-0.0239449999999999,0.9898527733009252,0.33333333333333337,1.3346353333333334,0.073537064645855,0.1516510981556666,0.2006859672736019
FAPs,Cxcl13,Cxcr5,ECs,0.33333333333333337,3.805242,0.7217306921399875,0.0,-0.631584333333333,-0.1370443772977303,1.3600481652162222,0.1933207148582034
FAPs,Vegfa,Flt1,ECs,0.0,-0.107173666666668,0.1844315016271331,0.0,102.11291033333328,0.043519034481573,1829.204144717725,0.1929994913941755
FAPs,Fbn1,Itgb3,ECs,0.0,60.15854900000005,0.0664613859475635,0.0,1.296949666666667,0.1907902445905404,580.3534350520503,0.1926132750066013
FAPs,Comp,Itgb3,ECs,0.0,47.14759866666667,0.0075514221273964,0.0,1.296949666666667,0.1907902445905404,241.65877851773783,0.1896801795035806
FAPs,Col1a2,Itgb3,ECs,0.0,-418.7990723333328,0.0239354373963299,0.0,1.296949666666667,0.1907902445905404,3061.508983296504,0.1889578390637956
FAPs,Thbs1,Itga3,ECs,0.0,-10.723869333333385,0.2300602147666151,0.33333333333333337,6.80793233333333,0.1049747026303475,765.316243069371,0.1884371223730198
FAPs,Thbs1,Itga6,ECs,0.0,-10.723869333333385,0.2300602147666151,0.0,56.140124000000014,0.0377496980491099,5373.2109385066215,0.1876133455216901
FAPs,Fgf2,Fgfr3,ECs,0.0,2.1826579999999964,0.0069493403763131,0.33333333333333337,3.788298666666666,0.2483409558306619,44.58579776930756,0.1873642710372935
FAPs,Vegfa,Kdr,ECs,0.0,-0.107173666666668,0.1844315016271331,0.0,34.07509400000001,0.0236511231288332,600.3302182222828,0.187267611428763
FAPs,Tnc,Itgb3,ECs,0.0,-17.147600666666705,0.1186189214130952,0.0,1.296949666666667,0.1907902445905404,94.7696141897465,0.184926607129168
FAPs,Thbs1,Cd36,ECs,0.0,-10.723869333333385,0.2300602147666151,0.0,102.54127233333344,-0.0278838476771485,8016.49503841353,0.1780072075576229
FAPs,Cxcl13,Ackr4,ECs,0.33333333333333337,3.805242,0.7217306921399875,0.6666666666666667,0.0679386666666665,0.0584873794087469,0.8975809657155553,0.177339003037037
FAPs,Il7,Il2rg,ECs,0.0,0.1595086666666668,0.4725758034010868,0.0,-0.1884306666666688,0.0596120039330914,3.832640849906002,0.1737815078323031
FAPs,Nid1,Itgb3,ECs,0.0,57.61111466666671,0.018096024178373,0.0,1.296949666666667,0.1907902445905404,917.7263571960582,0.1716257028446821
FAPs,Adam23,Itgb3,ECs,0.0,5.584627333333339,0.0605189811241965,0.0,1.296949666666667,0.1907902445905404,39.899796393786346,0.1691985146559446
FAPs,Serping1,Sele,ECs,0.0,388.6550293333336,0.021723565439611,0.0,-1.791041,0.1638828521612411,444.7494557488153,0.1662925384005613
FAPs,App,Cav1,ECs,0.0,31.288737,0.1009303247620218,0.0,343.3990126666666,0.1832516530136075,89551.49153243158,0.1626665090039308
FAPs,Wnt1,Fzd4,ECs,0.3333333333333333,0.1939196666666666,0.0959197356195625,0.33333333333333337,10.898819,0.1329682622609804,8.380359918258112,0.1625235380380291
FAPs,Agt,Agtr1a,ECs,0.33333333333333337,1.2927543333333336,0.3226072094399209,0.6666666666666667,6.996102666666666,0.1648685507795619,13.257685941017332,0.1615230643767052
FAPs,Saa1,Cd36,ECs,-0.3333333333333333,0.01285,0.2157063012145947,0.0,102.54127233333344,-0.0278838476771485,9.674563067442898,0.1585922843693745
FAPs,Angpt1,Tie1,ECs,0.0,7.858710333333329,0.1627782496332821,0.0,10.552720333333331,-0.0049279353750167,669.8123694490877,0.1574967173829281
FAPs,B2m,Gm11127,ECs,0.0,466.5384316666663,0.0973830616385919,0.6666666666666667,0.1469613333333334,0.6939270759122993,187.0757472446155,0.1567385900296722
FAPs,Reln,Itga3,ECs,0.0,0.968886,0.2143152223648813,0.33333333333333337,6.80793233333333,0.1049747026303475,12.79556410919833,0.1563925950317195
FAPs,Tgfb3,Acvrl1,ECs,0.0,11.36608866666667,0.1141853317475796,0.0,14.254636000000003,0.1272322066579487,1035.0886845377806,0.1498671123780868
FAPs,Slit1,Robo2,ECs,0.0,0.091665,-0.0001955966995502,0.33333333333333337,0.6012036666666671,0.419829665093798,0.4725261996237779,0.1485829895613803
FAPs,Efna2,Epha2,ECs,0.0,0.3258879999999999,0.0479608415299995,0.0,14.240738,0.1937792807911064,91.40887117165737,0.1483586778210115
FAPs,Efna4,Epha2,ECs,0.0,0.5410959999999996,0.0782190544995529,0.0,14.240738,0.1937792807911064,27.308884495068664,0.1478162950247567
FAPs,Vcan,Itgb1,ECs,0.0,-35.807434333333305,0.2434622543227498,0.0,54.58229333333328,0.1074197275828492,4383.09117171833,0.1471144348239236
FAPs,Fstl1,Dip2a,ECs,0.0,9.9718630000001,0.0515887795526287,0.0,2.6492836666666677,0.1413822132360012,1701.968839402199,0.143544003980186
FAPs,Ntn1,Mcam,ECs,0.0,0.8082333333333303,0.0008298096275772,0.0,46.80366199999999,0.2177813648868347,567.37483315664,0.1407970663772155
FAPs,Lama1,Rpsa,ECs,0.33333333333333337,0.2832936666666667,0.5416599918575067,0.0,42.98396633333334,0.089303719474479,34.34802178244689,0.1392821647012582
FAPs,Thbs1,Itgb3,ECs,0.0,-10.723869333333385,0.2300602147666151,0.0,1.296949666666667,0.1907902445905404,131.38439834202558,0.1389793033573167
FAPs,Fgf18,Fgfr3,ECs,0.0,-3.461987000000001,-0.1025989857800981,0.33333333333333337,3.788298666666666,0.2483409558306619,15.771016494038648,0.1372196311307102
FAPs,Thbs2,Notch3,ECs,0.0,23.57505766666671,0.0078482288191318,0.33333333333333337,13.640560666666666,0.1414357862855111,2654.434641479542,0.136990963767623
FAPs,Lama2,Itgb1,ECs,0.0,23.79931633333328,0.2227007768215279,0.0,54.58229333333328,0.1074197275828492,11536.61010999327,0.1357021949582888
FAPs,Dll3,Notch3,ECs,0.0,0.0246003333333334,0.3909216982371133,0.33333333333333337,13.640560666666666,0.1414357862855111,13.509865479010228,0.1343720951585604
FAPs,Gdf9,Acvr2a,ECs,0.0,1.106753666666667,0.1569215049065695,0.0,6.33636933333333,0.1292294019798793,55.47749660175269,0.13397631464915
FAPs,Angpt1,Itgb1,ECs,0.0,7.858710333333329,0.1627782496332821,0.0,54.58229333333328,0.1074197275828492,1986.473068881472,0.1333072444621023
FAPs,Wnt5a,Fzd4,ECs,0.0,-1.65923733333333,0.0093813807953704,0.33333333333333337,10.898819,0.1329682622609804,63.30943715385709,0.1332647670752221
FAPs,Wnt2,Fzd4,ECs,0.0,0.2035116666666664,0.0,0.33333333333333337,10.898819,0.1329682622609804,11.388579412642777,0.1329682622609804
FAPs,Mdk,Tspan1,ECs,0.0,-11.717459333333352,0.1208215784887879,0.3333333333333333,0.350618,0.1343190310724851,27.082079113670886,0.1318062946110066
FAPs,Gpc3,Cd81,ECs,0.0,-35.743852999999994,0.1672314234471315,0.0,76.5799466666667,0.1160249006521431,222.707772865524,0.1313428158773386
FAPs,Wnt9a,Fzd4,ECs,0.0,1.034547666666667,0.1292705244356699,0.33333333333333337,10.898819,0.1329682622609804,66.66684896404382,0.131276684594215
FAPs,Mstn,Acvr2b,ECs,-0.3333333333333333,-0.0276896666666666,0.1324085275653799,0.33333333333333337,0.2386009999999998,0.092036141064286,0.0560538335404443,0.131015867212756
FAPs,Inhbc,Acvr2a,ECs,0.0,0.0763376666666668,0.0,0.0,6.33636933333333,0.1292294019798793,1.6528061393282223,0.1292294019798793
FAPs,Tgfb2,Eng,ECs,0.0,-3.860039666666662,0.1307541456679043,0.0,68.66868566666659,0.0560471539356263,560.113927293095,0.1277150704599639
FAPs,Tgfb3,Eng,ECs,0.0,11.36608866666667,0.1141853317475796,0.0,68.66868566666659,0.0560471539356263,5607.459486030049,0.1276523297345936
FAPs,C3,Cd46,ECs,0.0,179.86286033333337,0.4451826633325059,0.0,-3.055650666666666,-0.1333979403961605,727.2655727147088,0.1257451395143626
FAPs,Mdk,Itgb1,ECs,0.0,-11.717459333333352,0.1208215784887879,0.0,54.58229333333328,0.1074197275828492,3271.3972487111405,0.1253260852793984
FAPs,Mdk,Itga6,ECs,0.0,-11.717459333333352,0.1208215784887879,0.0,56.140124000000014,0.0377496980491099,2955.619420915629,0.1248285850910966
FAPs,Rarres2,Gpr1,ECs,0.0,5.947048000000009,-0.0944453552573794,0.33333333333333337,1.1083769999999995,0.207401767307871,63.60943138834398,0.1217969647988367
FAPs,Wnt1,Ryk,ECs,0.3333333333333333,0.1939196666666666,0.0959197356195625,0.33333333333333337,5.817812333333333,0.1116562057572265,3.5448297481564435,0.1216791735157892
FAPs,Tnc,Ptprb,ECs,0.0,-17.147600666666705,0.1186189214130952,0.0,35.043415333333314,0.0048844437205559,1594.36241511952,0.1207246998553741
FAPs,Fn1,Itgb1,ECs,0.0,-51.94596333333402,0.0815506854149862,0.0,54.58229333333328,0.1074197275828492,84230.07175634318,0.1205580557076409
FAPs,Efna5,Epha2,ECs,0.33333333333333337,0.309596333333334,-0.0274137824879575,0.0,14.240738,0.1937792807911064,22.57455617829899,0.1199727247456124
FAPs,Spon1,App,ECs,0.0,28.21706633333333,0.4812701543742252,0.0,-7.432889333333392,-0.0024255767462253,2829.649580260236,0.1186411721170994
FAPs,Dkk2,Lrp5,ECs,0.0,-0.312692999999999,0.0649953582926524,0.0,4.360687666666669,0.0981290610325149,11.608600314211238,0.117611565565983
FAPs,Myoc,Fzd4,ECs,0.0,13.456935,-0.0256654956851986,0.33333333333333337,10.898819,0.1329682622609804,670.1114107033375,0.1166962960831576
FAPs,Rspo1,Znrf3,ECs,0.0,0.040584,0.5744948638433958,0.0,0.6058219999999996,0.0766850138491899,0.1291646675473334,0.1154167247950462
FAPs,Col4a3,Cd93,ECs,0.0,0.5131063333333332,0.1359089927355707,0.0,33.67388199999999,0.0480697323449667,98.22139435784864,0.1149976970456305
FAPs,Sema3a,Plxna2,ECs,0.0,-0.6822596666666658,0.0781120860089325,0.0,17.639430999999995,0.3036546776397368,7.171414084281558,0.1148996654889916
FAPs,Pla2g10,Pla2r1,ECs,0.0,-0.2243359999999999,0.579687066825454,0.6666666666666667,1.8653606666666664,0.1046094825027803,0.6492808598086668,0.1142766702651656
FAPs,Fbn1,Itgb1,ECs,0.0,60.15854900000005,0.0664613859475635,0.0,54.58229333333328,0.1074197275828492,24094.154496277803,0.1136146859401036
FAPs,Angpt1,Itga5,ECs,0.0,7.858710333333329,0.1627782496332821,0.0,-0.2373513333333399,0.0722015004635165,240.1625700278265,0.1134802722633667
FAPs,Tnc,Itgb1,ECs,0.0,-17.147600666666705,0.1186189214130952,0.0,54.58229333333328,0.1074197275828492,4082.481530763269,0.1133430669982107
FAPs,Fbln1,Itgb1,ECs,0.0,23.39354200000001,0.0458526244381295,0.0,54.58229333333328,0.1074197275828492,5952.124074963359,0.1124734818035324
