Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
ECs,Agt,Mas1,FAPs,1,0.234928591778438,0.205696049029572,1,0.426681087318639,0.251149331663948,0.1002395869822606,0.0516604252396916
ECs,Agt,Mas1,Neutro,1,0.234928591778438,0.205696049029572,1,0.517922969137065,0.3048553390768002,0.1216749137890781,0.0627075387736682
ECs,Agt,Mas1,sCs,1,0.234928591778438,0.205696049029572,1,0.754309830719446,0.4439953292592517,0.1772089462955514,0.091328085016212
FAPs,Agt,Mas1,FAPs,1,0.784410941783681,0.6868054259340164,1,0.426681087318639,0.251149331663948,0.3346933135448987,0.1724907237065014
FAPs,Agt,Mas1,Neutro,1,0.784410941783681,0.6868054259340164,1,0.517922969137065,0.3048553390768002,0.4062644439922055,0.2093763010029007
FAPs,Agt,Mas1,sCs,1,0.784410941783681,0.6868054259340164,1,0.754309830719446,0.4439953292592517,0.5916888847113296,0.3049384012246142
sCs,Agt,Mas1,FAPs,1,0.122775703394442,0.1074985250364116,1,0.426681087318639,0.251149331663948,0.0523860706206512,0.0269981827177549
sCs,Agt,Mas1,Neutro,1,0.122775703394442,0.1074985250364116,1,0.517922969137065,0.3048553390768002,0.063588356839941,0.0327714993002311
sCs,Agt,Mas1,sCs,1,0.122775703394442,0.1074985250364116,1,0.754309830719446,0.4439953292592517,0.0926109200439224,0.0477288430184254
ECs,Agt,Agtr1a,FAPs,1,0.234928591778438,0.205696049029572,1,9.45802376612241,0.3453729495643977,2.221960204382137,0.0710418511670862
ECs,Agt,Agtr1a,Neutro,1,0.234928591778438,0.205696049029572,1,2.8245997815545,0.1031442066564379,0.6635792490182822,0.0212163557895189
ECs,Agt,Agtr1a,sCs,1,0.234928591778438,0.205696049029572,1,15.1023345912027,0.5514828437791643,3.547970198078042,0.1134378420729668
FAPs,Agt,Agtr1a,FAPs,1,0.784410941783681,0.6868054259340164,1,9.45802376612241,0.3453729495643977,7.418977329796517,0.2372040157316637
FAPs,Agt,Agtr1a,Neutro,1,0.784410941783681,0.6868054259340164,1,2.8245997815545,0.1031442066564379,2.215646974811145,0.070840000785301
FAPs,Agt,Agtr1a,sCs,1,0.784410941783681,0.6868054259340164,1,15.1023345912027,0.5514828437791643,11.84643649981757,0.3787614094170516
sCs,Agt,Agtr1a,FAPs,1,0.122775703394442,0.1074985250364116,1,9.45802376612241,0.3453729495643977,1.161215520607028,0.0371270826656477
sCs,Agt,Agtr1a,Neutro,1,0.122775703394442,0.1074985250364116,1,2.8245997815545,0.1031442066564379,0.3467922249881409,0.0110878500816179
sCs,Agt,Agtr1a,sCs,1,0.122775703394442,0.1074985250364116,1,15.1023345912027,0.5514828437791643,1.854199752333124,0.0592835922891459
ECs,Agt,Agtr2,FAPs,1,0.234928591778438,0.205696049029572,1,0.86799239367063,1.0,0.2039162307194367,0.205696049029572
FAPs,Agt,Agtr2,FAPs,1,0.784410941783681,0.6868054259340164,1,0.86799239367063,1.0,0.6808627309802504,0.6868054259340164
sCs,Agt,Agtr2,FAPs,1,0.122775703394442,0.1074985250364116,1,0.86799239367063,1.0,0.106568376673937,0.1074985250364116
ECs,Serping1,Sele,ECs,1,14.1878455899906,0.0350057411990316,1,12.7980480955388,0.7307469713860226,181.5767302327777,0.0255803393623152
ECs,Serping1,Sele,FAPs,1,14.1878455899906,0.0350057411990316,1,0.0681874606997571,0.0038933890559623,0.9674331635817062,0.0001362909696801
ECs,Serping1,Sele,Neutro,1,14.1878455899906,0.0350057411990316,1,4.64741635977894,0.2653596395580149,65.93682570493979,0.0092891108670361
FAPs,Serping1,Sele,ECs,1,241.63529366561,0.5961879484068979,1,12.7980480955388,0.7307469713860226,3092.460109912119,0.435662537675187
FAPs,Serping1,Sele,FAPs,1,241.63529366561,0.5961879484068979,1,0.0681874606997571,0.0038933890559623,16.47649709049805,0.002321191633624
FAPs,Serping1,Sele,Neutro,1,241.63529366561,0.5961879484068979,1,4.64741635977894,0.2653596395580149,1122.979816881544,0.1582042190980868
M2,Serping1,Sele,ECs,1,0.486059389495039,0.0011992567221077,1,12.7980480955388,0.7307469713860226,6.220611444045736,0.0008763532175945
M2,Serping1,Sele,FAPs,1,0.486059389495039,0.0011992567221077,1,0.0681874606997571,0.0038933890559623,0.0331431555189409,4.669172997143529e-06
M2,Serping1,Sele,Neutro,1,0.486059389495039,0.0011992567221077,1,4.64741635977894,0.2653596395580149,2.258920358563408,0.000318234331516
Neutro,Serping1,Sele,ECs,1,24.1362313837129,0.059551442393359,1,12.7980480955388,0.7307469713860226,308.8966500938107,0.0435170361706163
Neutro,Serping1,Sele,FAPs,1,24.1362313837129,0.059551442393359,1,0.0681874606997571,0.0038933890559623,1.645788328917168,0.000231856934081
Neutro,Serping1,Sele,Neutro,1,24.1362313837129,0.059551442393359,1,4.64741635977894,0.2653596395580149,112.1711165960772,0.0158025492886616
sCs,Serping1,Sele,ECs,1,124.855103655737,0.3080556112786038,1,12.7980480955388,0.7307469713860226,1597.901621559604,0.2251107049603096
sCs,Serping1,Sele,FAPs,1,124.855103655737,0.3080556112786038,1,0.0681874606997571,0.0038933890559623,8.513552473689666,0.0011993803455799
sCs,Serping1,Sele,Neutro,1,124.855103655737,0.3080556112786038,1,4.64741635977894,0.2653596395580149,580.2536513315674,0.0817455259727142
