Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
M1 (3 cells),M1 (3 cells),4746604.526460137,30.938201795940433,623,7618.947875537941,0.04966003498545816
M1 (3 cells),M2 (3 cells),4575099.548364828,38.59046733368473,657,6963.621839215873,0.058737393201955444
M2 (3 cells),M1 (3 cells),3306842.5441454924,34.49838915057318,690,4792.525426297815,0.049997665435613306
M2 (3 cells),M2 (3 cells),3218412.800581873,46.5986648907658,723,4451.469986973545,0.0644518186594271
FAPs (3 cells),M1 (3 cells),3163888.8475905056,43.57764229679392,784,4035.5725096817673,0.055583727419379995
FAPs (3 cells),M2 (3 cells),3139515.367980714,52.29724655830044,813,3861.6425190414684,0.06432625652927483
M1 (3 cells),FAPs (3 cells),2856890.0963468705,31.52080915006051,642,4449.98457374902,0.049097833567072445
M1 (3 cells),ECs (2 cells),2497336.111105167,23.615237196711497,617,4047.546371321178,0.03827429043227147
FAPs (3 cells),ECs (2 cells),2172395.1810249276,56.38263323432134,818,2655.7398301038234,0.06892742449183538
M2 (3 cells),FAPs (3 cells),2031385.5227442062,32.256059315609605,721,2817.455648743698,0.044737946346199174
M1 (3 cells),sCs (2 cells),1870234.1983961165,24.478069854603532,632,2959.2313265761336,0.038731123187663814
M1 (3 cells),Neutro (3 cells),1827184.1775175973,16.12673998898625,670,2727.1405634591006,0.02406976117759142
FAPs (3 cells),FAPs (3 cells),1782156.668924119,71.83638426922231,884,2016.0143313621256,0.08126287813260442
M2 (3 cells),ECs (2 cells),1767247.9692965995,23.432354555365794,691,2557.522386825759,0.033910788068546735
FAPs (3 cells),Neutro (3 cells),1589221.063548447,38.704052933523016,885,1795.7300153089798,0.043733393145223745
FAPs (3 cells),sCs (2 cells),1433280.9872676593,68.16800702442035,885,1619.5265392854908,0.0770259966377631
ECs (2 cells),M2 (3 cells),1311171.1047742856,25.237704640591385,671,1954.055297726208,0.03761207845095586
M2 (3 cells),Neutro (3 cells),1250261.2507084324,16.3839033613241,746,1675.9534191802043,0.021962336945474666
ECs (2 cells),ECs (2 cells),1242128.8544109026,33.868477039298355,671,1851.1607368269786,0.050474630460951346
ECs (2 cells),M1 (3 cells),1240234.8143089488,20.64322166317709,641,1934.843704070123,0.032204713983115585
sCs (2 cells),M2 (3 cells),1145614.0672963187,29.17789018918945,755,1517.369625558038,0.03864621217111185
M2 (3 cells),sCs (2 cells),1084964.6788339186,26.7809424979086,709,1530.2745822763309,0.03777283850198674
sCs (2 cells),M1 (3 cells),1042396.3822879873,25.38842941804537,719,1449.7863453240434,0.03531075023372096
Neutro (3 cells),M2 (3 cells),993736.3424184454,20.442857681914287,770,1290.5666784655134,0.026549165820667905
Neutro (3 cells),M1 (3 cells),899459.4003639926,17.184604075324042,739,1217.1304470419384,0.023253862077569746
Neutro (3 cells),ECs (2 cells),875178.9403463828,26.035152725399186,764,1145.5221732282498,0.034077425033245005
ECs (2 cells),Neutro (3 cells),867294.3979642933,23.162230992956253,724,1197.9204391772007,0.03199203175822687
sCs (2 cells),ECs (2 cells),729033.4119455214,38.75889603689999,766,951.7407466651715,0.05059908098812009
ECs (2 cells),FAPs (3 cells),722335.7774051237,30.522126872843288,717,1007.4418094911069,0.042569214606475995
ECs (2 cells),sCs (2 cells),628636.5261976871,37.39907134641316,712,882.9164693787741,0.052526785598894885
sCs (2 cells),FAPs (3 cells),615512.9769273028,45.06757905729676,820,750.625581618662,0.05496046226499605
Neutro (3 cells),Neutro (3 cells),608193.8454975066,17.996414640457218,822,739.895189169716,0.02189344846770951
Neutro (3 cells),FAPs (3 cells),527082.5542052153,24.704184499990717,806,653.9485784183813,0.030650352977655976
sCs (2 cells),Neutro (3 cells),523100.64803211315,26.968353004826817,827,632.5279903653121,0.03260985853062493
sCs (2 cells),sCs (2 cells),519985.2422091699,56.76506128159027,814,638.8025088564741,0.06973594752038116
Neutro (3 cells),sCs (2 cells),441202.77202677616,27.811818098667427,797,553.5793877374857,0.03489563124048611
